 Atime,       Adur,    Aperc, A,    Arx1,   Ary1,   Arz1,       
 0001.417969, 000980,  0.098, _,    -00160, -00013, 008301,    
 0001.427734, 000979,  0.098, _,    -00194, 000037, 008382,    
 0001.439453, 000979,  0.098, _,    -00198, -00040, 008378,    
 0001.449219, 000979,  0.098, _,    -00194, 000004, 008309,    
 0001.458984, 000980,  0.098, _,    -00184, -00008, 008400,    
 0001.468750, 000979,  0.098, _,    -00148, -00013, 008362,    
 0001.478516, 000979,  0.098, _,    -00164, 000025, 008349,    
 0001.488281, 000979,  0.098, _,    -00180, -00007, 008378,    
 0001.498047, 000979,  0.098, _,    -00169, 000014, 008298,    
 0001.507812, 000979,  0.098, _,    -00195, -00027, 008359,    
 0001.517578, 000979,  0.098, _,    -00200, -00001, 008294,    
 0001.529297, 000979,  0.098, _,    -00184, -00001, 008322,    
 0001.539062, 000979,  0.098, _,    -00189, -00004, 008397,    
 0001.548828, 000980,  0.098, _,    -00146, -00006, 008386,    
 0001.558594, 000978,  0.098, _,    -00177, -00014, 008348,    
 0001.568359, 000979,  0.098, _,    -00198, -00032, 008404,    
 0001.578125, 000980,  0.098, _,    -00188, -00031, 008334,    
 0001.587891, 000980,  0.098, _,    -00176, 000014, 008347,    
 0001.597656, 000980,  0.098, _,    -00187, -00010, 008289,    
 0001.609375, 000979,  0.098, _,    -00182, -00004, 008376,    
 0001.619141, 000979,  0.098, _,    -00163, -00003, 008358,    
 0001.628906, 000979,  0.098, _,    -00167, -00009, 008325,    
 0001.638672, 000979,  0.098, _,    -00202, 000021, 008358,    
 0001.648438, 000980,  0.098, _,    -00163, 000023, 008398,    
 0001.658203, 000979,  0.098, _,    -00193, -00002, 008407,    
 0001.667969, 000978,  0.098, _,    -00190, 000016, 008374,    
 0001.677734, 000979,  0.098, _,    -00187, -00001, 008396,    
 0001.689453, 000978,  0.098, _,    -00157, 000025, 008378,    
 0001.699219, 000980,  0.098, _,    -00141, 000020, 008293,    
 0001.708984, 000978,  0.098, _,    -00186, -00003, 008302,    
 0001.718750, 000978,  0.098, _,    -00215, 000007, 008406,    
 0001.728516, 000979,  0.098, _,    -00192, 000000, 008376,    
 0001.738281, 000978,  0.098, _,    -00192, -00063, 008269,    
 0001.748047, 000980,  0.098, _,    -00185, -00005, 008359,    
 0001.757812, 000979,  0.098, _,    -00212, 000003, 008330,    
 0001.767578, 000978,  0.098, _,    -00199, 000009, 008328,    
 0001.779297, 000979,  0.098, _,    -00169, 000028, 008342,    
 0001.789062, 000979,  0.098, _,    -00173, 000016, 008359,    
 0001.798828, 000979,  0.098, _,    -00204, -00018, 008347,    
 0001.808594, 000980,  0.098, _,    -00205, -00041, 008370,    
 0001.818359, 000979,  0.098, _,    -00196, -00007, 008390,    
 0001.828125, 000980,  0.098, _,    -00158, 000033, 008316,    
 0001.837891, 000978,  0.098, _,    -00168, 000022, 008386,    
 0001.847656, 000980,  0.098, _,    -00170, -00003, 008379,    
 0001.859375, 000978,  0.098, _,    -00183, 000020, 008376,    
 0001.869141, 000979,  0.098, _,    -00214, -00008, 008368,    
 0001.878906, 000979,  0.098, _,    -00147, 000006, 008342,    
 0001.888672, 000980,  0.098, _,    -00182, -00013, 008317,    
 0001.898438, 000980,  0.098, _,    -00197, 000015, 008319,    
 0001.908203, 000979,  0.098, _,    -00192, -00012, 008384,    
 0001.917969, 000979,  0.098, _,    -00185, -00010, 008387,    
 0001.927734, 000980,  0.098, _,    -00154, -00019, 008291,    
 0001.939453, 000980,  0.098, _,    -00231, -00054, 008341,    
 0001.949219, 000980,  0.098, _,    -00222, -00028, 008333,    
 0001.958984, 000980,  0.098, _,    -00214, -00014, 008362,    
 0001.968750, 000978,  0.098, _,    -00151, -00014, 008351,    
 0001.978516, 000999,  0.100, _,    -00187, 000029, 008352,    
 0001.988281, 000982,  0.098, _,    -00191, -00038, 008397,    
 0001.998047, 000981,  0.098, _,    -00159, 000052, 008322,    
 0002.007812, 000982,  0.098, _,    -00192, 000018, 008380,    
 0002.017578, 000978,  0.098, _,    -00196, 000000, 008305,    
 0002.029297, 000978,  0.098, _,    -00168, 000001, 008372,    
 0002.039062, 000981,  0.098, _,    -00183, -00030, 008340,    
 0002.048828, 000980,  0.098, _,    -00140, 000022, 008334,    
 0002.058594, 000982,  0.098, _,    -00151, -00032, 008349,    
 0002.068359, 000980,  0.098, _,    -00180, -00048, 008329,    
 0002.078125, 000978,  0.098, _,    -00166, -00023, 008347,    
 0002.087891, 000980,  0.098, _,    -00247, 000007, 008343,    
 0002.097656, 000982,  0.098, _,    -00182, 000021, 008303,    
 0002.109375, 000980,  0.098, _,    -00167, 000011, 008385,    
 0002.119141, 000979,  0.098, _,    -00177, 000003, 008355,    
 0002.128906, 000980,  0.098, _,    -00162, 000044, 008372,    
 0002.138672, 000980,  0.098, _,    -00190, -00031, 008368,    
 0002.148438, 000979,  0.098, _,    -00170, -00007, 008385,    
 0002.158203, 000980,  0.098, _,    -00197, -00023, 008392,    
 0002.167969, 000978,  0.098, _,    -00158, -00026, 008305,    
 0002.177734, 000978,  0.098, _,    -00162, -00008, 008345,    
 0002.189453, 000979,  0.098, _,    -00197, 000017, 008355,    
 0002.199219, 000981,  0.098, _,    -00187, 000010, 008333,    
 0002.208984, 000979,  0.098, _,    -00179, 000020, 008326,    
 0002.218750, 000980,  0.098, _,    -00198, -00047, 008357,    
 0002.228516, 000979,  0.098, _,    -00198, -00008, 008328,    
 0002.238281, 000978,  0.098, _,    -00193, -00002, 008384,    
 0002.248047, 000979,  0.098, _,    -00185, 000030, 008407,    
 0002.257812, 000979,  0.098, _,    -00190, 000040, 008364,    
 0002.267578, 000979,  0.098, _,    -00191, 000010, 008319,    
 0002.279297, 000979,  0.098, _,    -00183, 000021, 008363,    
 0002.289062, 000980,  0.098, _,    -00199, 000037, 008327,    
 0002.298828, 000979,  0.098, _,    -00168, 000025, 008409,    
 0002.308594, 000979,  0.098, _,    -00215, -00001, 008381,    
 0002.318359, 000980,  0.098, _,    -00175, -00011, 008304,    
 0002.328125, 000979,  0.098, _,    -00185, -00010, 008311,    
 0002.337891, 000979,  0.098, _,    -00203, 000003, 008347,    
 0002.347656, 000981,  0.098, _,    -00166, 000010, 008346,    
 0002.359375, 000980,  0.098, _,    -00145, -00006, 008315,    
 0002.369141, 000979,  0.098, _,    -00200, 000012, 008360,    
 0002.378906, 000980,  0.098, _,    -00194, 000000, 008380,    
 0002.388672, 000979,  0.098, _,    -00168, 000009, 008316,    
 0002.398438, 000978,  0.098, _,    -00191, 000011, 008358,    
 0002.408203, 000980,  0.098, _,    -00155, -00006, 008372,    
 0002.417969, 000978,  0.098, _,    -00214, -00012, 008380,    
 0002.427734, 000979,  0.098, _,    -00203, -00037, 008362,    
 0002.439453, 000979,  0.098, _,    -00166, 000015, 008372,    
 0002.449219, 000979,  0.098, _,    -00165, 000043, 008342,    
 0002.458984, 000979,  0.098, _,    -00167, -00001, 008341,    
 0002.468750, 000978,  0.098, _,    -00193, 000008, 008404,    
 0002.478516, 000978,  0.098, _,    -00191, -00031, 008327,    
 0002.488281, 000978,  0.098, _,    -00173, -00013, 008370,    
 0002.498047, 000979,  0.098, _,    -00156, -00007, 008329,    
 0002.507812, 000979,  0.098, _,    -00162, -00002, 008356,    
 0002.517578, 000978,  0.098, _,    -00175, -00012, 008306,    
 0002.529297, 000978,  0.098, _,    -00160, 000000, 008326,    
 0002.539062, 000979,  0.098, _,    -00172, 000018, 008347,    
 0002.548828, 000978,  0.098, _,    -00196, -00015, 008350,    
 0002.558594, 000980,  0.098, _,    -00185, -00018, 008388,    
 0002.568359, 000979,  0.098, _,    -00230, 000001, 008328,    
 0002.578125, 000979,  0.098, _,    -00193, 000031, 008359,    
 0002.587891, 000978,  0.098, _,    -00194, 000033, 008382,    
 0002.597656, 000979,  0.098, _,    -00188, -00008, 008318,    
 0002.609375, 000979,  0.098, _,    -00230, -00006, 008361,    
 0002.619141, 000997,  0.100, _,    -00204, -00011, 008279,    
 0002.628906, 000982,  0.098, _,    -00167, -00049, 008354,    
 0002.638672, 000982,  0.098, _,    -00235, -00013, 008295,    
 0002.648438, 000980,  0.098, _,    -00198, 000044, 008314,    
 0002.658203, 000980,  0.098, _,    -00141, -00003, 008377,    
 0002.667969, 000979,  0.098, _,    -00151, 000023, 008358,    
 0002.677734, 000978,  0.098, _,    -00209, -00009, 008384,    
 0002.689453, 000980,  0.098, _,    -00150, -00006, 008363,    
 0002.699219, 000978,  0.098, _,    -00208, 000000, 008402,    
 0002.708984, 000979,  0.098, _,    -00181, 000007, 008317,    
 0002.718750, 000979,  0.098, _,    -00215, -00033, 008343,    
 0002.728516, 000979,  0.098, _,    -00144, 000014, 008412,    
 0002.738281, 000980,  0.098, _,    -00180, -00008, 008362,    
 0002.748047, 000981,  0.098, _,    -00177, 000005, 008381,    
 0002.757812, 000980,  0.098, _,    -00236, 000013, 008347,    
 0002.767578, 000979,  0.098, _,    -00148, 000001, 008363,    
 0002.779297, 000978,  0.098, _,    -00186, 000002, 008290,    
 0002.789062, 000979,  0.098, _,    -00172, -00018, 008327,    
 0002.798828, 000980,  0.098, _,    -00167, 000000, 008381,    
 0002.808594, 000980,  0.098, _,    -00153, 000007, 008324,    
 0002.818359, 000979,  0.098, _,    -00155, 000016, 008298,    
 0002.828125, 000980,  0.098, _,    -00208, -00067, 008355,    
 0002.837891, 000981,  0.098, _,    -00189, 000018, 008347,    
 0002.847656, 000980,  0.098, _,    -00169, 000023, 008379,    
 0002.859375, 000982,  0.098, _,    -00161, -00021, 008289,    
 0002.869141, 000979,  0.098, _,    -00216, -00017, 008307,    
 0002.878906, 000978,  0.098, _,    -00175, -00025, 008320,    
 0002.888672, 000978,  0.098, _,    -00194, 000012, 008411,    
 0002.898438, 000980,  0.098, _,    -00216, 000009, 008380,    
 0002.908203, 000979,  0.098, _,    -00127, 000031, 008322,    
 0002.917969, 000978,  0.098, _,    -00149, 000015, 008386,    
 0002.927734, 000979,  0.098, _,    -00197, 000018, 008332,    
 0002.939453, 000985,  0.099, _,    -00197, -00032, 008346,    
 0002.949219, 000982,  0.098, _,    -00154, 000021, 008355,    
 0002.958984, 000979,  0.098, _,    -00214, -00020, 008326,    
 0002.968750, 000981,  0.098, _,    -00199, -00007, 008342,    
 0002.978516, 000978,  0.098, _,    -00198, -00017, 008354,    
 0002.988281, 000978,  0.098, _,    -00199, 000000, 008390,    
 0002.998047, 000982,  0.098, _,    -00213, -00021, 008309,    
 0003.007812, 000980,  0.098, _,    -00183, 000010, 008353,    
 0003.017578, 000978,  0.098, _,    -00184, 000028, 008403,    
 0003.029297, 000980,  0.098, _,    -00230, 000004, 008408,    
 0003.039062, 000978,  0.098, _,    -00218, 000026, 008349,    
 0003.048828, 000982,  0.098, _,    -00170, 000016, 008408,    
 0003.058594, 000978,  0.098, _,    -00186, 000014, 008405,    
 0003.068359, 000981,  0.098, _,    -00172, 000011, 008328,    
 0003.078125, 000979,  0.098, _,    -00189, 000013, 008366,    
 0003.087891, 000978,  0.098, _,    -00166, -00007, 008346,    
 0003.097656, 000979,  0.098, _,    -00186, -00007, 008376,    
 0003.109375, 000979,  0.098, _,    -00180, -00014, 008309,    
 0003.119141, 000979,  0.098, _,    -00211, 000010, 008351,    
 0003.128906, 000979,  0.098, _,    -00190, -00029, 008376,    
 0003.138672, 000978,  0.098, _,    -00189, 000003, 008312,    
 0003.148438, 000978,  0.098, _,    -00195, -00005, 008314,    
 0003.158203, 000979,  0.098, _,    -00206, -00020, 008319,    
 0003.167969, 000977,  0.098, _,    -00153, -00008, 008329,    
 0003.177734, 000980,  0.098, _,    -00192, -00005, 008329,    
 0003.189453, 000980,  0.098, _,    -00184, 000002, 008330,    
 0003.199219, 000979,  0.098, _,    -00163, -00005, 008345,    
 0003.208984, 000979,  0.098, _,    -00161, -00012, 008363,    
 0003.218750, 000978,  0.098, _,    -00144, -00023, 008298,    
 0003.228516, 000981,  0.098, _,    -00176, 000000, 008328,    
 0003.238281, 000980,  0.098, _,    -00203, 000016, 008405,    
 0003.248047, 000979,  0.098, _,    -00192, 000011, 008346,    
 0003.257812, 000995,  0.100, _,    -00226, 000018, 008351,    
 0003.267578, 000984,  0.098, _,    -00178, 000004, 008348,    
 0003.279297, 000984,  0.098, _,    -00164, -00036, 008326,    
 0003.289062, 000982,  0.098, _,    -00210, -00024, 008345,    
 0003.298828, 000980,  0.098, _,    -00193, 000019, 008331,    
 0003.308594, 000979,  0.098, _,    -00164, 000002, 008302,    
 0003.318359, 000979,  0.098, _,    -00190, -00035, 008367,    
 0003.328125, 000980,  0.098, _,    -00207, -00076, 008306,    
 0003.337891, 000978,  0.098, _,    -00190, -00020, 008323,    
 0003.347656, 000980,  0.098, _,    -00206, 000028, 008331,    
 0003.359375, 000978,  0.098, _,    -00162, -00013, 008302,    
 0003.369141, 000979,  0.098, _,    -00216, 000017, 008341,    
 0003.378906, 000981,  0.098, _,    -00182, 000004, 008323,    
 0003.388672, 000979,  0.098, _,    -00191, 000006, 008377,    
 0003.398438, 000979,  0.098, _,    -00214, 000009, 008235,    
 0003.408203, 000978,  0.098, _,    -00213, 000013, 008424,    
 0003.417969, 000979,  0.098, _,    -00173, 000011, 008312,    
 0003.427734, 000978,  0.098, _,    -00187, -00042, 008410,    
 0003.439453, 000978,  0.098, _,    -00177, -00016, 008372,    
 0003.449219, 000979,  0.098, _,    -00206, -00041, 008314,    
 0003.458984, 000978,  0.098, _,    -00174, 000040, 008335,    
 0003.468750, 000978,  0.098, _,    -00194, 000002, 008353,    
 0003.478516, 000980,  0.098, _,    -00234, 000029, 008352,    
 0003.488281, 000979,  0.098, _,    -00193, 000003, 008377,    
 0003.498047, 000978,  0.098, _,    -00171, -00051, 008374,    
 0003.507812, 000979,  0.098, _,    -00170, -00014, 008317,    
 0003.517578, 000978,  0.098, _,    -00160, 000000, 008403,    
 0003.529297, 000981,  0.098, _,    -00177, -00039, 008394,    
 0003.539062, 000978,  0.098, _,    -00170, 000017, 008391,    
 0003.548828, 000980,  0.098, _,    -00150, -00012, 008392,    
 0003.558594, 000979,  0.098, _,    -00190, 000006, 008339,    
 0003.568359, 000979,  0.098, _,    -00177, -00017, 008364,    
 0003.578125, 000977,  0.098, _,    -00151, 000019, 008364,    
 0003.587891, 000978,  0.098, _,    -00150, 000001, 008379,    
 0003.597656, 000979,  0.098, _,    -00188, 000007, 008305,    
 0003.609375, 000979,  0.098, _,    -00161, 000020, 008350,    
 0003.619141, 000978,  0.098, _,    -00211, -00014, 008353,    
 0003.628906, 000979,  0.098, _,    -00198, -00007, 008366,    
 0003.638672, 000980,  0.098, _,    -00225, -00029, 008349,    
 0003.648438, 000978,  0.098, _,    -00196, -00037, 008339,    
 0003.658203, 000978,  0.098, _,    -00191, -00026, 008354,    
 0003.667969, 000980,  0.098, _,    -00181, 000005, 008284,    
 0003.677734, 000978,  0.098, _,    -00194, 000069, 008451,    
 0003.689453, 000978,  0.098, _,    -00160, -00024, 008395,    
 0003.699219, 000980,  0.098, _,    -00170, 000019, 008375,    
 0003.708984, 000981,  0.098, _,    -00177, -00022, 008360,    
 0003.718750, 000980,  0.098, _,    -00168, 000011, 008373,    
 0003.728516, 000978,  0.098, _,    -00195, 000017, 008402,    
 0003.738281, 000979,  0.098, _,    -00178, 000006, 008337,    
 0003.748047, 000978,  0.098, _,    -00166, 000008, 008364,    
 0003.757812, 000979,  0.098, _,    -00178, 000009, 008425,    
 0003.767578, 000979,  0.098, _,    -00217, -00005, 008370,    
 0003.779297, 000980,  0.098, _,    -00137, 000001, 008418,    
 0003.789062, 000979,  0.098, _,    -00188, -00009, 008376,    
 0003.798828, 000979,  0.098, _,    -00164, 000009, 008369,    
 0003.808594, 000979,  0.098, _,    -00144, 000023, 008360,    
 0003.818359, 000979,  0.098, _,    -00185, 000047, 008363,    
 0003.828125, 000979,  0.098, _,    -00162, 000005, 008305,    
 0003.837891, 000978,  0.098, _,    -00225, 000024, 008360,    
 0003.847656, 000979,  0.098, _,    -00178, 000019, 008327,    
 0003.859375, 000979,  0.098, _,    -00184, 000011, 008333,    
 0003.869141, 000981,  0.098, _,    -00194, 000031, 008374,    
 0003.878906, 000979,  0.098, _,    -00154, 000002, 008382,    
 0003.888672, 000979,  0.098, _,    -00208, 000036, 008342,    
 0003.898438, 000992,  0.099, _,    -00171, -00001, 008351,    
 0003.908203, 000982,  0.098, _,    -00206, 000009, 008402,    
 0003.917969, 000981,  0.098, _,    -00189, 000010, 008390,    
 0003.927734, 000979,  0.098, _,    -00198, -00011, 008359,    
 0003.939453, 000980,  0.098, _,    -00211, -00033, 008405,    
 0003.949219, 000980,  0.098, _,    -00198, -00012, 008355,    
 0003.958984, 000978,  0.098, _,    -00194, -00010, 008360,    
 0003.968750, 000979,  0.098, _,    -00174, -00046, 008331,    
 0003.978516, 000980,  0.098, _,    -00178, 000021, 008331,    
 0003.988281, 000978,  0.098, _,    -00203, -00021, 008357,    
 0003.998047, 000981,  0.098, _,    -00167, 000031, 008413,    
 0004.007812, 000982,  0.098, _,    -00188, -00010, 008295,    
 0004.017578, 000981,  0.098, _,    -00152, 000005, 008309,    
 0004.029297, 000980,  0.098, _,    -00197, 000026, 008369,    
 0004.039062, 000979,  0.098, _,    -00195, -00023, 008367,    
 0004.048828, 000979,  0.098, _,    -00157, 000000, 008385,    
 0004.058594, 000979,  0.098, _,    -00172, 000029, 008334,    
 0004.068359, 000979,  0.098, _,    -00178, 000013, 008335,    
 0004.078125, 000979,  0.098, _,    -00188, 000007, 008366,    
 0004.087891, 000979,  0.098, _,    -00156, -00042, 008309,    
 0004.097656, 000980,  0.098, _,    -00211, 000014, 008356,    
 0004.109375, 000978,  0.098, _,    -00153, -00012, 008362,    
 0004.119141, 000979,  0.098, _,    -00175, 000011, 008347,    
 0004.128906, 000978,  0.098, _,    -00210, -00004, 008328,    
 0004.138672, 000978,  0.098, _,    -00172, 000019, 008382,    
 0004.148438, 000986,  0.099, _,    -00192, -00007, 008343,    
 0004.158203, 000980,  0.098, _,    -00206, -00028, 008323,    
 0004.167969, 000979,  0.098, _,    -00175, 000017, 008360,    
 0004.177734, 000980,  0.098, _,    -00175, -00003, 008354,    
 0004.189453, 000978,  0.098, _,    -00212, -00026, 008403,    
 0004.199219, 000981,  0.098, _,    -00177, 000002, 008349,    
 0004.208984, 000978,  0.098, _,    -00148, -00008, 008338,    
 0004.218750, 000979,  0.098, _,    -00170, -00027, 008383,    
 0004.228516, 000979,  0.098, _,    -00157, 000004, 008333,    
 0004.238281, 000978,  0.098, _,    -00187, -00012, 008384,    
 0004.248047, 000979,  0.098, _,    -00201, 000023, 008366,    
 0004.257812, 000980,  0.098, _,    -00181, 000009, 008275,    
 0004.267578, 000980,  0.098, _,    -00204, -00029, 008369,    
 0004.279297, 000979,  0.098, _,    -00158, -00009, 008414,    
 0004.289062, 000979,  0.098, _,    -00137, 000028, 008327,    
 0004.298828, 000979,  0.098, _,    -00207, 000004, 008365,    
 0004.308594, 000978,  0.098, _,    -00182, 000017, 008428,    
 0004.318359, 000978,  0.098, _,    -00184, -00003, 008399,    
 0004.328125, 000978,  0.098, _,    -00176, -00051, 008408,    
 0004.337891, 000977,  0.098, _,    -00168, 000021, 008333,    
 0004.347656, 000980,  0.098, _,    -00195, 000012, 008315,    
 0004.359375, 000979,  0.098, _,    -00157, 000017, 008366,    
 0004.369141, 000977,  0.098, _,    -00202, 000017, 008354,    
 0004.378906, 000979,  0.098, _,    -00168, 000010, 008387,    
 0004.388672, 000979,  0.098, _,    -00168, 000003, 008345,    
 0004.398438, 000980,  0.098, _,    -00155, -00014, 008407,    
 0004.408203, 000978,  0.098, _,    -00164, 000022, 008414,    
 0004.417969, 000980,  0.098, _,    -00173, -00022, 008290,    
 0004.427734, 000978,  0.098, _,    -00177, -00014, 008365,    
 0004.439453, 000979,  0.098, _,    -00172, -00019, 008399,    
 0004.449219, 000979,  0.098, _,    -00166, 000018, 008387,    
 0004.458984, 000979,  0.098, _,    -00192, 000032, 008320,    
 0004.468750, 000979,  0.098, _,    -00142, -00002, 008341,    
 0004.478516, 000978,  0.098, _,    -00159, 000018, 008318,    
 0004.488281, 000979,  0.098, _,    -00199, 000015, 008349,    
 0004.498047, 000980,  0.098, _,    -00198, 000029, 008334,    
 0004.507812, 000981,  0.098, _,    -00175, 000006, 008351,    
 0004.517578, 000979,  0.098, _,    -00205, 000004, 008325,    
 0004.529297, 000978,  0.098, _,    -00169, 000012, 008295,    
 0004.539062, 000994,  0.099, _,    -00196, 000034, 008337,    
 0004.548828, 000982,  0.098, _,    -00199, 000019, 008312,    
 0004.558594, 000984,  0.098, _,    -00216, -00021, 008394,    
 0004.568359, 000980,  0.098, _,    -00252, 000004, 008387,    
 0004.578125, 000978,  0.098, _,    -00217, -00018, 008378,    
 0004.587891, 000978,  0.098, _,    -00204, -00006, 008378,    
 0004.597656, 000978,  0.098, _,    -00201, -00044, 008327,    
 0004.609375, 000978,  0.098, _,    -00204, -00012, 008393,    
 0004.619141, 000978,  0.098, _,    -00158, 000029, 008290,    
 0004.628906, 000978,  0.098, _,    -00204, 000028, 008387,    
 0004.638672, 000980,  0.098, _,    -00146, -00011, 008353,    
 0004.648438, 000978,  0.098, _,    -00217, 000009, 008329,    
 0004.658203, 000980,  0.098, _,    -00177, -00022, 008364,    
 0004.667969, 000979,  0.098, _,    -00173, 000019, 008403,    
 0004.677734, 000979,  0.098, _,    -00204, -00033, 008412,    
 0004.689453, 000979,  0.098, _,    -00227, -00005, 008306,    
 0004.699219, 000979,  0.098, _,    -00146, -00046, 008313,    
 0004.708984, 000980,  0.098, _,    -00171, -00015, 008386,    
 0004.718750, 000978,  0.098, _,    -00159, -00022, 008359,    
 0004.728516, 000980,  0.098, _,    -00187, -00007, 008374,    
 0004.738281, 000981,  0.098, _,    -00195, 000012, 008367,    
 0004.748047, 000978,  0.098, _,    -00194, 000017, 008411,    
 0004.757812, 000978,  0.098, _,    -00148, -00017, 008416,    
 0004.767578, 000981,  0.098, _,    -00178, -00010, 008336,    
 0004.779297, 000979,  0.098, _,    -00163, -00028, 008341,    
 0004.789062, 000978,  0.098, _,    -00133, 000013, 008349,    
 0004.798828, 000978,  0.098, _,    -00207, 000031, 008285,    
 0004.808594, 000979,  0.098, _,    -00178, 000015, 008370,    
 0004.818359, 000979,  0.098, _,    -00209, -00033, 008406,    
 0004.828125, 000982,  0.098, _,    -00192, -00025, 008372,    
 0004.837891, 000979,  0.098, _,    -00183, -00005, 008431,    
 0004.847656, 000980,  0.098, _,    -00169, 000046, 008446,    
 0004.859375, 000978,  0.098, _,    -00221, -00014, 008414,    
 0004.869141, 000978,  0.098, _,    -00169, -00004, 008327,    
 0004.878906, 000979,  0.098, _,    -00178, 000010, 008349,    
 0004.888672, 000979,  0.098, _,    -00158, -00026, 008311,    
 0004.898438, 000979,  0.098, _,    -00205, -00003, 008334,    
 0004.908203, 000978,  0.098, _,    -00205, -00006, 008397,    
 0004.917969, 000978,  0.098, _,    -00219, 000018, 008355,    
