 Gtime,       Gdur,    Gperc, G,    Grx1,   Gry1,   Grz1,       
 0002.125000, 000984,  0.098, _,    -00032, 000075, -00034,    
 0002.136719, 000983,  0.098, _,    -00034, 000083, -00021,    
 0002.146484, 000982,  0.098, _,    -00036, 000080, -00037,    
 0002.156250, 000981,  0.098, _,    -00035, 000074, -00033,    
 0002.166016, 000983,  0.098, _,    -00035, 000076, -00029,    
 0002.175781, 000982,  0.098, _,    -00042, 000078, -00027,    
 0002.185547, 000980,  0.098, _,    -00037, 000075, -00034,    
 0002.195312, 000980,  0.098, _,    -00029, 000074, -00041,    
 0002.205078, 000981,  0.098, _,    -00036, 000079, -00033,    
 0002.216797, 000981,  0.098, _,    -00042, 000071, -00029,    
 0002.226562, 000982,  0.098, _,    -00031, 000083, -00037,    
 0002.236328, 000979,  0.098, _,    -00038, 000074, -00039,    
 0002.246094, 000981,  0.098, _,    -00036, 000072, -00034,    
 0002.255859, 000982,  0.098, _,    -00036, 000070, -00035,    
 0002.265625, 000980,  0.098, _,    -00036, 000076, -00028,    
 0002.275391, 000982,  0.098, _,    -00035, 000073, -00040,    
 0002.285156, 000979,  0.098, _,    -00035, 000075, -00029,    
 0002.296875, 000980,  0.098, _,    -00037, 000082, -00037,    
 0002.306641, 000980,  0.098, _,    -00039, 000081, -00034,    
 0002.316406, 000982,  0.098, _,    -00039, 000069, -00029,    
 0002.326172, 000980,  0.098, _,    -00039, 000074, -00038,    
 0002.335938, 000981,  0.098, _,    -00032, 000071, -00032,    
 0002.345703, 000981,  0.098, _,    -00031, 000086, -00027,    
 0002.355469, 000982,  0.098, _,    -00032, 000074, -00041,    
 0002.365234, 000983,  0.098, _,    -00039, 000073, -00036,    
 0002.375000, 000980,  0.098, _,    -00031, 000073, -00037,    
 0002.386719, 000981,  0.098, _,    -00034, 000078, -00034,    
 0002.396484, 000979,  0.098, _,    -00035, 000074, -00033,    
 0002.406250, 000981,  0.098, _,    -00026, 000073, -00034,    
 0002.416016, 000979,  0.098, _,    -00035, 000065, -00043,    
