 Atime,       Adur,    Aperc, A,        Arx1,   Ary1,   Arz1,           Aax1,   Aay1,   Aaz1,       
 0002.202545, 000991,  0.099, _,    -00142, 000003, 008389,    -00170.81, 000005.55, 008364.28,    
 0002.212547, 000991,  0.099, _,    -00185, 000022, 008357,    -00173.27, 000008.08, 008365.50,    
 0002.222549, 000999,  0.100, _,    -00164, 000013, 008367,    -00172.38, 000010.45, 008362.41,    
 0002.232544, 000992,  0.099, _,    -00185, -00013, 008399,    -00174.03, 000005.41, 008372.27,    
 0002.242546, 000995,  0.100, _,    -00181, 000008, 008351,    -00176.44, 000005.75, 008368.03,    
 0002.252548, 000991,  0.099, _,    -00213, 000016, 008357,    -00183.00, 000008.25, 008365.77,    
 0002.262543, 000990,  0.099, _,    -00212, -00007, 008377,    -00190.72, 000005.44, 008368.45,    
 0002.272545, 000991,  0.099, _,    -00171, 000014, 008328,    -00186.36, 000006.08, 008360.02,    
 0002.282547, 000990,  0.099, _,    -00165, -00027, 008424,    -00181.61, 000000.33, 008371.41,    
 0002.292549, 000992,  0.099, _,    -00192, -00003, 008363,    -00183.61, -00002.39, 008373.50,    
 0002.302544, 000993,  0.099, _,    -00190, -00028, 008383,    -00185.70, -00006.16, 008372.17,    
 0002.312546, 000991,  0.099, _,    -00181, 000019, 008338,    -00184.39, -00003.52, 008368.69,    
 0002.322548, 000990,  0.099, _,    -00169, -00017, 008354,    -00181.91, -00003.67, 008361.72,    
 0002.332550, 000988,  0.099, _,    -00183, 000023, 008364,    -00181.48, -00001.17, 008364.59,    
 0002.342545, 000992,  0.099, _,    -00197, -00003, 008398,    -00185.53, 000001.48, 008369.47,    
 0002.352547, 000992,  0.099, _,    -00196, 000002, 008374,    -00187.67, -00000.97, 008372.88,    
 0002.362549, 000991,  0.099, _,    -00180, -00028, 008317,    -00186.27, -00004.34, 008359.61,    
 0002.372551, 000998,  0.100, _,    -00186, 000026, 008394,    -00185.50, -00001.31, 008366.42,    
 0002.382545, 000992,  0.099, _,    -00193, 000012, 008395,    -00187.27, 000004.95, 008373.67,    
 0002.392548, 000992,  0.099, _,    -00129, 000019, 008363,    -00175.53, 000005.50, 008371.64,    
 0002.402550, 000990,  0.099, _,    -00156, -00032, 008405,    -00169.36, 000000.59, 008377.61,    
 0002.412544, 000989,  0.099, _,    -00178, -00042, 008430,    -00171.91, -00011.31, 008389.80,    
 0002.422546, 000995,  0.100, _,    -00182, 000018, 008409,    -00173.33, -00004.09, 008395.08,    
 0002.432549, 000991,  0.099, _,    -00207, -00003, 008391,    -00180.86, -00003.81, 008394.77,    
 0002.442551, 000995,  0.100, _,    -00182, -00013, 008450,    -00181.73, -00005.98, 008406.19,    
 0002.452545, 000992,  0.099, _,    -00179, -00004, 008368,    -00180.72, -00005.98, 008401.20,    
 0002.462547, 001005,  0.101, _,    -00210, 000014, 008334,    -00186.84, -00001.67, 008384.72,    
 0002.472549, 000995,  0.100, _,    -00195, 000018, 008428,    -00189.22, 000003.02, 008393.47,    
 0002.482544, 000997,  0.100, _,    -00152, -00022, 008338,    -00181.20, -00001.75, 008384.70,    
 0002.492546, 000995,  0.100, _,    -00173, -00013, 008314,    -00178.55, -00005.56, 008367.03,    
 0002.502548, 000991,  0.099, _,    -00186, -00007, 008384,    -00180.62, -00005.48, 008370.02,    
 0002.512543, 000990,  0.099, _,    -00184, 000015, 008382,    -00181.72, -00001.73, 008373.02,    
 0002.522545, 000990,  0.099, _,    -00188, -00014, 008342,    -00183.56, -00003.02, 008366.45,    
 0002.532547, 000989,  0.099, _,    -00191, -00009, 008388,    -00184.97, -00005.20, 008368.75,    
 0002.542549, 000992,  0.099, _,    -00206, -00034, 008343,    -00189.69, -00010.30, 008364.50,    
 0002.552544, 000991,  0.099, _,    -00174, 000011, 008342,    -00187.00, -00007.83, 008357.39,    
 0002.562546, 000991,  0.099, _,    -00156, 000008, 008387,    -00179.47, -00002.34, 008363.64,    
 0002.572548, 000990,  0.099, _,    -00180, 000019, 008339,    -00179.19, 000000.59, 008358.31,    
 0002.582550, 000990,  0.099, _,    -00147, 000010, 008355,    -00172.77, 000004.27, 008356.92,    
 0002.592545, 000993,  0.099, _,    -00179, -00038, 008461,    -00172.31, -00005.48, 008378.36,    
 0002.602547, 000991,  0.099, _,    -00179, 000005, 008387,    -00175.22, -00003.89, 008383.75,    
 0002.612549, 000989,  0.099, _,    -00206, -00029, 008370,    -00180.64, -00007.94, 008379.38,    
 0002.622551, 000998,  0.100, _,    -00170, -00001, 008338,    -00180.36, -00008.39, 008372.36,    
 0002.632545, 000993,  0.099, _,    -00170, -00034, 008401,    -00176.20, -00012.11, 008375.33,    
 0002.642548, 000995,  0.100, _,    -00222, 000051, 008373,    -00186.44, -00001.59, 008378.70,    
 0002.652550, 000993,  0.099, _,    -00181, -00031, 008415,    -00186.16, -00003.02, 008383.22,    
 0002.662544, 000992,  0.099, _,    -00187, 000006, 008324,    -00185.28, -00005.64, 008375.00,    
 0002.672546, 000991,  0.099, _,    -00176, -00011, 008358,    -00184.16, -00002.83, 008367.09,    
 0002.682549, 000992,  0.099, _,    -00172, -00007, 008400,    -00181.23, -00007.44, 008377.34,    
 0002.692551, 000993,  0.099, _,    -00173, 000040, 008365,    -00180.00, 000004.81, 008373.25,    
 0002.702545, 000991,  0.099, _,    -00191, 000037, 008354,    -00181.91, 000010.78, 008370.19,    
 0002.712547, 000991,  0.099, _,    -00197, -00013, 008329,    -00185.83, 000008.08, 008359.50,    
 0002.722549, 000990,  0.099, _,    -00190, 000002, 008335,    -00186.67, 000004.88, 008353.86,    
 0002.732544, 000990,  0.099, _,    -00184, -00011, 008385,    -00186.34, 000003.59, 008359.53,    
 0002.742546, 000992,  0.099, _,    -00205, -00029, 008409,    -00189.77, -00004.84, 008371.17,    
 0002.752548, 000989,  0.099, _,    -00200, -00021, 008412,    -00193.14, -00007.70, 008379.61,    
 0002.762550, 000991,  0.099, _,    -00182, -00017, 008399,    -00190.14, -00010.92, 008384.80,    
 0002.772545, 000990,  0.099, _,    -00178, 000003, 008366,    -00187.61, -00007.72, 008380.84,    
 0002.782547, 000991,  0.099, _,    -00207, -00012, 008383,    -00191.30, -00008.09, 008380.98,    
 0002.792549, 000994,  0.099, _,    -00192, -00021, 008384,    -00192.73, -00011.52, 008382.61,    
 0002.802544, 000992,  0.099, _,    -00173, -00016, 008409,    -00188.12, -00012.62, 008387.27,    
 0002.812546, 000991,  0.099, _,    -00212, -00015, 008390,    -00192.94, -00013.77, 008389.59,    
 0002.822548, 000997,  0.100, _,    -00179, -00044, 008400,    -00191.23, -00020.52, 008391.31,    
 0002.832542, 000989,  0.099, _,    -00159, -00021, 008408,    -00183.33, -00022.02, 008396.69,    
 0002.842552, 000994,  0.099, _,    -00202, -00032, 008380,    -00186.78, -00023.27, 008393.62,    
 0002.852547, 000989,  0.099, _,    -00192, -00013, 008405,    -00188.64, -00022.45, 008395.56,    
 0002.862549, 000989,  0.099, _,    -00203, -00019, 008355,    -00191.02, -00020.34, 008387.84,    
 0002.872543, 001006,  0.101, _,    -00221, -00021, 008401,    -00197.92, -00021.53, 008388.19,    
 0002.882545, 000994,  0.099, _,    -00204, -00006, 008324,    -00199.66, -00017.69, 008377.34,    
 0002.892548, 001001,  0.100, _,    -00132, -00012, 008363,    -00186.14, -00016.70, 008370.20,    
 0002.902550, 000991,  0.099, _,    -00199, -00021, 008327,    -00186.06, -00017.48, 008364.17,    
 0002.912544, 000991,  0.099, _,    -00144, -00030, 008364,    -00179.84, -00020.36, 008359.83,    
 0002.922546, 000991,  0.099, _,    -00232, -00003, 008357,    -00186.86, -00017.02, 008361.94,    
 0002.932549, 000993,  0.099, _,    -00193, -00031, 008364,    -00192.92, -00018.98, 008359.09,    
 0002.942551, 000993,  0.099, _,    -00182, -00013, 008401,    -00186.94, -00018.73, 008369.47,    
 0002.952545, 000992,  0.099, _,    -00164, -00016, 008377,    -00185.36, -00016.92, 008370.23,    
 0002.962547, 000990,  0.099, _,    -00214, 000004, 008423,    -00188.00, -00013.41, 008381.33,    
 0002.972549, 000990,  0.099, _,    -00177, -00010, 008406,    -00189.08, -00011.08, 008387.64,    
 0002.982544, 000992,  0.099, _,    -00226, -00021, 008410,    -00193.02, -00014.23, 008392.20,    
 0002.992546, 000994,  0.099, _,    -00181, -00003, 008426,    -00194.47, -00011.36, 008400.34,    
 0003.002548, 000992,  0.099, _,    -00188, -00034, 008446,    -00189.36, -00015.94, 008410.80,    
 0003.012543, 000991,  0.099, _,    -00189, -00009, 008354,    -00192.86, -00015.42, 008401.56,    
 0003.022545, 000998,  0.100, _,    -00186, -00030, 008389,    -00189.09, -00017.42, 008396.34,    
 0003.032547, 000992,  0.099, _,    -00206, -00002, 008410,    -00194.33, -00015.47, 008402.05,    
 0003.042549, 000995,  0.100, _,    -00186, -00023, 008317,    -00191.89, -00015.36, 008383.88,    
 0003.052544, 000991,  0.099, _,    -00180, -00041, 008364,    -00189.50, -00022.12, 008377.95,    
 0003.062546, 000990,  0.099, _,    -00175, 000024, 008366,    -00186.20, -00012.52, 008376.08,    
 0003.072548, 000989,  0.099, _,    -00206, 000033, 008355,    -00190.27, -00001.78, 008370.58,    
 0003.082550, 000989,  0.099, _,    -00174, -00007, 008380,    -00187.59, -00002.27, 008372.17,    
 0003.092545, 000990,  0.099, _,    -00195, 000006, 008348,    -00187.69, -00001.30, 008366.72,    
 0003.102547, 000992,  0.099, _,    -00196, -00018, 008338,    -00190.52, -00003.48, 008359.17,    
 0003.112549, 000987,  0.099, _,    -00204, -00028, 008331,    -00192.44, -00009.69, 008352.61,    
 0003.122543, 000990,  0.099, _,    -00152, -00018, 008334,    -00185.62, -00011.00, 008346.80,    
 0003.132545, 000988,  0.099, _,    -00172, -00064, 008373,    -00180.06, -00022.31, 008351.67,    
 0003.142548, 000991,  0.099, _,    -00213, -00077, 008399,    -00188.28, -00035.03, 008362.16,    
 0003.152550, 000990,  0.099, _,    -00166, -00016, 008390,    -00183.66, -00032.00, 008368.20,    
 0003.162544, 000990,  0.099, _,    -00157, -00020, 008374,    -00177.30, -00028.55, 008370.17,    
 0003.172546, 000988,  0.099, _,    -00193, -00064, 008328,    -00180.02, -00036.39, 008361.83,    
 0003.182549, 000991,  0.099, _,    -00203, 000000, 008352,    -00185.73, -00030.64, 008358.03,    
 0003.192551, 000996,  0.100, _,    -00164, -00018, 008372,    -00181.36, -00026.72, 008361.88,    
 0003.202545, 000990,  0.099, _,    -00204, 000008, 008382,    -00184.77, -00021.08, 008365.53,    
 0003.212547, 000991,  0.099, _,    -00193, 000014, 008361,    -00188.00, -00011.98, 008365.80,    
 0003.222549, 000998,  0.100, _,    -00185, -00016, 008364,    -00186.45, -00013.47, 008364.97,    
 0003.232544, 000992,  0.099, _,    -00228, -00052, 008369,    -00195.50, -00020.59, 008366.94,    
 0003.242546, 000997,  0.100, _,    -00222, 000006, 008368,    -00202.08, -00016.70, 008367.05,    
 0003.252548, 000991,  0.099, _,    -00192, -00009, 008356,    -00200.80, -00012.31, 008364.94,    
 0003.262550, 000990,  0.099, _,    -00179, -00029, 008355,    -00195.81, -00016.66, 008361.72,    
 0003.272545, 000990,  0.099, _,    -00180, -00023, 008387,    -00192.48, -00017.09, 008366.91,    
 0003.282547, 001003,  0.100, _,    -00172, 000019, 008373,    -00188.44, -00010.56, 008369.00,    
 0003.292549, 000998,  0.100, _,    -00166, 000005, 008465,    -00183.38, -00004.64, 008388.42,    
 0003.302544, 000998,  0.100, _,    -00218, 000007, 008363,    -00189.64, -00003.41, 008387.72,    
 0003.312546, 000994,  0.099, _,    -00118, -00020, 008456,    -00177.06, -00005.62, 008397.53,    
 0003.322548, 000991,  0.099, _,    -00146, -00029, 008349,    -00166.48, -00012.02, 008394.08,    
 0003.332550, 000988,  0.099, _,    -00162, -00040, 008416,    -00167.19, -00017.36, 008392.09,    
 0003.342545, 000995,  0.100, _,    -00159, -00039, 008391,    -00163.33, -00023.33, 008398.59,    
 0003.352547, 000992,  0.099, _,    -00144, 000043, 008405,    -00159.83, -00009.38, 008395.08,    
 0003.362549, 000990,  0.099, _,    -00197, -00018, 008375,    -00164.81, -00008.78, 008395.88,    
 0003.372543, 000995,  0.100, _,    -00203, 000005, 008401,    -00175.11, -00008.20, 008393.06,    
 0003.382545, 000990,  0.099, _,    -00154, 000009, 008360,    -00170.09, -00002.19, 008390.61,    
 0003.392548, 000994,  0.099, _,    -00228, 000004, 008335,    -00181.48, -00001.94, 008374.91,    
 0003.402550, 000991,  0.099, _,    -00236, -00009, 008390,    -00194.81, -00002.36, 008379.25,    
 0003.412544, 000993,  0.099, _,    -00161, -00012, 008394,    -00188.72, -00005.83, 008380.77,    
 0003.422546, 000994,  0.099, _,    -00152, -00046, 008362,    -00179.61, -00013.38, 008378.00,    
 0003.432549, 000993,  0.099, _,    -00168, -00017, 008344,    -00177.50, -00015.97, 008368.91,    
 0003.442543, 000994,  0.099, _,    -00205, -00044, 008317,    -00183.55, -00019.83, 008358.06,    
 0003.452545, 000992,  0.099, _,    -00210, 000009, 008429,    -00190.45, -00016.36, 008370.30,    
 0003.462547, 000991,  0.099, _,    -00178, -00009, 008330,    -00188.12, -00011.56, 008365.81,    
 0003.472549, 000992,  0.099, _,    -00189, -00001, 008356,    -00188.22, -00012.11, 008358.34,    
 0003.482544, 000991,  0.099, _,    -00168, 000009, 008353,    -00184.91, -00005.80, 008360.52,    
 0003.492554, 001033,  0.103, _,    -00178, -00028, 008362,    -00181.95, -00011.25, 008357.72,    
 0003.502548, 001001,  0.100, _,    -00167, -00019, 008405,    -00179.53, -00013.30, 008369.66,    
 0003.512558, 001058,  0.106, _,    -00196, -00011, 008377,    -00181.31, -00013.19, 008371.09,    
 0003.522545, 001002,  0.100, _,    -00140, 000003, 008368,    -00174.00, -00009.69, 008370.64,    
 0003.532547, 000994,  0.099, _,    -00203, -00001, 008409,    -00177.25, -00007.38, 008377.94,    
