 Gtime,       Gdur,      Grx1,   Gry1,   Grz1,      Gax1,      Gay1,      Gaz1          Gcx1,    Gcy1,    Gcz1   
 0000.540588, 000548,    -00044, 000072, -00037,    -00044.00, 000072.00, -00037.00,    -0.0192, 00.0117, 00.0099,    
 0000.541565, 000546,    -00047, 000075, -00040,    -00047.00, 000075.00, -00040.00,    -0.0200, 00.0125, 00.0107,    
 0000.542542, 000546,    -00048, 000082, -00045,    -00048.00, 000082.00, -00045.00,    -0.0218, 00.0128, 00.0120,    
 0000.543579, 000545,    -00049, 000081, -00049,    -00049.00, 000081.00, -00049.00,    -0.0216, 00.0130, 00.0130,    
 0000.544556, 000546,    -00046, 000076, -00044,    -00046.00, 000076.00, -00044.00,    -0.0202, 00.0123, 00.0117,    
 0000.545593, 000546,    -00041, 000075, -00040,    -00041.00, 000075.00, -00040.00,    -0.0200, 00.0109, 00.0107,    
 0000.546570, 000547,    -00039, 000077, -00041,    -00039.00, 000077.00, -00041.00,    -0.0205, 00.0104, 00.0109,    
 0000.547546, 000546,    -00039, 000084, -00036,    -00039.00, 000084.00, -00036.00,    -0.0224, 00.0104, 00.0096,    
 0000.548584, 000546,    -00038, 000088, -00031,    -00038.00, 000088.00, -00031.00,    -0.0234, 00.0101, 00.0083,    
 0000.549561, 000560,    -00039, 000087, -00034,    -00039.00, 000087.00, -00034.00,    -0.0232, 00.0104, 00.0091,    
 0000.550598, 000547,    -00038, 000082, -00037,    -00038.00, 000082.00, -00037.00,    -0.0218, 00.0101, 00.0099,    
 0000.551575, 000546,    -00040, 000082, -00034,    -00040.00, 000082.00, -00034.00,    -0.0218, 00.0107, 00.0091,    
 0000.552551, 000551,    -00044, 000082, -00032,    -00044.00, 000082.00, -00032.00,    -0.0218, 00.0117, 00.0085,    
 0000.553589, 000545,    -00049, 000084, -00034,    -00049.00, 000084.00, -00034.00,    -0.0224, 00.0130, 00.0091,    
 0000.554565, 000545,    -00047, 000084, -00035,    -00047.00, 000084.00, -00035.00,    -0.0224, 00.0125, 00.0093,    
 0000.555542, 000546,    -00038, 000082, -00040,    -00038.00, 000082.00, -00040.00,    -0.0218, 00.0101, 00.0107,    
 0000.556580, 000553,    -00034, 000075, -00042,    -00034.00, 000075.00, -00042.00,    -0.0200, 00.0091, 00.0112,    
