 Gtime,       Gdur,    Gperc, G,    Grx1,   Gry1,   Grz1,      Gax1,      Gay1,      Gaz1   
 0002.239136, 000991,  0.099, _,    -00034, 000074, -00033,    -00035.06, 000074.81, -00033.69,    
 0002.249146, 000991,  0.099, _,    -00036, 000075, -00036,    -00034.97, 000074.81, -00033.89,    
 0002.259155, 001002,  0.100, _,    -00041, 000078, -00027,    -00036.42, 000075.47, -00032.95,    
 0002.269135, 001010,  0.101, _,    -00036, 000068, -00031,    -00036.39, 000074.06, -00031.97,    
 0002.279144, 000994,  0.099, _,    -00036, 000073, -00027,    -00036.28, 000073.42, -00031.34,    
 0002.289154, 000991,  0.099, _,    -00037, 000070, -00044,    -00036.44, 000073.08, -00033.31,    
 0002.299133, 000993,  0.099, _,    -00041, 000074, -00023,    -00037.42, 000072.95, -00032.14,    
 0002.309143, 000993,  0.099, _,    -00034, 000081, -00039,    -00036.86, 000074.92, -00032.41,    
 0002.319153, 000992,  0.099, _,    -00033, 000081, -00038,    -00035.77, 000076.17, -00034.80,    
 0002.329132, 000993,  0.099, _,    -00037, 000079, -00039,    -00036.11, 000076.95, -00034.89,    
 0002.339142, 000990,  0.099, _,    -00032, 000073, -00040,    -00035.34, 000076.12, -00036.73,    
 0002.349152, 000992,  0.099, _,    -00039, 000077, -00035,    -00035.95, 000076.17, -00035.92,    
 0002.359131, 000992,  0.099, _,    -00032, 000078, -00025,    -00035.39, 000076.69, -00034.02,    
 0002.369141, 000994,  0.099, _,    -00043, 000075, -00034,    -00036.58, 000076.34, -00033.41,    
 0002.379150, 000991,  0.099, _,    -00034, 000078, -00029,    -00036.61, 000076.62, -00033.08,    
 0002.389130, 000992,  0.099, _,    -00040, 000077, -00031,    -00036.72, 000076.91, -00032.08,    
 0002.399139, 000991,  0.099, _,    -00037, 000079, -00026,    -00037.36, 000077.36, -00031.30,    
 0002.409149, 000992,  0.099, _,    -00030, 000078, -00042,    -00035.41, 000077.67, -00032.81,    
 0002.419159, 000995,  0.100, _,    -00033, 000076, -00032,    -00034.97, 000077.28, -00033.56,    
 0002.429138, 000995,  0.100, _,    -00035, 000076, -00034,    -00034.80, 000076.97, -00032.91,    
 0002.439148, 000990,  0.099, _,    -00029, 000070, -00030,    -00033.80, 000075.48, -00032.77,    
 0002.449158, 000989,  0.099, _,    -00034, 000079, -00027,    -00033.45, 000075.92, -00030.97,    
 0002.459137, 000991,  0.099, _,    -00038, 000077, -00032,    -00034.67, 000076.48, -00031.34,    
 0002.469147, 000991,  0.099, _,    -00036, 000075, -00033,    -00034.84, 000075.97, -00031.47,    
 0002.479156, 000992,  0.099, _,    -00044, 000065, -00033,    -00036.81, 000073.83, -00032.02,    
 0002.489136, 000990,  0.099, _,    -00039, 000081, -00033,    -00037.47, 000074.75, -00032.14,    
 0002.499146, 000989,  0.099, _,    -00042, 000072, -00025,    -00038.25, 000074.86, -00030.84,    
 0002.509155, 000990,  0.099, _,    -00036, 000070, -00025,    -00038.12, 000073.16, -00029.28,    
 0002.519135, 000990,  0.099, _,    -00040, 000071, -00024,    -00038.17, 000072.98, -00028.28,    
 0002.529144, 000989,  0.099, _,    -00034, 000080, -00029,    -00037.77, 000073.98, -00028.03,    
 0002.539154, 000991,  0.099, _,    -00030, 000069, -00034,    -00035.83, 000073.56, -00029.39,    
 0002.549133, 000991,  0.099, _,    -00028, 000079, -00035,    -00034.31, 000073.95, -00030.56,    
 0002.559143, 000990,  0.099, _,    -00029, 000077, -00037,    -00032.94, 000075.31, -00032.03,    
 0002.569153, 000989,  0.099, _,    -00025, 000074, -00037,    -00031.41, 000074.56, -00033.22,    
 0002.579132, 000993,  0.099, _,    -00035, 000069, -00039,    -00031.66, 000073.77, -00034.50,    
 0002.589142, 000989,  0.099, _,    -00034, 000075, -00034,    -00032.50, 000073.48, -00034.55,    
 0002.599152, 000990,  0.099, _,    -00032, 000072, -00036,    -00032.00, 000073.70, -00034.73,    
 0002.609131, 000989,  0.099, _,    -00039, 000071, -00041,    -00033.52, 000072.72, -00036.22,    
 0002.619141, 000995,  0.100, _,    -00027, 000074, -00033,    -00032.20, 000073.17, -00035.83,    
 0002.629150, 000992,  0.099, _,    -00034, 000072, -00037,    -00032.16, 000072.84, -00036.00,    
 0002.639130, 000995,  0.100, _,    -00038, 000075, -00032,    -00033.62, 000073.38, -00035.53,    
 0002.649139, 000993,  0.099, _,    -00030, 000075, -00036,    -00032.81, 000073.67, -00035.39,    
 0002.659149, 000988,  0.099, _,    -00036, 000080, -00038,    -00033.42, 000074.98, -00036.22,    
 0002.669159, 000999,  0.100, _,    -00033, 000081, -00029,    -00033.61, 000076.42, -00034.62,    
 0002.679138, 001000,  0.100, _,    -00029, 000074, -00035,    -00032.56, 000075.97, -00034.48,    
 0002.689148, 000993,  0.099, _,    -00033, 000076, -00032,    -00032.69, 000075.88, -00034.12,    
 0002.699158, 000991,  0.099, _,    -00036, 000080, -00035,    -00033.39, 000076.89, -00034.03,    
 0002.709137, 000992,  0.099, _,    -00046, 000076, -00031,    -00036.00, 000076.84, -00033.59,    
 0002.719147, 000989,  0.099, _,    -00025, 000074, -00029,    -00034.27, 000076.20, -00032.34,    
 0002.729156, 000993,  0.099, _,    -00039, 000081, -00030,    -00034.41, 000077.22, -00031.83,    
 0002.739136, 000992,  0.099, _,    -00034, 000076, -00039,    -00035.19, 000077.23, -00033.14,    
 0002.749146, 000989,  0.099, _,    -00032, 000083, -00029,    -00033.94, 000078.27, -00032.64,    
 0002.759155, 000992,  0.099, _,    -00034, 000070, -00029,    -00034.28, 000077.00, -00031.39,    
 0002.769135, 000989,  0.099, _,    -00030, 000081, -00028,    -00033.11, 000077.17, -00030.92,    
 0002.779144, 000992,  0.099, _,    -00031, 000074, -00029,    -00032.80, 000077.20, -00030.12,    
 0002.789154, 000990,  0.099, _,    -00032, 000075, -00037,    -00032.48, 000076.05, -00031.72,    
 0002.799133, 000989,  0.099, _,    -00037, 000072, -00036,    -00033.52, 000075.67, -00032.64,    
 0002.809143, 000990,  0.099, _,    -00045, 000077, -00034,    -00035.91, 000075.42, -00032.98,    
 0002.819153, 000996,  0.100, _,    -00033, 000073, -00042,    -00035.72, 000075.38, -00034.83,    
 0002.829132, 000993,  0.099, _,    -00035, 000073, -00022,    -00035.05, 000074.39, -00032.62,    
 0002.839142, 000994,  0.099, _,    -00036, 000075, -00029,    -00035.62, 000074.80, -00031.12,    
 0002.849152, 000991,  0.099, _,    -00038, 000069, -00029,    -00035.92, 000073.33, -00031.19,    
 0002.859131, 000990,  0.099, _,    -00035, 000075, -00038,    -00035.97, 000073.59, -00032.03,    
 0002.869141, 000991,  0.099, _,    -00034, 000073, -00033,    -00035.39, 000073.47, -00032.91,    
 0002.879150, 000993,  0.099, _,    -00044, 000071, -00032,    -00037.28, 000072.86, -00032.30,    
 0002.889130, 000994,  0.099, _,    -00031, 000080, -00035,    -00036.38, 000074.25, -00033.23,    
 0002.899139, 000992,  0.099, _,    -00037, 000076, -00028,    -00036.11, 000074.86, -00032.06,    
 0002.909149, 000993,  0.099, _,    -00036, 000074, -00029,    -00036.47, 000074.55, -00031.31,    
 0002.919159, 000992,  0.099, _,    -00037, 000068, -00031,    -00036.28, 000073.31, -00031.06,    
 0002.929138, 000993,  0.099, _,    -00034, 000074, -00038,    -00036.02, 000073.11, -00032.52,    
 0002.939148, 000990,  0.099, _,    -00040, 000079, -00033,    -00036.52, 000074.58, -00032.78,    
 0002.949158, 000993,  0.099, _,    -00030, 000068, -00036,    -00035.62, 000073.28, -00033.36,    
 0002.959137, 000990,  0.099, _,    -00031, 000078, -00032,    -00034.11, 000073.94, -00033.41,    
 0002.969147, 000992,  0.099, _,    -00036, 000076, -00035,    -00034.75, 000074.81, -00033.50,    
 0002.979156, 000992,  0.099, _,    -00039, 000077, -00028,    -00035.41, 000075.06, -00032.64,    
 0002.989136, 000992,  0.099, _,    -00038, 000069, -00036,    -00036.27, 000074.09, -00032.83,    
