 Atime,       Adur,    Aperc, A,    Arx1,   Ary1,   Arz1,      Aax1,      Aay1,      Aaz1,   
 0002.351807, 000988,  0.099, _,    -00231, -00024, 008347,    -00203.72, -00022.44, 008355.33,    
 0002.361786, 000990,  0.099, _,    -00191, -00029, 008406,    -00202.09, -00023.30, 008361.81,    
 0002.371796, 000992,  0.099, _,    -00195, -00051, 008304,    -00199.27, -00029.56, 008356.31,    
 0002.381805, 000991,  0.099, _,    -00232, -00026, 008346,    -00206.67, -00029.70, 008347.22,    
 0002.391785, 000989,  0.099, _,    -00199, -00009, 008354,    -00206.09, -00025.11, 008353.94,    
 0002.401794, 000992,  0.099, _,    -00262, -00004, 008305,    -00216.45, -00020.62, 008340.23,    
 0002.411804, 000991,  0.099, _,    -00168, 000002, 008321,    -00209.14, -00015.80, 008336.67,    
 0002.421783, 000996,  0.100, _,    -00198, 000012, 008331,    -00202.48, -00009.38, 008333.64,    
 0002.431793, 000993,  0.099, _,    -00196, -00016, 008354,    -00204.17, -00009.69, 008339.06,    
 0002.441803, 000991,  0.099, _,    -00229, -00003, 008371,    -00206.86, -00008.61, 008344.91,    
 0002.451782, 000991,  0.099, _,    -00200, -00007, 008395,    -00208.75, -00007.34, 008356.73,    
 0002.461792, 000989,  0.099, _,    -00182, 000002, 008323,    -00200.86, -00006.14, 008350.38,    
 0002.471802, 000988,  0.099, _,    -00207, -00026, 008346,    -00203.08, -00008.88, 008347.47,    
 0002.481812, 000993,  0.099, _,    -00174, -00019, 008349,    -00196.58, -00012.20, 008348.88,    
 0002.491791, 000990,  0.099, _,    -00151, 000015, 008361,    -00186.80, -00005.39, 008350.30,    
 0002.501801, 000989,  0.099, _,    -00204, 000020, 008342,    -00188.14, 000000.44, 008350.42,    
 0002.511810, 000992,  0.099, _,    -00193, 000000, 008347,    -00190.80, 000001.06, 008348.06,    
 0002.521790, 000992,  0.099, _,    -00195, 000029, 008334,    -00189.86, 000006.14, 008347.00,    
 0002.531799, 000992,  0.099, _,    -00193, -00004, 008346,    -00191.62, 000005.77, 008345.72,    
 0002.541809, 000992,  0.099, _,    -00184, -00035, 008370,    -00189.25, -00004.12, 008351.83,    
 0002.551788, 000990,  0.099, _,    -00164, -00048, 008342,    -00184.30, -00013.27, 008349.61,    
 0002.561798, 000989,  0.099, _,    -00190, -00012, 008359,    -00183.86, -00014.64, 008350.98,    
 0002.571808, 000991,  0.099, _,    -00191, -00042, 008341,    -00186.05, -00018.95, 008349.25,    
 0002.581787, 000993,  0.099, _,    -00184, -00009, 008295,    -00185.11, -00019.16, 008337.50,    
 0002.591797, 000990,  0.099, _,    -00191, 000004, 008378,    -00186.66, -00012.52, 008344.33,    
 0002.601807, 000993,  0.099, _,    -00216, -00015, 008377,    -00192.55, -00013.67, 008353.45,    
 0002.611786, 000991,  0.099, _,    -00208, -00039, 008426,    -00197.41, -00018.61, 008367.31,    
 0002.621796, 000994,  0.099, _,    -00188, -00036, 008373,    -00195.05, -00024.17, 008372.23,    
 0002.631805, 000996,  0.100, _,    -00212, 000010, 008368,    -00198.34, -00017.16, 008369.16,    
 0002.641785, 000992,  0.099, _,    -00229, -00030, 008324,    -00205.41, -00019.17, 008362.33,    
 0002.651794, 000990,  0.099, _,    -00205, 000001, 008354,    -00206.20, -00016.58, 008357.62,    
 0002.661804, 001009,  0.101, _,    -00200, -00007, 008330,    -00204.66, -00012.62, 008354.08,    
 0002.671783, 000994,  0.099, _,    -00171, -00016, 008346,    -00198.41, -00013.86, 008349.56,    
 0002.681793, 000999,  0.100, _,    -00218, 000005, 008368,    -00201.23, -00009.20, 008355.58,    
 0002.691803, 000989,  0.099, _,    -00195, -00012, 008307,    -00202.03, -00009.55, 008344.92,    
 0002.701782, 000992,  0.099, _,    -00180, -00004, 008353,    -00195.84, -00008.55, 008345.95,    
 0002.711792, 000989,  0.099, _,    -00169, -00002, 008404,    -00190.97, -00006.91, 008358.44,    
 0002.721802, 000991,  0.099, _,    -00177, -00024, 008332,    -00186.50, -00010.22, 008353.95,    
 0002.731812, 000993,  0.099, _,    -00173, -00044, 008342,    -00184.19, -00017.50, 008348.72,    
 0002.741791, 000992,  0.099, _,    -00159, -00017, 008344,    -00177.77, -00017.91, 008348.56,    
 0002.751801, 000989,  0.099, _,    -00181, -00026, 008337,    -00177.81, -00019.20, 008345.08,    
 0002.761810, 000989,  0.099, _,    -00202, -00021, 008362,    -00182.39, -00020.39, 008349.17,    
 0002.771790, 000990,  0.099, _,    -00172, -00003, 008336,    -00180.88, -00016.42, 008346.70,    
 0002.781799, 000992,  0.099, _,    -00206, 000005, 008387,    -00184.61, -00012.12, 008354.11,    
 0002.791809, 000990,  0.099, _,    -00165, -00017, 008324,    -00182.44, -00012.28, 008350.67,    
 0002.801788, 000992,  0.099, _,    -00205, -00017, 008352,    -00184.56, -00014.25, 008347.77,    
 0002.811798, 000988,  0.099, _,    -00186, -00007, 008282,    -00187.34, -00012.48, 008337.00,    
 0002.821808, 000994,  0.099, _,    -00241, 000005, 008374,    -00196.25, -00009.02, 008339.94,    
 0002.831787, 000991,  0.099, _,    -00230, 000001, 008365,    -00207.16, -00006.25, 008349.44,    
 0002.841797, 000994,  0.099, _,    -00158, -00039, 008327,    -00195.97, -00012.95, 008341.83,    
