 timeG,       durG,    percG, G,    rGx1,   rGy1,   rGz1,       
 0000.841797, 000977,  0.977, _,    -00033, 000078, -00030,    
 0000.843750, 000978,  0.978, _,    -00036, 000077, -00025,    
 0000.843750, 000979,  0.979, _,    -00034, 000074, -00025,    
 0000.845703, 000976,  0.976, _,    -00036, 000075, -00029,    
 0000.845703, 000977,  0.977, _,    -00039, 000079, -00030,    
 0000.847656, 000978,  0.978, _,    -00041, 000083, -00026,    
 0000.847656, 000978,  0.978, _,    -00042, 000081, -00026,    
 0000.849609, 000978,  0.978, _,    -00040, 000077, -00032,    
 0000.849609, 000978,  0.978, _,    -00040, 000074, -00036,    
 0000.851562, 000977,  0.977, _,    -00040, 000078, -00035,    
 0000.851562, 000978,  0.978, _,    -00037, 000082, -00033,    
 0000.853516, 000978,  0.978, _,    -00036, 000083, -00032,    
 0000.853516, 000977,  0.977, _,    -00034, 000080, -00030,    
 0000.855469, 000977,  0.977, _,    -00031, 000076, -00030,    
 0000.855469, 000977,  0.977, _,    -00033, 000076, -00028,    
 0000.857422, 000979,  0.979, _,    -00036, 000078, -00025,    
 0000.857422, 000977,  0.977, _,    -00039, 000077, -00027,    
 0000.859375, 000977,  0.977, _,    -00037, 000079, -00031,    
 0000.859375, 000977,  0.977, _,    -00034, 000081, -00031,    
 0000.861328, 000978,  0.978, _,    -00032, 000083, -00030,    
 0000.861328, 000976,  0.976, _,    -00030, 000081, -00029,    
 0000.863281, 000977,  0.977, _,    -00030, 000074, -00028,    
 0000.863281, 000977,  0.977, _,    -00034, 000069, -00031,    
 0000.865234, 000976,  0.976, _,    -00036, 000075, -00033,    
 0000.865234, 000975,  0.975, _,    -00037, 000080, -00033,    
 0000.867188, 000976,  0.976, _,    -00037, 000083, -00033,    
 0000.867188, 000976,  0.976, _,    -00036, 000082, -00029,    
 0000.869141, 000976,  0.976, _,    -00035, 000081, -00029,    
 0000.869141, 000978,  0.978, _,    -00035, 000079, -00029,    
 0000.871094, 000976,  0.976, _,    -00036, 000076, -00032,    
 0000.871094, 000979,  0.979, _,    -00038, 000077, -00032,    
 0000.873047, 000977,  0.977, _,    -00033, 000084, -00029,    
 0000.873047, 000978,  0.978, _,    -00032, 000086, -00028,    
 0000.875000, 000978,  0.978, _,    -00032, 000081, -00029,    
 0000.875000, 000977,  0.977, _,    -00032, 000078, -00030,    
 0000.876953, 000978,  0.978, _,    -00033, 000074, -00033,    
 0000.876953, 000976,  0.976, _,    -00037, 000070, -00033,    
 0000.878906, 000977,  0.977, _,    -00041, 000070, -00035,    
 0000.880859, 000979,  0.979, _,    -00035, 000071, -00030,    
 0000.880859, 000979,  0.979, _,    -00030, 000071, -00025,    
 0000.882812, 000976,  0.976, _,    -00030, 000076, -00027,    
 0000.882812, 000989,  0.989, _,    -00033, 000080, -00027,    
 0000.884766, 000980,  0.980, _,    -00036, 000079, -00025,    
 0000.884766, 000980,  0.980, _,    -00037, 000077, -00027,    
 0000.886719, 000978,  0.978, _,    -00034, 000077, -00031,    
 0000.886719, 000978,  0.978, _,    -00027, 000080, -00033,    
 0000.888672, 000977,  0.977, _,    -00026, 000084, -00036,    
 0000.888672, 000978,  0.978, _,    -00030, 000081, -00036,    
 0000.890625, 000997,  0.997, _,    -00034, 000073, -00030,    
 0000.890625, 000977,  0.977, _,    -00035, 000067, -00027,    
 0000.892578, 000978,  0.978, _,    -00035, 000068, -00027,    
 0000.892578, 000978,  0.978, _,    -00035, 000071, -00030,    
 0000.894531, 000977,  0.977, _,    -00032, 000073, -00033,    
 0000.894531, 000977,  0.977, _,    -00033, 000076, -00034,    
 0000.896484, 000977,  0.977, _,    -00037, 000075, -00030,    
 0000.896484, 000976,  0.976, _,    -00035, 000077, -00029,    
 0000.898438, 000976,  0.976, _,    -00038, 000082, -00036,    
 0000.898438, 000976,  0.976, _,    -00037, 000086, -00039,    
 0000.900391, 000994,  0.994, _,    -00033, 000079, -00035,    
 0000.900391, 000976,  0.976, _,    -00033, 000079, -00035,    
 0000.902344, 000977,  0.977, _,    -00037, 000077, -00036,    
 0000.902344, 000977,  0.977, _,    -00038, 000077, -00039,    
 0000.904297, 000977,  0.977, _,    -00031, 000077, -00042,    
 0000.904297, 000976,  0.976, _,    -00027, 000075, -00044,    
 0000.906250, 000977,  0.977, _,    -00031, 000078, -00045,    
 0000.906250, 000978,  0.978, _,    -00036, 000082, -00039,    
 0000.908203, 000977,  0.977, _,    -00042, 000080, -00034,    
 0000.908203, 000978,  0.978, _,    -00046, 000075, -00031,    
 0000.910156, 000994,  0.994, _,    -00047, 000071, -00031,    
 0000.910156, 000979,  0.979, _,    -00042, 000068, -00032,    
 0000.912109, 000976,  0.976, _,    -00037, 000066, -00034,    
 0000.912109, 000977,  0.977, _,    -00035, 000071, -00035,    
 0000.914062, 000977,  0.977, _,    -00033, 000076, -00034,    
 0000.914062, 000976,  0.976, _,    -00034, 000080, -00035,    
 0000.916016, 000978,  0.978, _,    -00035, 000076, -00038,    
 0000.917969, 000977,  0.977, _,    -00035, 000068, -00038,    
 0000.917969, 000977,  0.977, _,    -00036, 000066, -00036,    
 0000.919922, 000977,  0.977, _,    -00036, 000070, -00035,    
 0000.919922, 000977,  0.977, _,    -00033, 000077, -00036,    
 0000.921875, 000978,  0.978, _,    -00033, 000081, -00034,    
 0000.921875, 000977,  0.977, _,    -00033, 000076, -00029,    
 0000.923828, 000977,  0.977, _,    -00029, 000072, -00034,    
 0000.923828, 000976,  0.976, _,    -00027, 000075, -00040,    
 0000.925781, 000977,  0.977, _,    -00032, 000078, -00037,    
 0000.925781, 000976,  0.976, _,    -00032, 000082, -00033,    
 0000.927734, 000976,  0.976, _,    -00033, 000083, -00033,    
 0000.927734, 000976,  0.976, _,    -00037, 000078, -00030,    
 0000.929688, 000991,  0.991, _,    -00036, 000077, -00030,    
 0000.929688, 000980,  0.980, _,    -00032, 000075, -00032,    
 0000.931641, 000978,  0.978, _,    -00032, 000071, -00039,    
 0000.931641, 000977,  0.977, _,    -00029, 000070, -00039,    
 0000.933594, 000977,  0.977, _,    -00025, 000072, -00034,    
 0000.933594, 000977,  0.977, _,    -00026, 000070, -00033,    
 0000.935547, 000977,  0.977, _,    -00029, 000070, -00037,    
 0000.935547, 000977,  0.977, _,    -00030, 000073, -00039,    
 0000.937500, 000975,  0.975, _,    -00030, 000078, -00041,    
 0000.937500, 000978,  0.978, _,    -00032, 000083, -00046,    
 0000.939453, 000991,  0.991, _,    -00036, 000087, -00049,    
 0000.939453, 000978,  0.978, _,    -00037, 000085, -00045,    
 0000.941406, 000978,  0.978, _,    -00041, 000081, -00041,    
 0000.941406, 000977,  0.977, _,    -00044, 000076, -00038,    
 0000.943359, 000977,  0.977, _,    -00041, 000075, -00035,    
 0000.943359, 000976,  0.976, _,    -00037, 000075, -00034,    
 0000.945312, 000977,  0.977, _,    -00038, 000075, -00033,    
 0000.945312, 000977,  0.977, _,    -00038, 000072, -00031,    
 0000.947266, 000987,  0.987, _,    -00032, 000070, -00029,    
 0000.947266, 000981,  0.981, _,    -00025, 000070, -00033,    
 0000.949219, 000980,  0.980, _,    -00025, 000075, -00039,    
 0000.949219, 000980,  0.980, _,    -00031, 000082, -00038,    
