 Mtime,       Mdur,    Mperc, M,    Mrx1, Mry1, Mrz1,     
 0004.697266, 002041,  0.102, _,    0106, 0150, -035,    
 0004.716797, 002025,  0.101, _,    0103, 0149, -034,    
 0004.738281, 002025,  0.101, _,    0106, 0148, -038,    
 0004.757812, 002023,  0.101, _,    0111, 0150, -040,    
 0004.777344, 002024,  0.101, _,    0104, 0153, -035,    
 0004.796875, 002024,  0.101, _,    0107, 0149, -041,    
 0004.816406, 002026,  0.101, _,    0111, 0146, -038,    
 0004.837891, 002022,  0.101, _,    0109, 0145, -034,    
 0004.857422, 002023,  0.101, _,    0108, 0146, -040,    
 0004.876953, 002022,  0.101, _,    0105, 0145, -041,    
 0004.896484, 002023,  0.101, _,    0105, 0149, -032,    
 0004.917969, 002022,  0.101, _,    0106, 0148, -033,    
 0004.937500, 002087,  0.104, _,    0101, 0146, -038,    
 0004.957031, 002030,  0.102, _,    0105, 0147, -039,    
 0004.976562, 002022,  0.101, _,    0107, 0149, -032,    
 0004.998047, 002028,  0.101, _,    0106, 0148, -030,    
 0005.017578, 002024,  0.101, _,    0105, 0140, -039,    
 0005.037109, 002027,  0.101, _,    0100, 0149, -036,    
 0005.056641, 002025,  0.101, _,    0104, 0148, -033,    
 0005.078125, 002026,  0.101, _,    0106, 0146, -038,    
 0005.097656, 002027,  0.101, _,    0107, 0152, -041,    
 0005.117188, 002023,  0.101, _,    0108, 0146, -033,    
 0005.136719, 002025,  0.101, _,    0109, 0152, -034,    
 0005.158203, 002024,  0.101, _,    0104, 0148, -035,    
 0005.177734, 002024,  0.101, _,    0106, 0148, -035,    
 0005.197266, 002078,  0.104, _,    0104, 0146, -035,    
 0005.216797, 002034,  0.102, _,    0105, 0147, -034,    
 0005.238281, 002028,  0.101, _,    0108, 0146, -033,    
 0005.257812, 002028,  0.101, _,    0104, 0146, -038,    
 0005.277344, 002025,  0.101, _,    0109, 0152, -039,    
 0005.296875, 002026,  0.101, _,    0107, 0149, -032,    
 0005.316406, 002023,  0.101, _,    0107, 0147, -034,    
 0005.337891, 002025,  0.101, _,    0107, 0152, -034,    
 0005.357422, 002024,  0.101, _,    0105, 0147, -041,    
