 Atime,       Adur,    Aperc, A,    Arx1,   Ary1,   Arz1,    Aax1,   Aay1,   Aaz1,
 0001.336060, 000986,  0.099, _,    -00201, -00052, 008274,    -00196.45, -00027.53, 008339.98,    
 0001.346039, 000987,  0.099, _,    -00179, -00008, 008377,    -00191.67, -00025.12, 008345.06,    
 0001.356049, 001007,  0.101, _,    -00197, -00029, 008351,    -00193.14, -00024.39, 008349.84,    
 0001.366058, 000989,  0.099, _,    -00171, -00004, 008303,    -00188.92, -00021.98, 008337.72,    
 0001.376038, 000992,  0.099, _,    -00166, -00046, 008329,    -00183.64, -00025.30, 008336.33,    
 0001.386047, 000989,  0.099, _,    -00188, -00029, 008373,    -00184.09, -00028.67, 008343.05,    
 0001.396057, 000985,  0.099, _,    -00184, -00034, 008364,    -00184.78, -00027.92, 008349.17,    
 0001.406036, 000986,  0.099, _,    -00154, -00041, 008373,    -00177.84, -00032.73, 008353.09,    
 0001.416046, 000985,  0.099, _,    -00203, -00018, 008296,    -00181.67, -00028.98, 008342.52,    
 0001.426056, 000988,  0.099, _,    -00148, 000013, 008371,    -00176.53, -00020.72, 008344.83,    
 0001.436035, 000987,  0.099, _,    -00244, -00025, 008323,    -00186.92, -00019.64, 008344.00,    
 0001.446045, 000985,  0.099, _,    -00155, -00001, 008332,    -00185.36, -00017.25, 008337.52,    
 0001.456055, 000987,  0.099, _,    -00144, 000001, 008251,    -00171.47, -00011.20, 008323.11,    
 0001.466034, 000986,  0.099, _,    -00180, -00027, 008324,    -00175.77, -00015.30, 008317.48,    
 0001.476044, 000985,  0.099, _,    -00201, -00035, 008388,    -00179.02, -00019.05, 008335.98,    
 0001.486053, 000986,  0.099, _,    -00202, -00023, 008335,    -00186.08, -00020.81, 008335.17,    
 0001.496063, 000986,  0.099, _,    -00199, 000028, 008364,    -00187.78, -00010.12, 008341.48,    
 0001.506042, 000983,  0.098, _,    -00196, 000000, 008371,    -00190.88, -00006.14, 008347.66,    
 0001.516052, 000986,  0.099, _,    -00165, -00018, 008326,    -00185.06, -00009.17, 008344.05,    
 0001.526062, 000984,  0.098, _,    -00199, -00020, 008349,    -00187.94, -00010.86, 008343.31,    
 0001.536041, 000985,  0.099, _,    -00183, -00022, 008346,    -00187.38, -00013.48, 008345.34,    
 0001.546051, 000987,  0.099, _,    -00188, -00017, 008353,    -00186.97, -00014.42, 008345.88,    
 0001.556061, 000986,  0.099, _,    -00210, 000005, 008326,    -00192.17, -00010.80, 008343.38,    
 0001.566040, 000983,  0.098, _,    -00196, -00033, 008370,    -00193.45, -00014.44, 008347.52,    
 0001.576050, 000985,  0.099, _,    -00216, -00008, 008431,    -00198.69, -00014.77, 008367.52,    
 0001.586060, 000985,  0.099, _,    -00210, -00024, 008308,    -00201.97, -00014.86, 008357.62,    
 0001.596039, 000985,  0.099, _,    -00199, 000004, 008382,    -00201.12, -00012.58, 008358.61,    
 0001.606049, 000984,  0.098, _,    -00197, -00015, 008365,    -00200.34, -00011.00, 008363.83,    
 0001.616058, 000989,  0.099, _,    -00179, -00037, 008293,    -00195.92, -00018.42, 008346.92,    
 0001.626038, 000990,  0.099, _,    -00207, -00023, 008365,    -00197.50, -00019.19, 008349.78,    
 0001.636047, 000986,  0.099, _,    -00175, -00011, 008359,    -00194.27, -00017.92, 008352.84,    
 0001.646057, 000987,  0.099, _,    -00221, -00002, 008328,    -00198.08, -00013.98, 008347.47,    
 0001.656036, 000986,  0.099, _,    -00191, -00031, 008370,    -00199.08, -00017.42, 008351.67,    
 0001.666046, 000985,  0.099, _,    -00223, -00024, 008362,    -00201.97, -00019.44, 008354.95,    
 0001.676056, 000986,  0.099, _,    -00207, -00027, 008336,    -00205.53, -00020.84, 008350.52,    
 0001.686035, 000985,  0.099, _,    -00212, -00021, 008364,    -00204.92, -00021.30, 008353.09,    
 0001.696045, 000984,  0.098, _,    -00244, -00019, 008351,    -00214.61, -00020.61, 008352.30,    
 0001.706055, 000986,  0.099, _,    -00160, -00021, 008336,    -00203.59, -00021.08, 008348.67,    
 0001.716034, 000986,  0.099, _,    -00202, -00006, 008312,    -00201.25, -00017.89, 008341.16,    
 0001.726044, 000987,  0.099, _,    -00223, 000037, 008370,    -00207.38, -00006.38, 008345.16,    
 0001.736053, 000986,  0.099, _,    -00210, -00025, 008303,    -00207.83, -00008.02, 008339.41,    
 0001.746063, 000987,  0.099, _,    -00185, -00018, 008323,    -00203.69, -00012.16, 008332.50,    
 0001.756042, 000987,  0.099, _,    -00166, -00046, 008278,    -00194.95, -00017.59, 008323.06,    
 0001.766052, 001005,  0.101, _,    -00199, -00038, 008335,    -00195.22, -00024.25, 008321.56,    
 0001.776062, 000990,  0.099, _,    -00197, 000000, 008338,    -00196.08, -00018.09, 008328.03,    
 0001.786041, 000991,  0.099, _,    -00197, -00012, 008382,    -00195.61, -00016.84, 008336.16,    
 0001.796051, 000985,  0.099, _,    -00187, -00006, 008368,    -00193.66, -00014.31, 008346.39,    
 0001.806061, 000986,  0.099, _,    -00193, -00045, 008393,    -00193.06, -00020.09, 008353.86,    
 0001.816040, 000986,  0.099, _,    -00203, 000006, 008303,    -00195.02, -00016.19, 008347.03,    
 0001.826050, 000989,  0.099, _,    -00220, -00031, 008323,    -00200.30, -00017.19, 008337.48,    
 0001.836060, 000987,  0.099, _,    -00180, 000008, 008373,    -00197.05, -00014.55, 008347.81,    
 0001.846039, 000987,  0.099, _,    -00215, 000032, 008385,    -00198.84, -00002.84, 008354.36,    
 0001.856049, 000986,  0.099, _,    -00168, -00046, 008405,    -00194.59, -00011.80, 008367.42,    
 0001.866058, 000985,  0.099, _,    -00171, -00025, 008328,    -00187.11, -00015.45, 008360.30,    
 0001.876038, 000985,  0.099, _,    -00180, 000006, 008344,    -00187.17, -00010.39, 008356.20,    
 0001.886047, 000985,  0.099, _,    -00179, -00009, 008352,    -00184.02, -00009.31, 008356.59,    
 0001.896057, 000986,  0.099, _,    -00199, -00022, 008330,    -00187.70, -00012.34, 008350.34,    
 0001.906036, 000991,  0.099, _,    -00167, -00028, 008269,    -00183.38, -00015.78, 008332.92,    
 0001.916046, 000986,  0.099, _,    -00195, -00043, 008332,    -00184.84, -00021.77, 008329.48,    
 0001.926056, 000988,  0.099, _,    -00201, 000000, 008422,    -00189.08, -00017.69, 008350.23,    
 0001.936035, 000986,  0.099, _,    -00192, -00012, 008312,    -00189.28, -00015.42, 008344.56,    
 0001.946045, 000988,  0.099, _,    -00219, -00003, 008345,    -00195.17, -00014.06, 008341.88,    
 0001.956055, 000984,  0.098, _,    -00218, 000018, 008319,    -00200.84, -00006.27, 008338.89,    
 0001.966034, 000984,  0.098, _,    -00198, -00029, 008387,    -00200.48, -00011.02, 008345.72,    
 0001.976044, 000985,  0.099, _,    -00210, -00032, 008356,    -00202.47, -00016.05, 008351.25,    
 0001.986053, 000986,  0.099, _,    -00219, -00012, 008358,    -00206.86, -00015.11, 008349.55,    
 0001.996063, 000985,  0.099, _,    -00164, -00001, 008353,    -00198.58, -00012.36, 008353.02,    
 0002.006042, 000986,  0.099, _,    -00174, -00016, 008394,    -00192.14, -00012.64, 008359.86,    
 0002.016052, 000985,  0.099, _,    -00200, -00027, 008327,    -00194.14, -00015.91, 008356.83,    
 0002.026062, 000989,  0.099, _,    -00167, -00037, 008314,    -00188.84, -00020.22, 008344.77,    
 0002.036041, 000988,  0.099, _,    -00181, 000007, 008352,    -00186.28, -00015.06, 008348.00,    
 0002.046051, 000987,  0.099, _,    -00146, -00024, 008314,    -00178.23, -00015.42, 008339.56,    
 0002.056061, 000985,  0.099, _,    -00166, 000010, 008313,    -00173.62, -00012.23, 008333.86,    
 0002.066040, 000986,  0.099, _,    -00205, -00046, 008358,    -00180.66, -00016.78, 008337.98,    
 0002.076050, 000985,  0.099, _,    -00196, -00041, 008385,    -00183.52, -00025.14, 008348.95,    
 0002.086060, 000986,  0.099, _,    -00185, 000016, 008323,    -00183.78, -00015.12, 008344.27,    
 0002.096039, 000987,  0.099, _,    -00192, -00039, 008373,    -00185.06, -00019.59, 008348.09,    
 0002.106049, 000986,  0.099, _,    -00219, -00032, 008386,    -00192.17, -00023.42, 008358.02,    
 0002.116058, 000987,  0.099, _,    -00193, -00012, 008310,    -00193.48, -00020.88, 008347.89,    
 0002.126038, 000985,  0.099, _,    -00203, -00005, 008334,    -00194.92, -00017.50, 008343.28,    
 0002.136047, 000986,  0.099, _,    -00170, 000011, 008314,    -00190.70, -00011.06, 008337.83,    
 0002.146057, 000987,  0.099, _,    -00179, 000013, 008372,    -00187.06, -00005.36, 008343.70,    
 0002.156036, 000986,  0.099, _,    -00174, -00021, 008325,    -00185.59, -00008.33, 008342.59,    
 0002.166046, 000985,  0.099, _,    -00166, 000025, 008368,    -00180.59, -00002.19, 008345.02,    
 0002.176056, 001001,  0.100, _,    -00178, -00020, 008357,    -00180.50, -00003.66, 008351.00,    
 0002.186035, 000986,  0.099, _,    -00162, 000007, 008364,    -00176.19, -00003.67, 008351.64,    
 0002.196045, 000991,  0.099, _,    -00191, 000006, 008408,    -00178.53, 000001.19, 008364.89,    
 0002.206055, 000987,  0.099, _,    -00214, -00036, 008312,    -00186.48, -00007.92, 008354.66,    
 0002.216034, 000987,  0.099, _,    -00215, -00030, 008364,    -00192.78, -00012.27, 008354.25,    
 0002.226044, 000993,  0.099, _,    -00126, -00030, 008338,    -00179.48, -00016.28, 008352.91,    
 0002.236053, 000988,  0.099, _,    -00181, -00038, 008306,    -00176.55, -00020.97, 008341.52,    
 0002.246063, 000987,  0.099, _,    -00198, 000000, 008358,    -00183.27, -00017.67, 008345.05,    
 0002.256042, 000986,  0.099, _,    -00185, -00022, 008358,    -00182.50, -00017.48, 008348.48,    
 0002.266052, 000985,  0.099, _,    -00193, 000007, 008374,    -00185.72, -00014.23, 008353.64,    
 0002.276062, 000986,  0.099, _,    -00194, -00031, 008323,    -00186.98, -00015.55, 008348.53,    
 0002.286041, 000987,  0.099, _,    -00215, -00009, 008345,    -00193.89, -00016.92, 008345.73,    
 0002.296051, 000985,  0.099, _,    -00203, -00005, 008343,    -00196.52, -00012.61, 008346.19,    
 0002.306061, 000985,  0.099, _,    -00252, 000002, 008380,    -00207.83, -00010.91, 008351.86,    
 0002.316040, 000985,  0.099, _,    -00211, -00003, 008327,    -00210.78, -00008.02, 008348.31,    
 0002.326050, 000984,  0.098, _,    -00174, -00039, 008391,    -00201.92, -00014.86, 008354.44,    
 0002.336060, 000984,  0.098, _,    -00203, -00007, 008354,    -00202.02, -00013.44, 008358.56,    
 0002.346039, 000985,  0.099, _,    -00182, -00006, 008336,    -00198.78, -00011.06, 008350.95,    
 0002.356049, 000985,  0.099, _,    -00160, 000012, 008374,    -00190.44, -00006.36, 008357.80,    
 0002.366058, 000986,  0.099, _,    -00209, -00004, 008335,    -00193.17, -00004.91, 008352.56,    
 0002.376038, 000987,  0.099, _,    -00175, 000019, 008291,    -00191.02, -00000.66, 008339.64,    
 0002.386047, 000987,  0.099, _,    -00199, -00003, 008380,    -00190.83, 000000.55, 008345.52,    
 0002.396057, 000986,  0.099, _,    -00195, 000003, 008389,    -00193.42, -00000.06, 008357.69,    
 0002.406036, 000986,  0.099, _,    -00169, 000001, 008341,    -00186.70, 000001.47, 008353.62,    
 0002.416046, 000988,  0.099, _,    -00175, 000012, 008287,    -00184.17, 000002.64, 008340.20,    
 0002.426056, 000989,  0.099, _,    -00194, -00016, 008397,    -00185.02, 000000.25, 008348.62,    
 0002.436035, 000986,  0.099, _,    -00223, -00007, 008391,    -00193.06, -00002.88, 008361.81,    
 0002.446045, 000986,  0.099, _,    -00198, -00013, 008333,    -00195.16, -00003.45, 008353.98,    
 0002.456055, 000984,  0.098, _,    -00195, 000024, 008359,    -00194.64, 000000.94, 008354.83,    
 0002.466034, 000986,  0.099, _,    -00198, -00006, 008363,    -00195.80, 000001.66, 008356.86,    
 0002.476044, 000986,  0.099, _,    -00179, 000002, 008335,    -00192.72, -00000.39, 008353.09,    
 0002.486053, 000987,  0.099, _,    -00211, -00013, 008415,    -00195.75, -00001.36, 008364.52,    
 0002.496063, 000985,  0.099, _,    -00215, -00010, 008313,    -00200.81, -00004.98, 008357.77,    
 0002.506042, 000985,  0.099, _,    -00170, -00048, 008301,    -00194.61, -00012.75, 008341.59,    
 0002.516052, 000985,  0.099, _,    -00220, -00041, 008302,    -00198.75, -00021.27, 008334.89,    
 0002.526062, 000986,  0.099, _,    -00167, -00022, 008346,    -00194.55, -00020.75, 008334.12,    
 0002.536041, 000987,  0.099, _,    -00181, 000029, 008333,    -00189.19, -00011.70, 008336.83,    
 0002.546051, 000986,  0.099, _,    -00199, 000005, 008339,    -00192.78, -00005.77, 008334.50,    
 0002.556061, 000984,  0.098, _,    -00185, 000032, 008452,    -00189.86, 000000.41, 008359.41,    
 0002.566040, 000985,  0.099, _,    -00174, -00010, 008359,    -00187.03, 000001.02, 008362.86,    
 0002.576050, 001004,  0.100, _,    -00166, -00025, 008340,    -00181.73, -00006.89, 008355.83,    
 0002.586060, 000988,  0.099, _,    -00204, -00005, 008353,    -00185.98, -00005.62, 008355.92,    
