 Gtime,       Gdur,    Gperc, G,    Grx1,   Gry1,   Grz1,    Gax1,   Gay1,   Gaz1
 0002.063446, 000986,  0.099, _,    -00034, 000070, -00035,    -00036.30, 000075.95, -00032.98,    
 0002.073456, 000985,  0.099, _,    -00040, 000074, -00032,    -00037.14, 000075.31, -00033.06,    
 0002.083435, 000986,  0.099, _,    -00038, 000075, -00028,    -00037.33, 000075.27, -00031.84,    
 0002.093445, 000985,  0.099, _,    -00032, 000078, -00025,    -00036.30, 000075.72, -00030.53,    
 0002.103455, 000986,  0.099, _,    -00038, 000075, -00030,    -00036.47, 000075.66, -00030.06,    
 0002.113464, 000985,  0.099, _,    -00039, 000074, -00033,    -00037.22, 000075.23, -00030.91,    
 0002.123444, 000985,  0.099, _,    -00035, 000067, -00029,    -00036.66, 000073.66, -00030.50,    
 0002.133453, 000987,  0.099, _,    -00035, 000072, -00032,    -00036.27, 000072.88, -00030.81,    
 0002.143463, 000985,  0.099, _,    -00043, 000071, -00030,    -00037.50, 000072.70, -00030.73,    
 0002.153442, 000987,  0.099, _,    -00034, 000075, -00036,    -00037.12, 000072.78, -00031.66,    
 0002.163452, 000985,  0.099, _,    -00040, 000073, -00040,    -00037.34, 000073.05, -00033.56,    
 0002.173462, 000987,  0.099, _,    -00042, 000080, -00038,    -00038.70, 000074.20, -00034.52,    
 0002.183441, 000990,  0.099, _,    -00033, 000083, -00032,    -00037.45, 000076.50, -00034.12,    
 0002.193451, 000997,  0.100, _,    -00030, 000074, -00036,    -00035.84, 000075.98, -00034.38,    
 0002.203461, 000991,  0.099, _,    -00040, 000081, -00038,    -00036.44, 000076.92, -00035.42,    
 0002.213440, 000986,  0.099, _,    -00043, 000075, -00026,    -00038.14, 000076.78, -00033.58,    
 0002.223450, 000996,  0.100, _,    -00033, 000078, -00033,    -00037.11, 000076.80, -00033.17,    
 0002.233459, 000989,  0.099, _,    -00037, 000077, -00034,    -00036.86, 000077.16, -00033.59,    
 0002.243439, 000988,  0.099, _,    -00029, 000083, -00034,    -00035.42, 000078.23, -00033.59,    
 0002.253448, 000986,  0.099, _,    -00029, 000067, -00032,    -00033.73, 000076.45, -00033.44,    
 0002.263458, 000986,  0.099, _,    -00039, 000080, -00030,    -00034.78, 000076.48, -00032.55,    
 0002.273438, 000986,  0.099, _,    -00041, 000075, -00028,    -00036.11, 000076.95, -00031.61,    
 0002.283447, 000986,  0.099, _,    -00042, 000076, -00037,    -00037.44, 000076.11, -00032.44,    
 0002.293457, 000988,  0.099, _,    -00040, 000076, -00035,    -00038.05, 000076.56, -00033.23,    
 0002.303436, 000985,  0.099, _,    -00029, 000087, -00037,    -00036.27, 000078.17, -00033.78,    
 0002.313446, 000989,  0.099, _,    -00043, 000070, -00025,    -00037.33, 000077.31, -00032.31,    
 0002.323456, 000987,  0.099, _,    -00035, 000069, -00035,    -00037.39, 000074.69, -00032.22,    
 0002.333435, 000986,  0.099, _,    -00042, 000078, -00031,    -00037.70, 000075.73, -00032.61,    
 0002.343445, 000986,  0.099, _,    -00032, 000065, -00041,    -00037.22, 000073.33, -00033.80,    
 0002.353455, 000985,  0.099, _,    -00044, 000073, -00036,    -00037.94, 000072.98, -00034.95,    
 0002.363464, 000987,  0.099, _,    -00040, 000066, -00033,    -00039.30, 000071.62, -00034.08,    
 0002.373444, 000988,  0.099, _,    -00034, 000081, -00036,    -00037.73, 000073.12, -00034.86,    
 0002.383453, 000988,  0.099, _,    -00032, 000073, -00025,    -00036.80, 000073.80, -00032.72,    
 0002.393463, 000989,  0.099, _,    -00032, 000074, -00036,    -00035.33, 000073.19, -00033.19,    
 0002.403442, 000985,  0.099, _,    -00035, 000078, -00035,    -00035.41, 000074.58, -00033.81,    
 0002.413452, 000987,  0.099, _,    -00037, 000079, -00038,    -00035.50, 000075.27, -00034.48,    
 0002.423462, 000993,  0.099, _,    -00038, 000076, -00034,    -00036.23, 000075.67, -00034.69,    
 0002.433441, 000987,  0.099, _,    -00043, 000085, -00026,    -00037.50, 000077.31, -00032.75,    
 0002.443451, 000987,  0.099, _,    -00026, 000072, -00031,    -00035.50, 000076.94, -00032.27,    
 0002.453461, 000986,  0.099, _,    -00035, 000076, -00031,    -00034.64, 000076.09, -00032.02,    
 0002.463440, 000988,  0.099, _,    -00029, 000079, -00039,    -00034.00, 000077.33, -00033.28,    
 0002.473450, 000985,  0.099, _,    -00036, 000082, -00034,    -00033.69, 000078.03, -00033.67,    
 0002.483459, 000985,  0.099, _,    -00034, 000077, -00040,    -00034.25, 000078.36, -00034.78,    
 0002.493439, 000986,  0.099, _,    -00037, 000074, -00031,    -00034.36, 000077.11, -00034.44,    
 0002.503448, 000986,  0.099, _,    -00033, 000079, -00038,    -00034.59, 000077.64, -00034.77,    
 0002.513458, 000986,  0.099, _,    -00031, 000080, -00034,    -00033.47, 000078.17, -00035.12,    
 0002.523438, 000989,  0.099, _,    -00029, 000080, -00031,    -00032.73, 000078.64, -00033.80,    
 0002.533447, 000985,  0.099, _,    -00035, 000073, -00035,    -00032.77, 000077.44, -00034.25,    
 0002.543457, 000988,  0.099, _,    -00034, 000069, -00036,    -00033.34, 000075.55, -00034.48,    
 0002.553436, 000987,  0.099, _,    -00030, 000079, -00035,    -00032.31, 000076.03, -00034.88,    
 0002.563446, 000986,  0.099, _,    -00040, 000070, -00042,    -00034.00, 000075.08, -00036.23,    
 0002.573456, 000985,  0.099, _,    -00039, 000070, -00031,    -00035.28, 000073.58, -00035.59,    
 0002.583466, 000989,  0.099, _,    -00032, 000077, -00037,    -00034.66, 000074.34, -00035.34,    
 0002.593445, 000999,  0.100, _,    -00040, 000076, -00028,    -00035.61, 000074.64, -00034.33,    
 0002.603455, 000993,  0.099, _,    -00030, 000071, -00032,    -00034.77, 000073.92, -00033.14,    
 0002.613464, 000988,  0.099, _,    -00037, 000078, -00031,    -00034.78, 000074.53, -00033.14,    
 0002.623444, 000996,  0.100, _,    -00031, 000072, -00027,    -00034.48, 000074.25, -00031.44,    
 0002.633453, 000988,  0.099, _,    -00045, 000076, -00032,    -00036.14, 000074.22, -00031.61,    
 0002.643463, 000989,  0.099, _,    -00037, 000076, -00036,    -00037.22, 000074.88, -00032.45,    
 0002.653442, 000985,  0.099, _,    -00031, 000077, -00039,    -00035.39, 000075.08, -00033.97,    
 0002.663452, 000985,  0.099, _,    -00036, 000072, -00036,    -00035.77, 000074.80, -00034.41,    
 0002.673462, 000986,  0.099, _,    -00034, 000077, -00039,    -00035.28, 000074.91, -00035.34,    
 0002.683441, 000985,  0.099, _,    -00029, 000074, -00034,    -00034.06, 000075.09, -00035.17,    
 0002.693451, 000988,  0.099, _,    -00040, 000077, -00034,    -00034.86, 000075.23, -00034.80,    
 0002.703461, 000986,  0.099, _,    -00036, 000069, -00034,    -00035.61, 000074.28, -00034.73,    
 0002.713440, 000986,  0.099, _,    -00033, 000073, -00032,    -00034.72, 000073.48, -00034.11,    
 0002.723450, 000985,  0.099, _,    -00040, 000074, -00042,    -00036.02, 000073.98, -00035.78,    
