 Mtime,       Mdur,    Mperc, M,    Mrx1, Mry1, Mrz1,    Max1,    May1,    Maz1,       Mcx1,    Mcy1,    Mcz1,   
 0014.506561, 000402,  0.020, _,    0084, 0175, -039,    0087.06, 0170.97, -036.53,    -0.3543, -0.3127, 00.7697,    
 0014.526550, 000395,  0.020, _,    0083, 0171, -035,    0086.19, 0170.75, -036.33,    -0.3494, -0.3115, 00.7709,    
 0014.546555, 000400,  0.020, _,    0090, 0174, -040,    0086.97, 0171.56, -036.91,    -0.3538, -0.3160, 00.7676,    
 0014.566559, 000396,  0.020, _,    0084, 0170, -036,    0086.66, 0171.16, -036.98,    -0.3520, -0.3137, 00.7671,    
 0014.586548, 000395,  0.020, _,    0088, 0178, -035,    0086.64, 0172.56, -036.34,    -0.3519, -0.3216, 00.7708,    
 0014.606567, 000427,  0.021, _,    0081, 0169, -033,    0085.80, 0172.19, -035.75,    -0.3472, -0.3195, 00.7741,    
 0014.626556, 000399,  0.020, _,    0088, 0174, -040,    0085.75, 0172.16, -036.36,    -0.3469, -0.3193, 00.7707,    
 0014.646561, 000395,  0.020, _,    0081, 0169, -038,    0085.20, 0171.84, -037.05,    -0.3438, -0.3176, 00.7668,    
 0014.666550, 000395,  0.020, _,    0083, 0171, -040,    0084.17, 0171.30, -037.45,    -0.3380, -0.3145, 00.7645,    
 0014.686554, 000395,  0.020, _,    0085, 0174, -033,    0084.62, 0172.16, -036.84,    -0.3406, -0.3193, 00.7679,    
 0014.706558, 000400,  0.020, _,    0085, 0176, -042,    0084.39, 0172.83, -037.48,    -0.3393, -0.3231, 00.7643,    
 0014.726547, 000396,  0.020, _,    0091, 0168, -039,    0085.92, 0172.22, -038.39,    -0.3479, -0.3197, 00.7591,    
 0014.746552, 000397,  0.020, _,    0084, 0163, -039,    0085.61, 0169.89, -038.12,    -0.3461, -0.3067, 00.7607,    
 0014.766556, 000423,  0.021, _,    0082, 0175, -034,    0084.77, 0170.91, -037.62,    -0.3414, -0.3123, 00.7635,    
 0014.786560, 000397,  0.020, _,    0085, 0174, -030,    0084.73, 0171.70, -035.66,    -0.3412, -0.3168, 00.7747,    
 0014.806564, 000402,  0.020, _,    0082, 0172, -034,    0084.22, 0171.72, -035.38,    -0.3383, -0.3169, 00.7763,    
 0014.826553, 000394,  0.020, _,    0086, 0172, -029,    0084.41, 0171.75, -033.98,    -0.3394, -0.3170, 00.7842,    
 0014.846558, 000393,  0.020, _,    0086, 0175, -036,    0084.92, 0172.41, -034.20,    -0.3423, -0.3207, 00.7829,    
 0014.866547, 000393,  0.020, _,    0082, 0165, -036,    0084.25, 0171.09, -034.72,    -0.3385, -0.3134, 00.7800,    
 0014.886551, 000391,  0.020, _,    0086, 0175, -036,    0084.58, 0171.45, -034.84,    -0.3403, -0.3154, 00.7793,    
 0014.906555, 000401,  0.020, _,    0089, 0175, -034,    0085.62, 0172.64, -034.75,    -0.3462, -0.3220, 00.7798,    
 0014.926559, 000399,  0.020, _,    0081, 0174, -040,    0084.73, 0172.66, -035.66,    -0.3412, -0.3221, 00.7747,    
 0014.946548, 000400,  0.020, _,    0084, 0168, -039,    0084.34, 0171.98, -036.59,    -0.3390, -0.3183, 00.7694,    
 0014.966553, 000395,  0.020, _,    0089, 0175, -036,    0085.39, 0172.22, -036.30,    -0.3449, -0.3197, 00.7710,    
 0014.986557, 000396,  0.020, _,    0091, 0177, -036,    0086.59, 0173.73, -036.31,    -0.3517, -0.3281, 00.7710,    
 0015.006561, 000402,  0.020, _,    0085, 0169, -033,    0086.52, 0172.61, -035.58,    -0.3512, -0.3218, 00.7751,    
 0015.026550, 000399,  0.020, _,    0084, 0175, -039,    0085.80, 0173.00, -036.31,    -0.3472, -0.3240, 00.7710,    
 0015.046555, 000394,  0.020, _,    0085, 0176, -040,    0085.75, 0173.75, -037.27,    -0.3469, -0.3282, 00.7655,    
 0015.066559, 000396,  0.020, _,    0091, 0168, -039,    0086.77, 0172.66, -037.69,    -0.3526, -0.3221, 00.7631,    
 0015.086548, 000402,  0.020, _,    0081, 0171, -030,    0085.86, 0172.06, -036.23,    -0.3475, -0.3188, 00.7714,    
 0015.106552, 000405,  0.020, _,    0086, 0177, -041,    0085.45, 0173.22, -036.86,    -0.3452, -0.3252, 00.7678,    
 0015.126556, 000395,  0.020, _,    0088, 0171, -040,    0086.36, 0172.88, -037.98,    -0.3503, -0.3233, 00.7615,    
 0015.146561, 000396,  0.020, _,    0084, 0165, -041,    0085.69, 0171.09, -038.36,    -0.3466, -0.3134, 00.7593,    
 0015.166550, 000395,  0.020, _,    0089, 0177, -034,    0086.45, 0172.08, -037.78,    -0.3509, -0.3189, 00.7626,    
 0015.186554, 000396,  0.020, _,    0085, 0171, -033,    0086.23, 0172.25, -036.36,    -0.3496, -0.3198, 00.7707,    
 0015.206558, 000401,  0.020, _,    0081, 0169, -035,    0085.03, 0171.27, -036.30,    -0.3429, -0.3143, 00.7710,    
 0015.226547, 000394,  0.020, _,    0080, 0170, -039,    0083.86, 0171.05, -036.66,    -0.3363, -0.3131, 00.7690,    
 0015.246552, 000412,  0.021, _,    0089, 0175, -041,    0084.77, 0171.69, -037.80,    -0.3414, -0.3167, 00.7625,    
 0015.266556, 000399,  0.020, _,    0083, 0174, -040,    0084.69, 0172.45, -038.19,    -0.3409, -0.3210, 00.7603,    
 0015.286560, 000396,  0.020, _,    0081, 0169, -033,    0083.64, 0171.56, -037.27,    -0.3351, -0.3160, 00.7655,    
 0015.306564, 000404,  0.020, _,    0086, 0175, -032,    0084.14, 0172.23, -035.89,    -0.3379, -0.3197, 00.7733,    
 0015.326553, 000396,  0.020, _,    0086, 0168, -034,    0084.55, 0171.56, -035.58,    -0.3402, -0.3160, 00.7751,    
 0015.346558, 000396,  0.020, _,    0086, 0172, -029,    0084.92, 0171.34, -034.08,    -0.3423, -0.3148, 00.7836,    
 0015.366547, 000394,  0.020, _,    0088, 0174, -035,    0085.47, 0172.09, -034.00,    -0.3453, -0.3190, 00.7841,    
 0015.386551, 000395,  0.020, _,    0081, 0174, -033,    0084.69, 0172.45, -033.92,    -0.3409, -0.3210, 00.7845,    
 0015.406555, 000402,  0.020, _,    0084, 0170, -039,    0084.27, 0172.09, -034.77,    -0.3386, -0.3190, 00.7797,    
 0015.426559, 000399,  0.020, _,    0085, 0171, -035,    0084.61, 0171.66, -035.19,    -0.3405, -0.3165, 00.7773,    
 0015.446548, 000402,  0.020, _,    0089, 0168, -036,    0085.39, 0171.08, -035.05,    -0.3449, -0.3133, 00.7781,    
 0015.466553, 000397,  0.020, _,    0080, 0175, -036,    0084.62, 0171.62, -035.44,    -0.3406, -0.3163, 00.7759,    
 0015.486557, 000394,  0.020, _,    0086, 0175, -039,    0084.45, 0172.64, -035.94,    -0.3396, -0.3220, 00.7731,    
 0015.506561, 000404,  0.020, _,    0088, 0164, -040,    0085.58, 0170.69, -037.00,    -0.3459, -0.3111, 00.7670,    
 0015.526550, 000397,  0.020, _,    0082, 0175, -036,    0084.73, 0171.39, -036.77,    -0.3412, -0.3150, 00.7684,    
 0015.546555, 000396,  0.020, _,    0090, 0171, -040,    0085.78, 0171.62, -037.52,    -0.3471, -0.3163, 00.7641,    
 0015.566559, 000400,  0.020, _,    0088, 0174, -035,    0086.41, 0171.84, -037.17,    -0.3506, -0.3176, 00.7661,    
 0015.586548, 000395,  0.020, _,    0083, 0169, -038,    0085.67, 0171.58, -037.25,    -0.3465, -0.3161, 00.7656,    
 0015.606552, 000402,  0.020, _,    0090, 0171, -035,    0086.47, 0171.05, -037.00,    -0.3509, -0.3131, 00.7670,    
 0015.626556, 000397,  0.020, _,    0082, 0175, -034,    0085.83, 0172.12, -036.19,    -0.3473, -0.3191, 00.7717,    
 0015.646561, 000393,  0.020, _,    0085, 0174, -038,    0085.33, 0172.47, -036.62,    -0.3445, -0.3211, 00.7692,    
 0015.666550, 000397,  0.020, _,    0082, 0175, -032,    0084.92, 0173.11, -035.70,    -0.3423, -0.3246, 00.7744,    
 0015.686554, 000395,  0.020, _,    0088, 0174, -033,    0085.17, 0173.31, -034.97,    -0.3437, -0.3258, 00.7786,    
 0015.706558, 000404,  0.020, _,    0085, 0174, -038,    0085.56, 0173.53, -035.59,    -0.3459, -0.3270, 00.7750,    
 0015.726562, 000404,  0.020, _,    0088, 0174, -040,    0085.77, 0173.59, -036.55,    -0.3470, -0.3273, 00.7696,    
 0015.746552, 000398,  0.020, _,    0086, 0175, -036,    0086.11, 0174.00, -036.48,    -0.3489, -0.3296, 00.7700,    
 0015.766556, 000400,  0.020, _,    0085, 0176, -040,    0085.66, 0174.44, -037.09,    -0.3464, -0.3321, 00.7665,    
 0015.786560, 000395,  0.020, _,    0077, 0170, -032,    0084.05, 0173.62, -036.25,    -0.3373, -0.3275, 00.7713,    
 0015.806564, 000400,  0.020, _,    0083, 0176, -035,    0083.28, 0173.92, -035.64,    -0.3330, -0.3292, 00.7748,    
 0015.826553, 000400,  0.020, _,    0081, 0176, -033,    0083.17, 0174.64, -035.34,    -0.3324, -0.3332, 00.7765,    
 0015.846558, 000393,  0.020, _,    0088, 0174, -035,    0083.72, 0174.44, -034.94,    -0.3355, -0.3321, 00.7788,    
 0015.866562, 000421,  0.021, _,    0083, 0174, -038,    0084.06, 0174.41, -035.83,    -0.3374, -0.3319, 00.7737,    
 0015.886551, 000400,  0.020, _,    0090, 0174, -038,    0084.84, 0174.25, -036.19,    -0.3418, -0.3310, 00.7717,    
 0015.906555, 000401,  0.020, _,    0086, 0175, -034,    0085.67, 0174.45, -035.92,    -0.3465, -0.3321, 00.7732,    
