 time, start,  dur,     perc,  X,    rGx1,   rGy1,   rGz1,      
 0000.758357, 000977,  0.977, _,    -00044, 000077, -00037,    
 0000.759356, 000976,  0.976, _,    -00044, 000078, -00037,    
 0000.760356, 000977,  0.977, _,    -00037, 000080, -00034,    
 0000.761356, 000977,  0.977, _,    -00033, 000081, -00034,    
 0000.762356, 000976,  0.976, _,    -00034, 000077, -00036,    
 0000.763356, 000976,  0.976, _,    -00038, 000073, -00036,    
 0000.764355, 000977,  0.977, _,    -00040, 000074, -00037,    
 0000.765355, 000977,  0.977, _,    -00041, 000076, -00038,    
 0000.766355, 000976,  0.976, _,    -00036, 000077, -00039,    
 0000.767354, 000977,  0.977, _,    -00038, 000075, -00042,    
 0000.768354, 000976,  0.976, _,    -00045, 000074, -00040,    
 0000.769352, 000977,  0.977, _,    -00048, 000073, -00038,    
 0000.770353, 000976,  0.976, _,    -00042, 000073, -00037,    
 0000.771353, 000976,  0.976, _,    -00036, 000071, -00036,    
 0000.772353, 000977,  0.977, _,    -00033, 000070, -00032,    
 0000.773352, 000976,  0.976, _,    -00032, 000072, -00031,    
 0000.774352, 000975,  0.975, _,    -00033, 000073, -00035,    
 0000.775350, 000976,  0.976, _,    -00031, 000079, -00038,    
 0000.776515, 001013,  1.013, X,    -00031, 000083, -00041,    
 0000.777556, 000984,  0.984, _,    -00036, 000085, -00043,    
 0000.778564, 000980,  0.980, _,    -00040, 000085, -00044,    
 0000.779566, 000980,  0.980, _,    -00039, 000082, -00041,    
 0000.780570, 000978,  0.978, _,    -00037, 000078, -00035,    
 0000.781572, 000978,  0.978, _,    -00035, 000076, -00034,    
 0000.782573, 000978,  0.978, _,    -00035, 000077, -00035,    
 0000.783575, 000977,  0.977, _,    -00035, 000076, -00037,    
 0000.784575, 000976,  0.976, _,    -00038, 000074, -00035,    
 0000.785574, 000976,  0.976, _,    -00039, 000076, -00037,    
 0000.786573, 000976,  0.976, _,    -00038, 000077, -00041,    
 0000.787571, 000977,  0.977, _,    -00039, 000078, -00040,    
 0000.788571, 000977,  0.977, _,    -00040, 000081, -00033,    
 0000.789570, 000977,  0.977, _,    -00035, 000081, -00030,    
 0000.790570, 000977,  0.977, _,    -00033, 000074, -00031,    
 0000.791570, 000977,  0.977, _,    -00037, 000067, -00035,    
 0000.792570, 000976,  0.976, _,    -00039, 000068, -00035,    
 0000.793569, 000977,  0.977, _,    -00035, 000072, -00038,    
 0000.794569, 000979,  0.979, _,    -00033, 000077, -00039,    
 0000.795571, 000976,  0.976, _,    -00036, 000081, -00042,    
 0000.796570, 000976,  0.976, _,    -00039, 000078, -00042,    
 0000.797569, 000975,  0.975, _,    -00037, 000077, -00039,    
 0000.798567, 000977,  0.977, _,    -00032, 000077, -00037,    
 0000.799566, 000978,  0.978, _,    -00033, 000079, -00035,    
 0000.800567, 000977,  0.977, _,    -00039, 000078, -00034,    
 0000.801567, 000977,  0.977, _,    -00039, 000078, -00038,    
 0000.802568, 000976,  0.976, _,    -00039, 000076, -00037,    
 0000.803567, 000976,  0.976, _,    -00038, 000075, -00032,    
 0000.804566, 000976,  0.976, _,    -00039, 000081, -00028,    
