 timestamp,   dur,     perc,  X,    rGx1,   rGy1,   rGz1,      
 0001.449219, 000977,  0.977, _,    -00033, 000074, -00036,    
 0001.450195, 000976,  0.976, _,    -00032, 000073, -00038,    
 0001.451172, 000976,  0.976, _,    -00036, 000074, -00038,    
 0001.452148, 000975,  0.975, _,    -00035, 000074, -00038,    
 0001.453125, 000974,  0.974, _,    -00037, 000074, -00037,    
 0001.454102, 000975,  0.975, _,    -00038, 000074, -00037,    
 0001.455078, 000975,  0.975, _,    -00036, 000083, -00036,    
 0001.456055, 000975,  0.975, _,    -00037, 000085, -00038,    
 0001.457031, 000975,  0.975, _,    -00035, 000078, -00041,    
 0001.458008, 000975,  0.975, _,    -00034, 000073, -00039,    
 0001.459473, 000976,  0.976, _,    -00036, 000072, -00033,    
 0001.460449, 000977,  0.977, _,    -00038, 000074, -00029,    
 0001.461426, 000975,  0.975, _,    -00035, 000078, -00028,    
 0001.462402, 000976,  0.976, _,    -00032, 000080, -00035,    
 0001.463379, 000975,  0.975, _,    -00030, 000075, -00039,    
 0001.464355, 000976,  0.976, _,    -00035, 000070, -00037,    
 0001.465332, 000974,  0.974, _,    -00041, 000070, -00034,    
 0001.466309, 000975,  0.975, _,    -00040, 000074, -00032,    
 0001.467285, 000976,  0.976, _,    -00037, 000077, -00030,    
 0001.468262, 000975,  0.975, _,    -00037, 000077, -00031,    
 0001.469238, 000976,  0.976, _,    -00041, 000073, -00031,    
 0001.470215, 000975,  0.975, _,    -00044, 000073, -00032,    
 0001.471191, 000976,  0.976, _,    -00043, 000076, -00032,    
 0001.472168, 000974,  0.974, _,    -00037, 000073, -00030,    
 0001.473145, 000974,  0.974, _,    -00036, 000071, -00027,    
 0001.474121, 000975,  0.975, _,    -00038, 000072, -00027,    
 0001.475098, 000975,  0.975, _,    -00037, 000074, -00028,    
 0001.476074, 000975,  0.975, _,    -00039, 000078, -00031,    
 0001.477051, 000975,  0.975, _,    -00042, 000082, -00032,    
 0001.478027, 000975,  0.975, _,    -00040, 000081, -00031,    
 0001.479004, 000977,  0.977, _,    -00040, 000076, -00034,    
 0001.479980, 000975,  0.975, _,    -00039, 000075, -00036,    
 0001.480957, 000976,  0.976, _,    -00040, 000080, -00034,    
 0001.482422, 000974,  0.974, _,    -00042, 000082, -00030,    
 0001.483398, 000974,  0.974, _,    -00042, 000077, -00031,    
 0001.484375, 000975,  0.975, _,    -00041, 000070, -00035,    
 0001.485352, 000988,  0.988, _,    -00045, 000066, -00034,    
 0001.486328, 000978,  0.978, _,    -00045, 000072, -00033,    
 0001.487305, 000976,  0.976, _,    -00039, 000077, -00033,    
 0001.488281, 000976,  0.976, _,    -00036, 000075, -00035,    
