 time, start,  dur,     perc,  X,    rMx1, rMy1, rMz1,    rAx1,   rAy1,   rAz1,      rGx1,   rGy1,   rGz1,      
 8824, 681000, 002953,  2.953, X,    0094, 0162, -026,    -00222, 000006, 008393,    -00035, 000076, -00034,    
 8824, 683981, 002951,  2.951, X,    0096, 0156, -022,    -00208, -00005, 008349,    -00038, 000080, -00027,    
 8824, 687029, 002990,  2.990, X,    0096, 0156, -022,    -00231, -00045, 008337,    -00028, 000076, -00036,    
 8824, 690050, 002957,  2.957, X,    0096, 0156, -022,    -00213, -00025, 008323,    -00041, 000080, -00030,    
 8824, 693036, 002954,  2.954, X,    0090, 0153, -028,    -00200, -00003, 008323,    -00033, 000073, -00029,    
 8824, 696018, 002953,  2.953, X,    0090, 0153, -028,    -00238, -00036, 008341,    -00032, 000076, -00031,    
 8824, 698999, 002956,  2.956, X,    0090, 0153, -028,    -00256, -00021, 008368,    -00038, 000076, -00036,    
 8824, 701984, 002954,  2.954, X,    0093, 0153, -028,    -00218, -00009, 008404,    -00032, 000075, -00029,    
 8824, 704966, 002956,  2.956, X,    0093, 0159, -022,    -00206, -00055, 008381,    -00039, 000082, -00033,    
 8824, 707950, 002969,  2.969, X,    0093, 0159, -022,    -00171, 000003, 008379,    -00031, 000079, -00027,    
 8824, 710947, 002952,  2.952, X,    0093, 0159, -022,    -00183, 000003, 008382,    -00034, 000069, -00034,    
 8824, 713928, 002952,  2.952, X,    0090, 0160, -026,    -00209, -00052, 008385,    -00034, 000075, -00031,    
 8824, 716908, 002952,  2.952, X,    0090, 0160, -026,    -00204, -00028, 008393,    -00033, 000069, -00029,    
 8824, 719888, 002959,  2.959, X,    0090, 0160, -026,    -00197, -00008, 008334,    -00038, 000073, -00040,    
 8824, 722876, 002959,  2.959, X,    0089, 0156, -027,    -00210, -00044, 008423,    -00032, 000082, -00027,    
 8824, 725863, 002958,  2.958, X,    0089, 0156, -027,    -00201, -00002, 008380,    -00031, 000071, -00032,    
 8824, 728850, 002966,  2.966, X,    0089, 0156, -027,    -00174, 000016, 008340,    -00026, 000078, -00033,    
 8824, 731845, 002952,  2.952, X,    0089, 0156, -027,    -00220, -00026, 008389,    -00038, 000079, -00029,    
 8824, 734825, 002951,  2.951, X,    0091, 0156, -020,    -00200, -00021, 008368,    -00034, 000079, -00039,    
 8824, 737804, 002954,  2.954, X,    0091, 0156, -020,    -00182, -00048, 008356,    -00034, 000076, -00039,    
 8824, 740786, 002950,  2.950, X,    0091, 0156, -020,    -00224, -00004, 008405,    -00036, 000075, -00026,    
 8824, 743765, 002953,  2.953, X,    0089, 0159, -024,    -00209, -00017, 008397,    -00043, 000075, -00038,    
 8824, 746746, 002950,  2.950, X,    0089, 0159, -024,    -00194, -00009, 008355,    -00039, 000075, -00035,    
 8824, 749724, 002954,  2.954, X,    0089, 0159, -024,    -00217, -00015, 008391,    -00035, 000077, -00034,    
 8824, 752706, 002951,  2.951, X,    0084, 0156, -020,    -00228, -00047, 008340,    -00031, 000081, -00034,    
 8824, 755685, 002951,  2.951, X,    0084, 0156, -020,    -00204, -00020, 008367,    -00034, 000079, -00027,    
 8824, 758664, 002954,  2.954, X,    0084, 0156, -020,    -00205, 000006, 008337,    -00039, 000072, -00039,    
 8824, 761646, 002953,  2.953, X,    0084, 0156, -020,    -00228, 000004, 008394,    -00036, 000082, -00029,    
 8824, 764627, 002952,  2.952, X,    0090, 0157, -028,    -00184, -00013, 008370,    -00044, 000076, -00037,    
 8824, 767607, 002955,  2.955, X,    0090, 0157, -028,    -00207, 000002, 008349,    -00039, 000082, -00029,    
 8824, 770590, 002953,  2.953, X,    0090, 0157, -028,    -00174, -00003, 008385,    -00031, 000077, -00036,    
 8824, 773571, 002952,  2.952, X,    0093, 0156, -024,    -00191, -00071, 008398,    -00029, 000080, -00035,    
 8824, 776551, 002953,  2.953, X,    0093, 0156, -024,    -00198, -00022, 008419,    -00038, 000083, -00032,    
 8824, 779532, 002954,  2.954, X,    0093, 0156, -024,    -00225, -00018, 008399,    -00031, 000082, -00040,    
 8824, 782514, 002952,  2.952, X,    0089, 0159, -024,    -00220, -00015, 008359,    -00034, 000073, -00034,    
 8824, 785494, 002953,  2.953, X,    0089, 0159, -024,    -00224, -00020, 008435,    -00032, 000076, -00039,    
 8824, 788474, 002956,  2.956, X,    0089, 0159, -024,    -00186, -00035, 008387,    -00038, 000081, -00037,    
 8824, 791459, 002952,  2.952, X,    0089, 0159, -024,    -00223, -00034, 008366,    -00035, 000077, -00030,    
 8824, 794502, 002969,  2.969, X,    0096, 0154, -027,    -00212, -00027, 008362,    -00033, 000074, -00033,    
 8824, 797502, 002960,  2.960, X,    0096, 0154, -027,    -00220, -00021, 008367,    -00042, 000082, -00025,    
 8824, 800492, 002953,  2.953, X,    0096, 0154, -027,    -00211, -00013, 008395,    -00037, 000083, -00036,    
 8824, 803474, 002954,  2.954, X,    0089, 0154, -022,    -00205, -00015, 008396,    -00041, 000077, -00030,    
 8824, 806456, 002951,  2.951, X,    0089, 0154, -022,    -00187, -00010, 008389,    -00040, 000070, -00036,    
 8824, 809435, 002956,  2.956, X,    0089, 0154, -022,    -00209, -00028, 008319,    -00039, 000072, -00029,    
 8824, 812419, 002955,  2.955, X,    0094, 0157, -026,    -00206, 000009, 008406,    -00037, 000079, -00031,    
 8824, 815402, 002952,  2.952, X,    0094, 0157, -026,    -00216, -00046, 008374,    -00031, 000073, -00042,    
 8824, 818382, 002954,  2.954, X,    0094, 0157, -026,    -00239, -00041, 008370,    -00032, 000075, -00033,    
 8824, 821364, 002953,  2.953, X,    0094, 0157, -026,    -00183, -00026, 008367,    -00035, 000070, -00031,    
 8824, 824345, 002952,  2.952, X,    0086, 0152, -022,    -00191, -00050, 008381,    -00037, 000079, -00029,    
 8824, 827325, 002953,  2.953, X,    0086, 0152, -022,    -00209, -00020, 008380,    -00041, 000078, -00036,    
 8824, 830306, 002954,  2.954, X,    0086, 0152, -022,    -00228, -00037, 008403,    -00033, 000083, -00030,    
 8824, 833288, 002951,  2.951, X,    0092, 0155, -021,    -00210, -00065, 008384,    -00030, 000072, -00033,    
 8824, 836267, 002951,  2.951, X,    0092, 0155, -021,    -00232, -00020, 008337,    -00036, 000076, -00028,    
 8824, 839246, 002953,  2.953, X,    0092, 0155, -021,    -00232, -00020, 008413,    -00034, 000075, -00037,    
 8824, 842228, 002951,  2.951, X,    0093, 0161, -020,    -00195, -00009, 008364,    -00042, 000082, -00030,    
 8824, 845208, 002955,  2.955, X,    0093, 0161, -020,    -00225, 000014, 008334,    -00035, 000071, -00034,    
 8824, 848190, 002956,  2.956, X,    0093, 0161, -020,    -00189, -00022, 008401,    -00028, 000065, -00029,    
 8824, 851175, 002950,  2.950, X,    0093, 0161, -020,    -00226, -00020, 008402,    -00035, 000086, -00028,    
 8824, 854154, 002952,  2.952, X,    0089, 0154, -027,    -00228, -00019, 008419,    -00044, 000077, -00034,    
 8824, 857134, 002955,  2.955, X,    0089, 0154, -027,    -00202, -00033, 008316,    -00032, 000082, -00034,    
 8824, 860117, 002951,  2.951, X,    0089, 0154, -027,    -00237, -00030, 008402,    -00040, 000079, -00038,    
 8824, 863096, 002953,  2.953, X,    0096, 0152, -029,    -00193, 000014, 008283,    -00039, 000074, -00033,    
 8824, 866077, 002953,  2.953, X,    0096, 0152, -029,    -00214, -00042, 008379,    -00038, 000081, -00033,    
 8824, 869059, 002955,  2.955, X,    0096, 0152, -029,    -00202, -00006, 008382,    -00040, 000079, -00032,    
 8824, 872042, 002953,  2.953, X,    0091, 0161, -022,    -00220, -00027, 008377,    -00039, 000078, -00029,    
 8824, 875023, 002953,  2.953, X,    0091, 0161, -022,    -00213, -00005, 008360,    -00033, 000074, -00038,    
 8824, 878004, 002955,  2.955, X,    0091, 0161, -022,    -00192, -00016, 008410,    -00041, 000073, -00035,    
