 time, start,  dur,     perc,  X,    rGx1,   rGy1,   rGz1,      
 8625, 871399, 001876,  1.876, X,    -00040, 000084, -00029,    
 8625, 873297, 001876,  1.876, X,    -00033, 000077, -00038,    
 8625, 875194, 001875,  1.875, X,    -00033, 000086, -00044,    
 8625, 877091, 001875,  1.875, X,    -00040, 000079, -00031,    
 8625, 878988, 001879,  1.879, X,    -00042, 000072, -00024,    
 8625, 880889, 001877,  1.877, X,    -00043, 000080, -00028,    
 8625, 882787, 001876,  1.876, X,    -00037, 000086, -00032,    
 8625, 884684, 001874,  1.874, X,    -00040, 000076, -00034,    
 8625, 886580, 001874,  1.874, X,    -00043, 000072, -00031,    
 8625, 888475, 001882,  1.882, X,    -00039, 000078, -00029,    
 8625, 890379, 001876,  1.876, X,    -00035, 000076, -00032,    
 8625, 892277, 001875,  1.875, X,    -00037, 000074, -00042,    
 8625, 894174, 001875,  1.875, X,    -00038, 000074, -00034,    
 8625, 896070, 001876,  1.876, X,    -00029, 000077, -00031,    
 8625, 897967, 001877,  1.877, X,    -00029, 000079, -00031,    
 8625, 899864, 001876,  1.876, X,    -00041, 000075, -00028,    
 8625, 901762, 001877,  1.877, X,    -00038, 000070, -00032,    
 8625, 903661, 001875,  1.875, X,    -00030, 000076, -00042,    
 8625, 905557, 001877,  1.877, X,    -00031, 000077, -00039,    
 8625, 907456, 001874,  1.874, X,    -00035, 000082, -00035,    
 8625, 909352, 001878,  1.878, X,    -00042, 000080, -00034,    
 8625, 911252, 001876,  1.876, X,    -00042, 000077, -00027,    
 8625, 913150, 001875,  1.875, X,    -00032, 000074, -00025,    
 8625, 915047, 001874,  1.874, X,    -00037, 000072, -00028,    
 8625, 916942, 001875,  1.875, X,    -00035, 000074, -00028,    
 8625, 918838, 001889,  1.889, X,    -00041, 000082, -00030,    
 8625, 920749, 001876,  1.876, X,    -00046, 000077, -00032,    
 8625, 922646, 001875,  1.875, X,    -00038, 000076, -00032,    
 8625, 924543, 001873,  1.873, X,    -00030, 000075, -00030,    
 8625, 926490, 001889,  1.889, X,    -00030, 000074, -00027,    
 8625, 928402, 001882,  1.882, X,    -00039, 000069, -00024,    
 8625, 930307, 001878,  1.878, X,    -00035, 000075, -00029,    
 8625, 932207, 001879,  1.879, X,    -00037, 000079, -00038,    
 8625, 934109, 001875,  1.875, X,    -00040, 000080, -00041,    
 8625, 936006, 001876,  1.876, X,    -00043, 000085, -00033,    
 8625, 937903, 001875,  1.875, X,    -00036, 000086, -00027,    
 8625, 939799, 001877,  1.877, X,    -00034, 000082, -00027,    
 8625, 941698, 001877,  1.877, X,    -00032, 000081, -00031,    
 8625, 943597, 001874,  1.874, X,    -00038, 000069, -00042,    
 8625, 945493, 001878,  1.878, X,    -00032, 000082, -00038,    
 8625, 947393, 001875,  1.875, X,    -00032, 000077, -00029,    
 8625, 949289, 001878,  1.878, X,    -00036, 000076, -00035,    
 8625, 951189, 001876,  1.876, X,    -00035, 000080, -00032,    
 8625, 953087, 001875,  1.875, X,    -00036, 000078, -00025,    
 8625, 954984, 001875,  1.875, X,    -00034, 000070, -00031,    
 8625, 956880, 001875,  1.875, X,    -00038, 000071, -00029,    
 8625, 958777, 001879,  1.879, X,    -00037, 000077, -00029,    
 8625, 960677, 001876,  1.876, X,    -00034, 000073, -00029,    
 8625, 962575, 001875,  1.875, X,    -00037, 000077, -00039,    
 8625, 964471, 001875,  1.875, X,    -00034, 000086, -00037,    
 8625, 966368, 001873,  1.873, X,    -00039, 000077, -00034,    
 8625, 968263, 001877,  1.877, X,    -00033, 000077, -00038,    
 8625, 970161, 001878,  1.878, X,    -00037, 000080, -00039,    
 8625, 972060, 001879,  1.879, X,    -00038, 000074, -00036,    
 8625, 973961, 001874,  1.874, X,    -00034, 000072, -00036,    
 8625, 975857, 001876,  1.876, X,    -00031, 000073, -00027,    
 8625, 977755, 001874,  1.874, X,    -00024, 000072, -00033,    
 8625, 979650, 001876,  1.876, X,    -00025, 000075, -00046,    
 8625, 981549, 001876,  1.876, X,    -00039, 000084, -00039,    
 8625, 983446, 001874,  1.874, X,    -00034, 000074, -00032,    
 8625, 985342, 001876,  1.876, X,    -00038, 000077, -00025,    
 8625, 987240, 001876,  1.876, X,    -00036, 000076, -00035,    
 8625, 989137, 001878,  1.878, X,    -00034, 000077, -00026,    
 8625, 991036, 001875,  1.875, X,    -00039, 000084, -00032,    
 8625, 992933, 001875,  1.875, X,    -00034, 000073, -00034,    
 8625, 994830, 001875,  1.875, X,    -00044, 000080, -00035,    
 8625, 996726, 001881,  1.881, X,    -00042, 000079, -00033,    
 8625, 998629, 001880,  1.880, X,    -00031, 000071, -00036,    
 8626, 000531, 001875,  1.875, X,    -00038, 000071, -00031,    
 8626, 002428, 001873,  1.873, X,    -00034, 000081, -00033,    
 8626, 004323, 001874,  1.874, X,    -00032, 000082, -00036,    
 8626, 006219, 001874,  1.874, X,    -00039, 000071, -00034,    
 8626, 008115, 001874,  1.874, X,    -00040, 000077, -00034,    
 8626, 010027, 001878,  1.878, X,    -00031, 000077, -00031,    
 8626, 011927, 001877,  1.877, X,    -00027, 000081, -00033,    
 8626, 013825, 001876,  1.876, X,    -00030, 000081, -00031,    
 8626, 015722, 001881,  1.881, X,    -00036, 000081, -00030,    
 8626, 017624, 001876,  1.876, X,    -00030, 000075, -00037,    
 8626, 019521, 001878,  1.878, X,    -00034, 000075, -00039,    
 8626, 021422, 001874,  1.874, X,    -00036, 000075, -00034,    
 8626, 023317, 001875,  1.875, X,    -00028, 000074, -00036,    
 8626, 025214, 001876,  1.876, X,    -00033, 000078, -00034,    
 8626, 027112, 001874,  1.874, X,    -00039, 000075, -00034,    
 8626, 029007, 001881,  1.881, X,    -00040, 000084, -00034,    
 8626, 030911, 001876,  1.876, X,    -00044, 000078, -00036,    
 8626, 032809, 001880,  1.880, X,    -00042, 000085, -00031,    
 8626, 034711, 001882,  1.882, X,    -00041, 000085, -00031,    
 8626, 036615, 001874,  1.874, X,    -00033, 000070, -00033,    
 8626, 038511, 001877,  1.877, X,    -00032, 000080, -00032,    
 8626, 040409, 001876,  1.876, X,    -00037, 000087, -00041,    
 8626, 042307, 001877,  1.877, X,    -00036, 000076, -00035,    
 8626, 044206, 001873,  1.873, X,    -00033, 000077, -00030,    
 8626, 046149, 001887,  1.887, X,    -00034, 000080, -00034,    
 8626, 048060, 001879,  1.879, X,    -00035, 000077, -00035,    
 8626, 049961, 001896,  1.896, X,    -00032, 000085, -00032,    
 8626, 051879, 001881,  1.881, X,    -00036, 000084, -00037,    
 8626, 053782, 001876,  1.876, X,    -00028, 000075, -00033,    
 8626, 055679, 001877,  1.877, X,    -00030, 000070, -00033,    
 8626, 057577, 001876,  1.876, X,    -00039, 000073, -00033,    
 8626, 059474, 001878,  1.878, X,    -00032, 000080, -00040,    
 8626, 061374, 001877,  1.877, X,    -00037, 000069, -00030,    
 8626, 063273, 001875,  1.875, X,    -00037, 000084, -00034,    
 8626, 065170, 001876,  1.876, X,    -00043, 000081, -00039,    
 8626, 067068, 001875,  1.875, X,    -00036, 000084, -00033,    
 8626, 068964, 001878,  1.878, X,    -00033, 000079, -00027,    
 8626, 070864, 001876,  1.876, X,    -00037, 000073, -00028,    
 8626, 072763, 001874,  1.874, X,    -00031, 000082, -00037,    
 8626, 074659, 001875,  1.875, X,    -00039, 000074, -00044,    
 8626, 076555, 001873,  1.873, X,    -00039, 000071, -00037,    
 8626, 078450, 001879,  1.879, X,    -00037, 000072, -00033,    
 8626, 080351, 001874,  1.874, X,    -00040, 000069, -00028,    
 8626, 082247, 001874,  1.874, X,    -00036, 000076, -00028,    
 8626, 084142, 001875,  1.875, X,    -00038, 000080, -00037,    
 8626, 086038, 001875,  1.875, X,    -00033, 000074, -00025,    
 8626, 087935, 001875,  1.875, X,    -00038, 000084, -00030,    
 8626, 089831, 001877,  1.877, X,    -00029, 000080, -00030,    
 8626, 091729, 001882,  1.882, X,    -00028, 000074, -00031,    
 8626, 093632, 001876,  1.876, X,    -00039, 000080, -00032,    
 8626, 095529, 001874,  1.874, X,    -00039, 000084, -00032,    
 8626, 097425, 001875,  1.875, X,    -00036, 000075, -00033,    
 8626, 099321, 001878,  1.878, X,    -00027, 000073, -00034,    
 8626, 101221, 001876,  1.876, X,    -00038, 000075, -00032,    
 8626, 103119, 001876,  1.876, X,    -00050, 000073, -00031,    
 8626, 105016, 001874,  1.874, X,    -00039, 000078, -00039,    
 8626, 106911, 001877,  1.877, X,    -00033, 000074, -00037,    
 8626, 108809, 001882,  1.882, X,    -00033, 000070, -00031,    
 8626, 110713, 001883,  1.883, X,    -00038, 000078, -00040,    
 8626, 112618, 001874,  1.874, X,    -00037, 000080, -00043,    
 8626, 114514, 001876,  1.876, X,    -00034, 000078, -00038,    
 8626, 116411, 001876,  1.876, X,    -00033, 000077, -00028,    
 8626, 118308, 001877,  1.877, X,    -00043, 000073, -00031,    
 8626, 120207, 001876,  1.876, X,    -00049, 000077, -00035,    
 8626, 122104, 001875,  1.875, X,    -00040, 000082, -00035,    
 8626, 124000, 001876,  1.876, X,    -00034, 000080, -00030,    
 8626, 125898, 001875,  1.875, X,    -00033, 000085, -00029,    
 8626, 127795, 001875,  1.875, X,    -00038, 000079, -00033,    
 8626, 129691, 001878,  1.878, X,    -00030, 000077, -00037,    
 8626, 131591, 001878,  1.878, X,    -00028, 000075, -00039,    
 8626, 133490, 001880,  1.880, X,    -00028, 000074, -00037,    
 8626, 135392, 001875,  1.875, X,    -00033, 000080, -00032,    
 8626, 137288, 001875,  1.875, X,    -00035, 000083, -00033,    
 8626, 139185, 001879,  1.879, X,    -00035, 000072, -00036,    
 8626, 141086, 001875,  1.875, X,    -00032, 000079, -00033,    
 8626, 142983, 001874,  1.874, X,    -00037, 000080, -00034,    
 8626, 144879, 001876,  1.876, X,    -00034, 000082, -00037,    
 8626, 146776, 001875,  1.875, X,    -00030, 000070, -00033,    
 8626, 148671, 001877,  1.877, X,    -00039, 000075, -00028,    
 8626, 150570, 001874,  1.874, X,    -00036, 000081, -00033,    
 8626, 152466, 001876,  1.876, X,    -00033, 000078, -00039,    
 8626, 154363, 001875,  1.875, X,    -00041, 000066, -00030,    
 8626, 156260, 001873,  1.873, X,    -00037, 000071, -00031,    
 8626, 158155, 001892,  1.892, X,    -00038, 000074, -00034,    
 8626, 160069, 001877,  1.877, X,    -00037, 000076, -00038,    
 8626, 161967, 001875,  1.875, X,    -00035, 000077, -00029,    
 8626, 163863, 001876,  1.876, X,    -00036, 000080, -00032,    
 8626, 165807, 001891,  1.891, X,    -00037, 000077, -00037,    
 8626, 167722, 001886,  1.886, X,    -00034, 000079, -00030,    
 8626, 169631, 001881,  1.881, X,    -00042, 000086, -00030,    
 8626, 171534, 001877,  1.877, X,    -00041, 000087, -00038,    
 8626, 173432, 001876,  1.876, X,    -00036, 000087, -00035,    
 8626, 175329, 001875,  1.875, X,    -00029, 000081, -00028,    
 8626, 177225, 001875,  1.875, X,    -00034, 000069, -00035,    
 8626, 179121, 001879,  1.879, X,    -00028, 000073, -00030,    
 8626, 181021, 001877,  1.877, X,    -00037, 000083, -00039,    
 8626, 182920, 001875,  1.875, X,    -00034, 000084, -00039,    
 8626, 184817, 001878,  1.878, X,    -00039, 000078, -00039,    
 8626, 186716, 001882,  1.882, X,    -00042, 000074, -00035,    
 8626, 188619, 001877,  1.877, X,    -00035, 000078, -00030,    
 8626, 190517, 001876,  1.876, X,    -00038, 000067, -00036,    
 8626, 192414, 001876,  1.876, X,    -00037, 000069, -00035,    
 8626, 194311, 001875,  1.875, X,    -00028, 000074, -00024,    
 8626, 196207, 001874,  1.874, X,    -00029, 000076, -00034,    
 8626, 198102, 001876,  1.876, X,    -00027, 000070, -00036,    
