 time, start,  dur,     perc,  X,    rAx1,   rAy1,   rAz1,      rGx1,   rGy1,   rGz1,      
 8669, 255451, 001876,  1.876, X,    -00212, -00026, 008321,    -00033, 000077, -00035,    
 8669, 257351, 001879,  1.879, X,    -00203, 000017, 008412,    -00038, 000076, -00033,    
 8669, 259322, 001896,  1.896, X,    -00188, -00037, 008358,    -00041, 000064, -00027,    
 8669, 261244, 001879,  1.879, X,    -00168, -00008, 008360,    -00038, 000076, -00028,    
 8669, 263149, 001877,  1.877, X,    -00229, -00018, 008420,    -00036, 000078, -00033,    
 8669, 265051, 001874,  1.874, X,    -00232, 000016, 008403,    -00037, 000078, -00034,    
 8669, 266950, 001878,  1.878, X,    -00222, 000012, 008436,    -00032, 000083, -00040,    
 8669, 268853, 001893,  1.893, X,    -00238, -00008, 008377,    -00033, 000077, -00037,    
 8669, 270771, 001877,  1.877, X,    -00199, 000002, 008365,    -00036, 000082, -00039,    
 8669, 272673, 001881,  1.881, X,    -00171, -00018, 008343,    -00035, 000077, -00035,    
 8669, 274579, 001880,  1.880, X,    -00222, 000031, 008375,    -00036, 000076, -00043,    
 8669, 276484, 001874,  1.874, X,    -00222, -00018, 008345,    -00041, 000084, -00035,    
 8669, 278383, 001877,  1.877, X,    -00220, -00019, 008360,    -00041, 000086, -00033,    
 8669, 280285, 001877,  1.877, X,    -00233, -00016, 008385,    -00036, 000086, -00032,    
 8669, 282187, 001875,  1.875, X,    -00214, 000025, 008375,    -00030, 000081, -00035,    
 8669, 284087, 001874,  1.874, X,    -00185, 000011, 008387,    -00031, 000077, -00034,    
 8669, 285986, 001874,  1.874, X,    -00207, -00018, 008403,    -00041, 000074, -00032,    
 8669, 287885, 001876,  1.876, X,    -00174, -00027, 008363,    -00041, 000081, -00040,    
 8669, 289785, 001878,  1.878, X,    -00222, -00055, 008380,    -00036, 000067, -00035,    
 8669, 291688, 001875,  1.875, X,    -00250, 000009, 008405,    -00042, 000071, -00035,    
 8669, 293588, 001883,  1.883, X,    -00193, -00027, 008382,    -00039, 000076, -00040,    
 8669, 295496, 001873,  1.873, X,    -00216, -00018, 008335,    -00041, 000075, -00036,    
 8669, 297394, 001875,  1.875, X,    -00202, -00001, 008329,    -00035, 000076, -00035,    
 8669, 299294, 001876,  1.876, X,    -00244, 000000, 008374,    -00035, 000075, -00033,    
 8669, 301196, 001875,  1.875, X,    -00210, 000001, 008422,    -00034, 000079, -00035,    
 8669, 303096, 001875,  1.875, X,    -00214, -00039, 008304,    -00035, 000079, -00030,    
 8669, 304996, 001875,  1.875, X,    -00229, 000007, 008415,    -00035, 000078, -00029,    
 8669, 306896, 001874,  1.874, X,    -00250, -00045, 008317,    -00039, 000077, -00042,    
 8669, 308795, 001877,  1.877, X,    -00249, -00015, 008325,    -00040, 000079, -00040,    
 8669, 310698, 001876,  1.876, X,    -00201, -00031, 008425,    -00032, 000075, -00029,    
 8669, 312599, 001879,  1.879, X,    -00208, -00021, 008378,    -00037, 000087, -00028,    
 8669, 314503, 001872,  1.872, X,    -00197, -00039, 008371,    -00036, 000077, -00028,    
 8669, 316400, 001874,  1.874, X,    -00218, -00011, 008311,    -00039, 000077, -00035,    
 8669, 318298, 001877,  1.877, X,    -00209, -00014, 008337,    -00038, 000071, -00030,    
 8669, 320200, 001876,  1.876, X,    -00262, -00027, 008330,    -00033, 000073, -00031,    
 8669, 322102, 001875,  1.875, X,    -00223, -00017, 008316,    -00035, 000073, -00033,    
 8669, 324002, 001875,  1.875, X,    -00221, -00039, 008332,    -00035, 000079, -00029,    
 8669, 325901, 001875,  1.875, X,    -00187, -00033, 008398,    -00033, 000076, -00034,    
 8669, 327800, 001874,  1.874, X,    -00165, -00021, 008370,    -00033, 000077, -00038,    
 8669, 329698, 001877,  1.877, X,    -00179, -00021, 008373,    -00032, 000078, -00030,    
 8669, 331600, 001881,  1.881, X,    -00187, -00022, 008319,    -00037, 000079, -00029,    
 8669, 333506, 001876,  1.876, X,    -00189, -00051, 008338,    -00027, 000080, -00024,    
 8669, 335407, 001874,  1.874, X,    -00181, -00021, 008331,    -00030, 000081, -00030,    
 8669, 337306, 001873,  1.873, X,    -00194, -00030, 008339,    -00035, 000083, -00025,    
 8669, 339205, 001876,  1.876, X,    -00204, -00042, 008355,    -00032, 000077, -00027,    
 8669, 341106, 001875,  1.875, X,    -00195, -00045, 008276,    -00036, 000079, -00024,    
 8669, 343064, 001886,  1.886, X,    -00234, -00012, 008359,    -00041, 000071, -00021,    
 8669, 344977, 001877,  1.877, X,    -00218, -00021, 008352,    -00035, 000071, -00031,    
 8669, 346879, 001876,  1.876, X,    -00197, -00033, 008364,    -00038, 000081, -00029,    
 8669, 348780, 001879,  1.879, X,    -00186, -00084, 008339,    -00036, 000085, -00026,    
 8669, 350685, 001878,  1.878, X,    -00206, -00040, 008350,    -00033, 000069, -00031,    
 8669, 352588, 001881,  1.881, X,    -00227, -00017, 008400,    -00037, 000083, -00032,    
 8669, 354494, 001875,  1.875, X,    -00211, -00026, 008365,    -00038, 000078, -00032,    
 8669, 356394, 001873,  1.873, X,    -00216, -00052, 008410,    -00039, 000078, -00033,    
 8669, 358292, 001878,  1.878, X,    -00206, -00023, 008429,    -00039, 000081, -00031,    
 8669, 360195, 001879,  1.879, X,    -00185, -00012, 008399,    -00032, 000085, -00026,    
 8669, 362099, 001877,  1.877, X,    -00211, -00019, 008404,    -00028, 000088, -00027,    
 8669, 364001, 001874,  1.874, X,    -00229, -00028, 008332,    -00035, 000088, -00027,    
 8669, 365900, 001875,  1.875, X,    -00208, -00037, 008343,    -00038, 000080, -00029,    
 8669, 367800, 001874,  1.874, X,    -00233, -00019, 008372,    -00032, 000079, -00037,    
 8669, 369698, 001879,  1.879, X,    -00241, -00045, 008376,    -00034, 000084, -00034,    
 8669, 371602, 001881,  1.881, X,    -00205, -00050, 008346,    -00039, 000086, -00036,    
 8669, 373508, 001873,  1.873, X,    -00223, -00039, 008342,    -00039, 000079, -00035,    
 8669, 375406, 001874,  1.874, X,    -00248, -00022, 008310,    -00040, 000075, -00030,    
 8669, 377305, 001875,  1.875, X,    -00216, -00014, 008315,    -00035, 000078, -00032,    
 8669, 379205, 001876,  1.876, X,    -00232, -00019, 008377,    -00042, 000079, -00035,    
 8669, 381106, 001876,  1.876, X,    -00208, -00050, 008370,    -00046, 000074, -00036,    
 8669, 383006, 001876,  1.876, X,    -00174, 000007, 008405,    -00045, 000073, -00041,    
 8669, 384907, 001874,  1.874, X,    -00183, -00017, 008367,    -00038, 000076, -00029,    
 8669, 386807, 001877,  1.877, X,    -00216, -00019, 008384,    -00035, 000073, -00030,    
 8669, 388709, 001876,  1.876, X,    -00232, 000031, 008379,    -00032, 000076, -00038,    
 8669, 390611, 001877,  1.877, X,    -00217, -00012, 008351,    -00033, 000077, -00033,    
 8669, 392512, 001875,  1.875, X,    -00201, -00009, 008324,    -00035, 000078, -00026,    
 8669, 394412, 001875,  1.875, X,    -00195, -00010, 008372,    -00032, 000082, -00037,    
 8669, 396312, 001875,  1.875, X,    -00203, -00035, 008393,    -00024, 000082, -00029,    
 8669, 398212, 001877,  1.877, X,    -00227, -00010, 008391,    -00027, 000076, -00033,    
 8669, 400114, 001876,  1.876, X,    -00230, -00042, 008413,    -00037, 000077, -00036,    
 8669, 402016, 001875,  1.875, X,    -00177, -00041, 008391,    -00033, 000077, -00038,    
 8669, 403915, 001874,  1.874, X,    -00228, -00049, 008382,    -00031, 000075, -00036,    
 8669, 405814, 001875,  1.875, X,    -00218, -00005, 008392,    -00030, 000074, -00032,    
 8669, 407714, 001873,  1.873, X,    -00218, -00018, 008327,    -00030, 000078, -00033,    
 8669, 409611, 001878,  1.878, X,    -00214, -00006, 008345,    -00034, 000074, -00036,    
 8669, 411513, 001874,  1.874, X,    -00195, -00017, 008420,    -00032, 000082, -00028,    
 8669, 413412, 001874,  1.874, X,    -00194, 000011, 008401,    -00034, 000079, -00031,    
 8669, 415310, 001876,  1.876, X,    -00214, 000011, 008341,    -00036, 000079, -00032,    
 8669, 417210, 001875,  1.875, X,    -00158, 000019, 008373,    -00038, 000080, -00032,    
 8669, 419110, 001876,  1.876, X,    -00194, 000004, 008353,    -00027, 000076, -00040,    
 8669, 421011, 001876,  1.876, X,    -00207, -00016, 008361,    -00025, 000078, -00036,    
 8669, 422912, 001876,  1.876, X,    -00232, -00009, 008291,    -00038, 000085, -00033,    
 8669, 424813, 001874,  1.874, X,    -00224, -00018, 008389,    -00036, 000077, -00033,    
 8669, 426711, 001875,  1.875, X,    -00239, -00009, 008421,    -00032, 000082, -00037,    
 8669, 428660, 001891,  1.891, X,    -00239, -00004, 008370,    -00043, 000072, -00039,    
 8669, 430576, 001884,  1.884, X,    -00273, -00018, 008372,    -00033, 000071, -00030,    
 8669, 432486, 001875,  1.875, X,    -00209, -00012, 008374,    -00033, 000069, -00029,    
 8669, 434386, 001875,  1.875, X,    -00248, -00028, 008362,    -00031, 000078, -00032,    
 8669, 436286, 001875,  1.875, X,    -00222, -00009, 008346,    -00036, 000079, -00035,    
 8669, 438186, 001885,  1.885, X,    -00230, -00010, 008366,    -00042, 000081, -00029,    
 8669, 440096, 001877,  1.877, X,    -00219, -00011, 008369,    -00041, 000078, -00032,    
 8669, 441999, 001873,  1.873, X,    -00196, 000008, 008351,    -00042, 000077, -00031,    
 8669, 443897, 001874,  1.874, X,    -00249, -00018, 008377,    -00033, 000080, -00037,    
 8669, 445797, 001875,  1.875, X,    -00183, -00013, 008365,    -00032, 000072, -00040,    
 8669, 447697, 001876,  1.876, X,    -00223, -00017, 008339,    -00037, 000079, -00036,    
 8669, 449598, 001884,  1.884, X,    -00192, -00023, 008374,    -00034, 000071, -00028,    
 8669, 451508, 001876,  1.876, X,    -00232, -00035, 008342,    -00033, 000073, -00033,    
 8669, 453409, 001874,  1.874, X,    -00274, -00028, 008362,    -00032, 000074, -00038,    
 8669, 455307, 001874,  1.874, X,    -00211, -00030, 008344,    -00039, 000074, -00037,    
 8669, 457206, 001875,  1.875, X,    -00224, -00020, 008307,    -00033, 000074, -00030,    
 8669, 459106, 001876,  1.876, X,    -00219, -00014, 008344,    -00041, 000082, -00036,    
 8669, 461007, 001875,  1.875, X,    -00218, -00046, 008344,    -00038, 000087, -00039,    
 8669, 462907, 001876,  1.876, X,    -00183, -00011, 008337,    -00036, 000082, -00040,    
 8669, 464808, 001876,  1.876, X,    -00249, -00030, 008372,    -00034, 000078, -00043,    
 8669, 466709, 001876,  1.876, X,    -00232, -00035, 008352,    -00039, 000076, -00033,    
 8669, 468611, 001877,  1.877, X,    -00213, -00035, 008394,    -00034, 000069, -00025,    
 8669, 470513, 001875,  1.875, X,    -00223, -00013, 008366,    -00039, 000077, -00033,    
 8669, 472413, 001874,  1.874, X,    -00236, -00019, 008397,    -00037, 000085, -00039,    
 8669, 474312, 001875,  1.875, X,    -00250, -00067, 008400,    -00030, 000074, -00032,    
 8669, 476211, 001874,  1.874, X,    -00236, -00032, 008320,    -00041, 000073, -00027,    
 8669, 478110, 001877,  1.877, X,    -00230, -00063, 008336,    -00034, 000072, -00036,    
 8669, 480029, 001877,  1.877, X,    -00255, -00043, 008329,    -00029, 000081, -00036,    
 8669, 481932, 001875,  1.875, X,    -00239, -00020, 008420,    -00029, 000085, -00036,    
 8669, 483832, 001874,  1.874, X,    -00219, -00036, 008436,    -00032, 000082, -00033,    
 8669, 485731, 001874,  1.874, X,    -00215, -00042, 008282,    -00035, 000083, -00037,    
 8669, 487630, 001875,  1.875, X,    -00239, -00022, 008399,    -00039, 000079, -00030,    
 8669, 489530, 001877,  1.877, X,    -00221, -00023, 008369,    -00030, 000072, -00033,    
 8669, 491432, 001876,  1.876, X,    -00214, -00022, 008363,    -00038, 000071, -00038,    
 8669, 493333, 001874,  1.874, X,    -00225, -00020, 008379,    -00042, 000078, -00035,    
 8669, 495233, 001874,  1.874, X,    -00155, -00036, 008390,    -00032, 000083, -00032,    
 8669, 497132, 001875,  1.875, X,    -00189, -00018, 008394,    -00031, 000082, -00025,    
 8669, 499032, 001878,  1.878, X,    -00222, -00032, 008397,    -00039, 000082, -00030,    
 8669, 500935, 001876,  1.876, X,    -00208, -00026, 008394,    -00032, 000077, -00033,    
 8669, 502836, 001874,  1.874, X,    -00223, -00038, 008367,    -00030, 000076, -00031,    
 8669, 504736, 001875,  1.875, X,    -00225, -00016, 008346,    -00033, 000081, -00029,    
 8669, 506636, 001875,  1.875, X,    -00223, -00030, 008332,    -00038, 000071, -00031,    
 8669, 508535, 001882,  1.882, X,    -00201, -00028, 008341,    -00040, 000074, -00035,    
 8669, 510444, 001878,  1.878, X,    -00230, 000002, 008368,    -00034, 000078, -00034,    
 8669, 512403, 001888,  1.888, X,    -00228, -00044, 008354,    -00029, 000084, -00039,    
 8669, 514319, 001879,  1.879, X,    -00208, -00022, 008388,    -00037, 000083, -00040,    
 8669, 516223, 001875,  1.875, X,    -00194, -00009, 008374,    -00038, 000082, -00032,    
 8669, 518123, 001875,  1.875, X,    -00232, -00031, 008379,    -00037, 000079, -00031,    
 8669, 520042, 001880,  1.880, X,    -00189, -00047, 008345,    -00035, 000080, -00034,    
 8669, 521948, 001878,  1.878, X,    -00179, -00026, 008376,    -00043, 000075, -00036,    
 8669, 523850, 001878,  1.878, X,    -00166, -00051, 008380,    -00037, 000068, -00034,    
 8669, 525753, 001875,  1.875, X,    -00221, -00033, 008380,    -00036, 000063, -00036,    
 8669, 527653, 001874,  1.874, X,    -00238, -00053, 008343,    -00042, 000074, -00033,    
 8669, 529553, 001877,  1.877, X,    -00174, -00038, 008394,    -00028, 000080, -00032,    
 8669, 531455, 001878,  1.878, X,    -00203, -00037, 008386,    -00039, 000077, -00032,    
 8669, 533358, 001876,  1.876, X,    -00186, -00035, 008390,    -00036, 000081, -00034,    
 8669, 535259, 001875,  1.875, X,    -00215, -00023, 008336,    -00040, 000074, -00034,    
 8669, 537159, 001875,  1.875, X,    -00191, -00060, 008355,    -00032, 000071, -00035,    
 8669, 539058, 001879,  1.879, X,    -00182, -00021, 008360,    -00032, 000079, -00032,    
 8669, 540961, 001876,  1.876, X,    -00205, -00048, 008408,    -00038, 000078, -00032,    
 8669, 542863, 001874,  1.874, X,    -00232, -00034, 008368,    -00023, 000076, -00031,    
 8669, 544763, 001876,  1.876, X,    -00167, 000004, 008387,    -00018, 000078, -00037,    
 8669, 546664, 001881,  1.881, X,    -00197, 000018, 008477,    -00030, 000075, -00035,    
 8669, 548570, 001884,  1.884, X,    -00197, -00022, 008379,    -00036, 000081, -00031,    
 8669, 550479, 001876,  1.876, X,    -00136, -00012, 008446,    -00040, 000087, -00036,    
 8669, 552379, 001875,  1.875, X,    -00157, -00001, 008343,    -00031, 000075, -00034,    
 8669, 554279, 001874,  1.874, X,    -00151, 000003, 008288,    -00033, 000072, -00042,    
 8669, 556177, 001874,  1.874, X,    -00173, -00032, 008389,    -00034, 000074, -00032,    
 8669, 558076, 001876,  1.876, X,    -00217, -00007, 008310,    -00032, 000072, -00030,    
 8669, 559975, 001891,  1.891, X,    -00228, -00029, 008435,    -00036, 000086, -00028,    
 8669, 561891, 001876,  1.876, X,    -00215, -00031, 008389,    -00029, 000080, -00024,    
 8669, 563791, 001874,  1.874, X,    -00207, -00030, 008422,    -00032, 000071, -00031,    
 8669, 565691, 001876,  1.876, X,    -00194, 000006, 008402,    -00036, 000070, -00033,    
 8669, 567591, 001879,  1.879, X,    -00187, -00010, 008325,    -00040, 000076, -00029,    
 8669, 569495, 001879,  1.879, X,    -00194, -00038, 008378,    -00034, 000080, -00040,    
 8669, 571400, 001878,  1.878, X,    -00163, 000005, 008378,    -00037, 000077, -00041,    
 8669, 573303, 001875,  1.875, X,    -00216, -00047, 008327,    -00030, 000074, -00037,    
 8669, 575203, 001875,  1.875, X,    -00182, -00003, 008336,    -00027, 000070, -00033,    
 8669, 577103, 001873,  1.873, X,    -00190, -00009, 008369,    -00032, 000074, -00028,    
 8669, 579001, 001878,  1.878, X,    -00137, -00024, 008435,    -00038, 000072, -00034,    
 8669, 580904, 001878,  1.878, X,    -00220, -00005, 008405,    -00039, 000071, -00034,    
 8669, 582807, 001876,  1.876, X,    -00229, -00027, 008378,    -00039, 000070, -00031,    
 8669, 584708, 001876,  1.876, X,    -00135, -00044, 008369,    -00037, 000074, -00033,    
 8669, 586609, 001874,  1.874, X,    -00174, -00012, 008384,    -00037, 000070, -00038,    
 8669, 588507, 001879,  1.879, X,    -00200, 000030, 008368,    -00030, 000081, -00030,    
 8669, 590411, 001875,  1.875, X,    -00183, -00005, 008369,    -00033, 000075, -00030,    
 8669, 592312, 001875,  1.875, X,    -00229, 000008, 008376,    -00031, 000075, -00034,    
 8669, 594211, 001876,  1.876, X,    -00225, -00023, 008354,    -00035, 000080, -00033,    
 8669, 596112, 001873,  1.873, X,    -00194, -00028, 008342,    -00042, 000066, -00036,    
 8669, 598058, 001885,  1.885, X,    -00213, -00031, 008393,    -00043, 000069, -00040,    
 8669, 599968, 001893,  1.893, X,    -00229, -00025, 008377,    -00040, 000073, -00035,    
 8669, 601886, 001875,  1.875, X,    -00226, -00041, 008405,    -00034, 000079, -00032,    
 8669, 603786, 001874,  1.874, X,    -00220, -00026, 008342,    -00039, 000079, -00034,    
 8669, 605685, 001875,  1.875, X,    -00221, -00027, 008403,    -00039, 000076, -00036,    
 8669, 607585, 001880,  1.880, X,    -00252, -00021, 008352,    -00038, 000074, -00032,    
 8669, 609490, 001877,  1.877, X,    -00215, -00032, 008371,    -00038, 000077, -00037,    
 8669, 611393, 001876,  1.876, X,    -00208, -00023, 008338,    -00035, 000081, -00030,    
 8669, 613295, 001875,  1.875, X,    -00226, -00051, 008376,    -00040, 000083, -00034,    
 8669, 615194, 001875,  1.875, X,    -00194, -00028, 008395,    -00040, 000074, -00027,    
 8669, 617094, 001874,  1.874, X,    -00197, -00031, 008388,    -00038, 000073, -00035,    
 8669, 618993, 001880,  1.880, X,    -00240, -00001, 008380,    -00044, 000071, -00034,    
 8669, 620897, 001876,  1.876, X,    -00225, -00005, 008313,    -00029, 000080, -00034,    
 8669, 622798, 001874,  1.874, X,    -00227, -00009, 008359,    -00031, 000074, -00033,    
 8669, 624696, 001879,  1.879, X,    -00212, -00009, 008397,    -00041, 000081, -00030,    
 8669, 626599, 001881,  1.881, X,    -00229, -00049, 008400,    -00040, 000078, -00032,    
 8669, 628505, 001875,  1.875, X,    -00193, -00022, 008372,    -00034, 000068, -00030,    
 8669, 630405, 001875,  1.875, X,    -00244, -00022, 008402,    -00045, 000078, -00031,    
 8669, 632305, 001876,  1.876, X,    -00215, -00006, 008346,    -00045, 000076, -00032,    
 8669, 634206, 001876,  1.876, X,    -00218, -00017, 008430,    -00036, 000083, -00034,    
 8669, 636106, 001876,  1.876, X,    -00222, -00026, 008382,    -00044, 000085, -00037,    
 8669, 638007, 001877,  1.877, X,    -00222, -00007, 008405,    -00037, 000073, -00030,    
 8669, 639908, 001877,  1.877, X,    -00208, -00036, 008352,    -00034, 000074, -00028,    
 8669, 641810, 001875,  1.875, X,    -00218, -00048, 008441,    -00028, 000075, -00032,    
 8669, 643709, 001876,  1.876, X,    -00205, -00050, 008448,    -00038, 000076, -00031,    
 8669, 645610, 001874,  1.874, X,    -00213, -00009, 008390,    -00037, 000078, -00032,    
 8669, 647509, 001874,  1.874, X,    -00202, 000006, 008403,    -00031, 000076, -00033,    
