 time,    start,     dur,        perc,  X,    
 001.810, 470844587, 000001208,  0.000, _,    
 001.820, 480844545, 000001000,  0.000, _,    
 001.830, 490844629, 000001458,  0.000, _,    
 001.840, 500845129, 000000958,  0.000, _,    
 001.850, 510844504, 000000958,  0.000, _,    
 001.860, 520845629, 000000958,  0.000, _,    
 001.870, 530845004, 000001208,  0.000, _,    
 001.880, 540845170, 000001000,  0.000, _,    
 001.890, 550844254, 000001000,  0.000, _,    
 001.900, 560845170, 000000959,  0.000, _,    
 001.910, 570844837, 000001417,  0.000, _,    
 001.920, 580843587, 000001208,  0.000, _,    
 001.930, 590843962, 000001458,  0.000, _,    
 001.940, 600846545, 000000959,  0.000, _,    
 001.950, 610844962, 000000958,  0.000, _,    
 001.960, 620844170, 000001167,  0.000, _,    
 001.970, 630845045, 000001459,  0.000, _,    
 001.980, 640844712, 000001542,  0.000, _,    
 001.990, 650844587, 000001000,  0.000, _,    
 002.000, 660844587, 000001167,  0.000, _,    
 002.010, 670845045, 000000959,  0.000, _,    
 002.020, 680843837, 000001250,  0.000, _,    
 002.030, 690845129, 000001250,  0.000, _,    
 002.040, 700844212, 000001417,  0.000, _,    
 002.050, 710845087, 000001000,  0.000, _,    
 002.060, 720844462, 000001458,  0.000, _,    
 002.070, 730844795, 000001459,  0.000, _,    
 002.080, 740846045, 000001459,  0.000, _,    
 002.090, 750845379, 000001250,  0.000, _,    
 002.100, 760844837, 000001583,  0.000, _,    
 002.110, 770845670, 000001459,  0.000, _,    
 002.120, 780843795, 000001500,  0.000, _,    
 002.130, 790844337, 000001250,  0.000, _,    
 002.140, 800844004, 000001666,  0.000, _,    
 002.150, 810844795, 000001209,  0.000, _,    
 002.160, 820844920, 000001500,  0.000, _,    
 002.170, 830844045, 000001000,  0.000, _,    
 002.180, 840844962, 000001000,  0.000, _,    
 002.190, 850844837, 000001208,  0.000, _,    
 002.200, 860844754, 000000916,  0.000, _,    
 002.210, 870845004, 000001208,  0.000, _,    
 002.220, 880844629, 000001000,  0.000, _,    
 002.230, 890844295, 000001209,  0.000, _,    
 002.240, 900844170, 000001000,  0.000, _,    
 002.250, 910845045, 000001209,  0.000, _,    
 002.260, 920844337, 000001458,  0.000, _,    
 002.270, 930844004, 000001416,  0.000, _,    
 002.280, 940844087, 000001167,  0.000, _,    
 002.290, 950843170, 000001000,  0.000, _,    
 002.300, 960844212, 000001208,  0.000, _,    
 002.310, 970844837, 000000958,  0.000, _,    
