 Ctime,       Cdur,      N1,     N2,     N3,     N4,        XPerr,  YPerr,  ZPerr,     XIerr,  YIerr,  ZIerr,     XDerr,  YDerr,  ZDerr,   
 0001.343445, 000006,    -0.056, 00.264, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.353439, 000006,    -0.006, 00.264, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.363449, 000007,    -0.006, 00.230, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.373444, 000006,    -0.006, 00.194, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.383453, 000009,    -0.004, 00.194, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.393448, 000008,    -0.004, 00.158, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.403442, 000006,    -0.004, 00.158, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.413452, 000005,    -0.004, 00.114, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.423447, 000007,    -0.004, 00.074, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.433441, 000007,    -0.004, 00.074, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.443451, 000006,    -0.004, 00.040, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.453445, 000006,    -0.004, 00.010, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.463440, 000006,    -0.004, 00.010, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.473450, 000006,    -0.004, 00.010, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.483444, 000005,    -0.004, 00.010, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.493454, 000007,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.503448, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.513443, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.523453, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.533447, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.543442, 000007,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.553452, 000007,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.563446, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.573441, 000007,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.583450, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.593445, 000008,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.603439, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.613449, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.623444, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.633438, 000007,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.643448, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.653442, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.663452, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.673447, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.683441, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.693451, 000007,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.703445, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.713440, 000006,    -0.004, 00.006, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.723450, 000006,    -0.004, 00.006, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.733444, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.743439, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.753448, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.763443, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.773453, 000007,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.783447, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.793442, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.803452, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.813446, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.823441, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.833450, 000005,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.843445, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.853439, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.863449, 000007,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.873444, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.883453, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.893448, 000006,    -0.004, 00.006, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.903442, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.913452, 000005,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.923447, 000006,    -0.004, 00.006, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.933441, 000006,    -0.004, 00.006, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.943451, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.953445, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.963440, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.973450, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.983444, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0001.993454, 000007,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.003448, 000005,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.013443, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.023453, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.033447, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.043442, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.053452, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.063446, 000006,    -0.004, 00.006, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.073441, 000006,    -0.004, 00.006, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.083450, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.093445, 000007,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.103439, 000007,    -0.004, 00.006, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.113449, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.123444, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.133453, 000005,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.143448, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.153442, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.163452, 000005,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.173447, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.183441, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.193451, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.203445, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.213440, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.223450, 000005,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.233444, 000007,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.243454, 000008,    -0.004, 00.006, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.253448, 000006,    -0.004, 00.006, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.263443, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.273438, 000006,    -0.004, 00.006, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.283447, 000006,    -0.004, 00.006, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.293442, 000007,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.303452, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.313446, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.323441, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.333450, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.343445, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.353439, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.363449, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.373444, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.383453, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.393448, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.403442, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.413452, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.423447, 000007,    -0.004, 00.006, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.433441, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.443451, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.453445, 000006,    -0.004, 00.006, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.463440, 000006,    -0.004, 00.006, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.473450, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.483444, 000005,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.493454, 000007,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.503448, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
 0002.513443, 000006,    -0.004, 00.008, 00.008, -1.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    00.000, 00.000, 00.000,    
