 Atime,       Adur,      Arx1,   Ary1,   Arz1,      Aax1,      Aay1,      Aaz1,         Acx1,    Acy1,    Acz1,   
 0001.743896, 000541,    -00592, -08204, 000302,    -00590.23, -08178.21, 000188.27,    00.9961, 00.0726, 00.0395,    
 0001.744873, 000541,    -00579, -08199, 000264,    -00599.85, -08199.12, 000243.08,    00.9987, 00.0738, 00.0460,    
 0001.745850, 000541,    -00576, -08191, 000267,    -00596.10, -08180.10, 000309.17,    00.9964, 00.0733, 00.0540,    
 0001.746826, 000891,    -00562, -08172, 000254,    -00586.41, -08147.12, 000316.29,    00.9923, 00.0721, 00.0548,    
 0001.747803, 000543,    -00568, -08180, 000217,    -00601.63, -08151.05, 000281.53,    00.9928, 00.0740, 00.0507,    
 0001.748779, 000541,    -00551, -08181, 000223,    -00616.23, -08157.38, 000284.49,    00.9936, 00.0758, 00.0510,    
 0001.749756, 000542,    -00525, -08172, 000213,    -00598.03, -08171.61, 000282.27,    00.9953, 00.0735, 00.0508,    
 0001.750732, 000540,    -00512, -08162, 000200,    -00594.71, -08197.67, 000299.52,    00.9985, 00.0731, 00.0528,    
 0001.751953, 000541,    -00502, -08150, 000235,    -00600.27, -08211.51, 000321.22,    01.0002, 00.0738, 00.0554,    
 0001.752930, 000591,    -00500, -08140, 000246,    -00583.54, -08198.62, 000291.04,    00.9986, 00.0718, 00.0518,    
 0001.753906, 000541,    -00520, -08135, 000253,    -00571.63, -08193.27, 000259.12,    00.9980, 00.0703, 00.0480,    
 0001.754883, 000541,    -00547, -08144, 000222,    -00568.68, -08185.74, 000260.85,    00.9970, 00.0700, 00.0482,    
 0001.755859, 000542,    -00551, -08149, 000180,    -00556.85, -08169.43, 000248.60,    00.9951, 00.0685, 00.0467,    
 0001.756836, 000891,    -00575, -08165, 000210,    -00562.13, -08175.91, 000217.49,    00.9958, 00.0692, 00.0430,    
 0001.757812, 000541,    -00608, -08154, 000226,    -00549.08, -08176.30, 000222.58,    00.9959, 00.0676, 00.0436,    
 0001.758789, 000540,    -00593, -08162, 000202,    -00528.62, -08168.64, 000213.97,    00.9950, 00.0651, 00.0425,    
 0001.759766, 000544,    -00563, -08187, 000213,    -00518.63, -08160.79, 000203.29,    00.9940, 00.0639, 00.0413,    
 0001.760742, 000542,    -00554, -08167, 000261,    -00511.12, -08151.07, 000233.13,    00.9928, 00.0629, 00.0448,    
 0001.761963, 000541,    -00533, -08170, 000267,    -00509.90, -08143.24, 000242.82,    00.9919, 00.0628, 00.0460,    
 0001.762939, 000592,    -00543, -08165, 000235,    -00526.96, -08139.56, 000248.41,    00.9914, 00.0649, 00.0467,    
 0001.763916, 000542,    -00577, -08150, 000232,    -00550.09, -08147.15, 000222.66,    00.9923, 00.0677, 00.0436,    
 0001.764893, 000540,    -00595, -08140, 000239,    -00554.25, -08151.11, 000188.52,    00.9928, 00.0682, 00.0395,    
 0001.765869, 000544,    -00575, -08145, 000254,    -00574.35, -08164.12, 000214.42,    00.9944, 00.0707, 00.0426,    
 0001.766846, 000856,    -00543, -08163, 000275,    -00600.80, -08155.07, 000228.73,    00.9933, 00.0739, 00.0443,    
 0001.767822, 000542,    -00536, -08166, 000267,    -00587.23, -08161.85, 000209.79,    00.9941, 00.0722, 00.0420,    
 0001.768799, 000540,    -00520, -08136, 000288,    -00561.30, -08181.85, 000220.35,    00.9966, 00.0691, 00.0433,    
 0001.769775, 000543,    -00509, -08107, 000332,    -00552.89, -08163.98, 000261.92,    00.9944, 00.0680, 00.0483,    
 0001.770752, 000541,    -00510, -08114, 000344,    -00534.82, -08165.46, 000268.45,    00.9946, 00.0658, 00.0491,    
 0001.771729, 000540,    -00508, -08134, 000267,    -00542.50, -08160.74, 000242.17,    00.9940, 00.0668, 00.0459,    
 0001.772949, 000596,    -00521, -08152, 000175,    -00569.97, -08148.26, 000238.39,    00.9925, 00.0701, 00.0455,    
 0001.773926, 000542,    -00536, -08142, 000198,    -00584.07, -08139.94, 000243.34,    00.9915, 00.0718, 00.0461,    
 0001.774902, 000541,    -00502, -08141, 000224,    -00566.05, -08144.06, 000255.27,    00.9920, 00.0696, 00.0475,    
 0001.775879, 000540,    -00485, -08152, 000199,    -00538.21, -08158.98, 000271.39,    00.9938, 00.0662, 00.0494,    
 0001.776855, 000890,    -00515, -08148, 000219,    -00532.02, -08161.23, 000263.80,    00.9941, 00.0655, 00.0485,    
 0001.777832, 000542,    -00531, -08167, 000250,    -00518.87, -08136.73, 000280.76,    00.9911, 00.0639, 00.0506,    
 0001.778809, 000540,    -00521, -08188, 000239,    -00509.89, -08113.94, 000316.03,    00.9883, 00.0628, 00.0548,    
 0001.779785, 000541,    -00522, -08188, 000238,    -00510.95, -08121.14, 000324.35,    00.9892, 00.0629, 00.0558,    
 0001.780762, 000542,    -00548, -08204, 000222,    -00510.03, -08139.17, 000259.18,    00.9914, 00.0628, 00.0480,    
 0001.781738, 000541,    -00561, -08187, 000226,    -00521.70, -08154.87, 000183.05,    00.9933, 00.0642, 00.0388,    
 0001.782959, 000594,    -00534, -08162, 000259,    -00534.24, -08146.81, 000203.41,    00.9923, 00.0658, 00.0413,    
 0001.783936, 000541,    -00501, -08173, 000249,    -00505.70, -08146.50, 000225.63,    00.9923, 00.0623, 00.0439,    
 0001.784912, 000541,    -00516, -08177, 000292,    -00491.96, -08156.13, 000206.43,    00.9934, 00.0606, 00.0416,    
 0001.785889, 000540,    -00555, -08171, 000333,    -00517.80, -08153.14, 000225.31,    00.9931, 00.0638, 00.0439,    
 0001.786865, 000890,    -00566, -08152, 000330,    -00531.87, -08168.70, 000252.80,    00.9950, 00.0655, 00.0472,    
 0001.787842, 000541,    -00555, -08168, 000323,    -00524.12, -08185.91, 000245.15,    00.9971, 00.0645, 00.0463,    
 0001.788818, 000541,    -00554, -08171, 000269,    -00525.53, -08185.62, 000244.80,    00.9970, 00.0647, 00.0462,    
 0001.789795, 000542,    -00556, -08163, 000243,    -00547.46, -08198.30, 000231.64,    00.9986, 00.0674, 00.0447,    
 0001.790771, 000541,    -00576, -08188, 000254,    -00558.68, -08184.16, 000235.36,    00.9969, 00.0687, 00.0451,    
 0001.791748, 000540,    -00575, -08154, 000276,    -00536.85, -08163.06, 000263.23,    00.9943, 00.0661, 00.0485,    
 0001.792969, 000592,    -00538, -08122, 000307,    -00509.80, -08171.27, 000255.88,    00.9953, 00.0628, 00.0476,    
