 Gtime,       Gdur,    Gperc, G,        Grx1,   Gry1,   Grz1,           Gax1,   Gay1,   Gaz1        
 0001.725922, 000988,  0.099, _,    -00035, 000077, -00033,    -00036.17, 000075.33, -00033.48,    
 0001.735931, 000995,  0.100, _,    -00035, 000078, -00037,    -00035.83, 000075.66, -00034.55,    
 0001.745926, 001003,  0.100, _,    -00035, 000077, -00035,    -00035.66, 000076.12, -00034.45,    
 0001.755920, 000990,  0.099, _,    -00039, 000083, -00025,    -00036.41, 000077.38, -00032.61,    
 0001.765930, 000990,  0.099, _,    -00045, 000079, -00032,    -00038.30, 000078.17, -00031.95,    
 0001.775925, 000989,  0.099, _,    -00033, 000076, -00031,    -00037.44, 000077.53, -00032.02,    
 0001.785919, 000990,  0.099, _,    -00033, 000071, -00040,    -00036.14, 000076.31, -00033.27,    
 0001.795929, 000991,  0.099, _,    -00040, 000084, -00030,    -00037.05, 000077.59, -00033.14,    
 0001.805923, 000988,  0.099, _,    -00035, 000074, -00031,    -00036.69, 000077.44, -00032.06,    
 0001.815933, 000988,  0.099, _,    -00028, 000080, -00035,    -00034.81, 000077.39, -00033.11,    
 0001.825928, 000994,  0.099, _,    -00042, 000074, -00040,    -00036.00, 000077.38, -00034.30,    
 0001.835922, 000989,  0.099, _,    -00039, 000084, -00039,    -00037.09, 000078.14, -00035.69,    
 0001.845917, 000987,  0.099, _,    -00042, 000073, -00032,    -00037.88, 000077.86, -00034.80,    
 0001.855927, 000987,  0.099, _,    -00036, 000079, -00036,    -00037.91, 000077.27, -00035.03,    
 0001.865921, 000987,  0.099, _,    -00028, 000074, -00040,    -00035.48, 000077.27, -00036.14,    
 0001.875931, 000988,  0.099, _,    -00045, 000075, -00038,    -00037.36, 000076.09, -00036.78,    
 0001.885925, 000986,  0.099, _,    -00040, 000072, -00042,    -00038.25, 000075.70, -00037.83,    
 0001.895920, 000988,  0.099, _,    -00037, 000073, -00034,    -00037.77, 000074.59, -00037.36,    
 0001.905930, 000987,  0.099, _,    -00044, 000080, -00035,    -00039.23, 000076.05, -00036.58,    
 0001.915924, 000987,  0.099, _,    -00036, 000074, -00026,    -00038.75, 000075.52, -00034.67,    
 0001.925919, 000988,  0.099, _,    -00032, 000075, -00036,    -00037.20, 000075.36, -00034.42,    
 0001.935928, 000988,  0.099, _,    -00033, 000074, -00036,    -00036.34, 000075.05, -00035.20,    
 0001.945923, 000988,  0.099, _,    -00040, 000078, -00033,    -00036.91, 000075.58, -00034.39,    
 0001.955917, 000987,  0.099, _,    -00033, 000077, -00032,    -00036.31, 000075.97, -00034.03,    
 0001.965927, 000988,  0.099, _,    -00030, 000072, -00036,    -00034.69, 000075.06, -00034.20,    
 0001.975922, 000987,  0.099, _,    -00034, 000069, -00037,    -00034.50, 000073.73, -00035.03,    
 0001.985916, 000986,  0.099, _,    -00036, 000073, -00040,    -00034.84, 000073.41, -00035.84,    
 0001.995926, 000988,  0.099, _,    -00038, 000074, -00034,    -00035.48, 000073.66, -00035.70,    
 0002.005920, 000988,  0.099, _,    -00035, 000077, -00037,    -00035.31, 000074.23, -00035.61,    
 0002.015930, 000988,  0.099, _,    -00038, 000080, -00037,    -00035.78, 000075.61, -00036.23,    
 0002.025925, 000995,  0.100, _,    -00033, 000071, -00035,    -00035.31, 000074.70, -00035.83,    
 0002.035919, 000991,  0.099, _,    -00032, 000075, -00033,    -00034.41, 000074.55, -00035.42,    
 0002.045929, 000988,  0.099, _,    -00040, 000074, -00029,    -00035.59, 000074.62, -00033.95,    
 0002.055923, 000989,  0.099, _,    -00042, 000075, -00040,    -00037.09, 000074.50, -00035.06,    
 0002.065918, 000990,  0.099, _,    -00033, 000069, -00039,    -00036.38, 000073.52, -00036.22,    
 0002.075928, 000990,  0.099, _,    -00039, 000075, -00035,    -00036.69, 000073.44, -00035.89,    
 0002.085922, 000989,  0.099, _,    -00037, 000074, -00038,    -00037.14, 000073.92, -00036.34,    
