 Mtime,       Mdur,    Mperc, M,        Mrx1, Mry1, Mrz1,         Max1, May1, Maz1,     
 0008.261108, 001168,  0.023, _,    0103, 0154, -036,    0105.11, 0154.75, -035.44,    
 0008.311111, 001174,  0.023, _,    0109, 0155, -033,    0105.89, 0154.86, -035.23,    
 0008.361115, 001167,  0.023, _,    0106, 0150, -038,    0106.12, 0153.78, -035.48,    
 0008.411118, 001166,  0.023, _,    0104, 0153, -033,    0105.59, 0153.48, -035.36,    
 0008.461105, 001169,  0.023, _,    0105, 0159, -034,    0105.53, 0154.70, -034.67,    
 0008.511108, 001167,  0.023, _,    0107, 0152, -039,    0105.81, 0154.28, -035.89,    
 0008.561111, 001167,  0.023, _,    0100, 0159, -034,    0104.73, 0155.02, -035.44,    
 0008.611115, 001166,  0.023, _,    0100, 0154, -034,    0103.45, 0155.16, -035.19,    
 0008.661118, 001168,  0.023, _,    0106, 0153, -033,    0103.98, 0154.39, -034.69,    
 0008.711105, 001182,  0.024, _,    0108, 0155, -038,    0104.83, 0154.70, -035.27,    
 0008.761108, 001168,  0.023, _,    0103, 0161, -034,    0104.56, 0155.84, -035.14,    
 0008.811111, 001169,  0.023, _,    0107, 0152, -034,    0104.84, 0155.41, -034.72,    
 0008.861115, 001169,  0.023, _,    0103, 0163, -034,    0104.72, 0156.56, -034.67,    
 0008.911118, 001167,  0.023, _,    0106, 0153, -035,    0104.70, 0156.50, -034.64,    
 0008.961105, 001165,  0.023, _,    0107, 0154, -036,    0105.39, 0155.41, -035.02,    
 0009.011108, 001168,  0.023, _,    0105, 0152, -036,    0105.19, 0155.19, -035.16,    
 0009.061111, 001166,  0.023, _,    0104, 0153, -033,    0105.05, 0154.20, -034.81,    
 0009.111115, 001175,  0.024, _,    0100, 0152, -044,    0103.92, 0154.08, -036.50,    
 0009.161118, 001169,  0.023, _,    0106, 0150, -042,    0104.27, 0152.89, -038.12,    
 0009.211105, 001169,  0.023, _,    0111, 0157, -033,    0105.84, 0153.80, -036.95,    
 0009.261108, 001169,  0.023, _,    0112, 0154, -034,    0107.22, 0153.92, -036.33,    
 0009.311111, 001164,  0.023, _,    0107, 0156, -036,    0107.30, 0154.28, -036.20,    
 0009.361115, 001167,  0.023, _,    0109, 0152, -032,    0107.58, 0153.84, -035.42,    
 0009.411118, 001168,  0.023, _,    0108, 0153, -035,    0107.86, 0153.48, -035.16,    
 0009.461121, 001167,  0.023, _,    0104, 0153, -038,    0107.00, 0153.44, -035.86,    
 0009.511108, 001171,  0.023, _,    0107, 0161, -041,    0106.95, 0154.83, -036.94,    
 0009.561111, 001169,  0.023, _,    0103, 0156, -041,    0106.19, 0155.48, -038.00,    
 0009.611115, 001167,  0.023, _,    0108, 0155, -033,    0106.42, 0155.14, -036.97,    
 0009.661118, 001167,  0.023, _,    0105, 0152, -032,    0106.39, 0154.77, -035.78,    
 0009.711105, 001167,  0.023, _,    0103, 0154, -034,    0105.52, 0154.34, -035.33,    
 0009.761108, 001165,  0.023, _,    0107, 0156, -034,    0105.86, 0154.94, -034.94,    
 0009.811111, 001166,  0.023, _,    0103, 0156, -039,    0105.23, 0155.02, -035.75,    
 0009.861115, 001167,  0.023, _,    0104, 0160, -033,    0104.78, 0156.16, -035.39,    
 0009.911118, 001165,  0.023, _,    0109, 0156, -032,    0105.64, 0156.25, -034.47,    
 0009.961105, 001170,  0.023, _,    0106, 0160, -042,    0105.81, 0156.98, -036.09,    
 0010.011108, 001168,  0.023, _,    0106, 0155, -035,    0105.73, 0156.83, -036.11,    
 0010.061111, 001169,  0.023, _,    0106, 0153, -038,    0105.89, 0155.83, -036.20,    
 0010.111115, 001166,  0.023, _,    0101, 0155, -035,    0104.83, 0155.67, -036.17,    
 0010.161118, 001168,  0.023, _,    0106, 0155, -035,    0104.94, 0155.45, -035.64,    
 0010.211105, 001168,  0.023, _,    0098, 0156, -039,    0103.67, 0155.62, -036.53,    
 0010.261108, 001168,  0.023, _,    0105, 0152, -036,    0103.50, 0154.91, -036.47,    
 0010.311111, 001168,  0.023, _,    0106, 0150, -042,    0104.41, 0153.80, -037.58,    
 0010.361115, 001171,  0.023, _,    0103, 0159, -039,    0103.89, 0154.73, -038.16,    
 0010.411118, 001168,  0.023, _,    0109, 0154, -039,    0105.03, 0154.84, -038.22,    
 0010.461105, 001169,  0.023, _,    0108, 0153, -035,    0105.75, 0154.14, -037.73,    
 0010.511108, 001167,  0.023, _,    0108, 0157, -040,    0106.20, 0154.81, -038.03,    
 0010.561111, 001167,  0.023, _,    0107, 0154, -039,    0106.42, 0154.62, -038.47,    
 0010.611115, 001166,  0.023, _,    0109, 0156, -034,    0106.94, 0154.86, -037.41,    
 0010.661118, 001168,  0.023, _,    0099, 0153, -033,    0105.45, 0154.58, -036.50,    
 0010.711105, 001166,  0.023, _,    0103, 0152, -034,    0104.62, 0153.89, -035.84,    
 0010.761108, 001182,  0.024, _,    0108, 0157, -038,    0105.53, 0154.55, -036.34,    
 0010.811111, 001169,  0.023, _,    0104, 0153, -038,    0105.23, 0154.34, -036.69,    
 0010.861115, 001169,  0.023, _,    0105, 0152, -036,    0105.20, 0153.72, -036.55,    
 0010.911118, 001166,  0.023, _,    0105, 0156, -034,    0105.12, 0154.25, -035.94,    
 0010.961105, 001165,  0.023, _,    0106, 0150, -040,    0105.33, 0153.42, -036.67,    
 0011.011108, 001166,  0.023, _,    0111, 0160, -040,    0106.48, 0154.52, -037.53,    
