 Ftime,       Fdur,      Qw1,     Qx1,     Qy1,     Qz1,        Ex1,     Ey1,     Ez1,      dEx1, dEy1, dEz1  
 0001.659912, 000031,    00.9974, 00.0545, 00.0129, -0.0452,    00.1077, 00.0307, -0.0874,    00.0270, -0.0049, 00.0016,    
 0001.669922, 000031,    00.9974, 00.0544, 00.0127, -0.0459,    00.1077, 00.0306, -0.0889,    00.0239, -0.0050, 00.0023,    
 0001.679932, 000034,    00.9973, 00.0544, 00.0130, -0.0465,    00.1076, 00.0303, -0.0903,    00.0204, -0.0037, 00.0035,    
 0001.689941, 000032,    00.9973, 00.0545, 00.0128, -0.0473,    00.1076, 00.0311, -0.0916,    00.0214, -0.0035, 00.0023,    
 0001.700195, 000028,    00.9973, 00.0546, 00.0128, -0.0480,    00.1078, 00.0308, -0.0931,    00.0254, -0.0047, 00.0019,    
 0001.709961, 000043,    00.9972, 00.0546, 00.0128, -0.0487,    00.1079, 00.0309, -0.0945,    00.0274, -0.0048, 00.0016,    
 0001.719971, 000044,    00.9972, 00.0546, 00.0128, -0.0495,    00.1078, 00.0309, -0.0960,    00.0249, -0.0034, 00.0007,    
 0001.729980, 000035,    00.9972, 00.0547, 00.0130, -0.0502,    00.1079, 00.0310, -0.0975,    00.0327, -0.0018, 00.0017,    
 0001.739990, 000033,    00.9971, 00.0548, 00.0129, -0.0510,    00.1080, 00.0314, -0.0989,    00.0363, -0.0014, 00.0024,    
 0001.750000, 000037,    00.9971, 00.0549, 00.0131, -0.0517,    00.1083, 00.0313, -0.1004,    00.0346, -0.0038, 00.0011,    
 0001.760010, 000035,    00.9970, 00.0552, 00.0130, -0.0524,    00.1084, 00.0317, -0.1018,    00.0343, -0.0028, 00.0026,    
 0001.770020, 000032,    00.9970, 00.0554, 00.0129, -0.0531,    00.1091, 00.0316, -0.1033,    00.0406, 00.0006, 00.0008,    
 0001.780029, 000034,    00.9969, 00.0557, 00.0128, -0.0539,    00.1093, 00.0316, -0.1047,    00.0411, -0.0010, 00.0011,    
 0001.790039, 000036,    00.9969, 00.0557, 00.0131, -0.0545,    00.1099, 00.0316, -0.1062,    00.0350, -0.0029, -0.0003,    
 0001.800049, 000035,    00.9968, 00.0558, 00.0130, -0.0553,    00.1098, 00.0323, -0.1075,    00.0343, -0.0023, 00.0015,    
 0001.810059, 000037,    00.9968, 00.0558, 00.0131, -0.0560,    00.1102, 00.0320, -0.1090,    00.0298, -0.0028, 00.0012,    
 0001.820068, 000043,    00.9968, 00.0557, 00.0130, -0.0567,    00.1100, 00.0324, -0.1104,    00.0316, -0.0027, 00.0019,    
 0001.830078, 000041,    00.9967, 00.0556, 00.0127, -0.0573,    00.1098, 00.0323, -0.1118,    00.0325, -0.0017, 00.0013,    
 0001.840088, 000037,    00.9967, 00.0554, 00.0130, -0.0579,    00.1097, 00.0317, -0.1131,    00.0312, -0.0028, -0.0010,    
 0001.850098, 000018,    00.9967, 00.0555, 00.0125, -0.0587,    00.1093, 00.0323, -0.1143,    00.0139, -0.0100, -0.0321,    
 0001.859863, 000037,    00.9966, 00.0556, 00.0125, -0.0595,    00.1094, 00.0314, -0.1159,    00.0173, -0.0054, -0.0169,    
 0001.869873, 000034,    00.9965, 00.0558, 00.0128, -0.0602,    00.1096, 00.0316, -0.1176,    00.0284, -0.0024, -0.0009,    
 0001.879883, 000031,    00.9965, 00.0559, 00.0127, -0.0609,    00.1100, 00.0323, -0.1189,    00.0216, -0.0056, 00.0006,    
 0001.889893, 000035,    00.9965, 00.0556, 00.0128, -0.0616,    00.1100, 00.0320, -0.1204,    00.0299, -0.0048, 00.0008,    
 0001.900146, 000042,    00.9964, 00.0555, 00.0128, -0.0622,    00.1096, 00.0324, -0.1216,    00.0274, -0.0037, -0.0002,    
 0001.909912, 000034,    00.9964, 00.0551, 00.0129, -0.0629,    00.1092, 00.0325, -0.1230,    00.0230, -0.0032, 00.0007,    
 0001.919922, 000032,    00.9964, 00.0550, 00.0128, -0.0636,    00.1085, 00.0326, -0.1242,    00.0214, -0.0038, -0.0016,    
 0001.929932, 000038,    00.9963, 00.0548, 00.0129, -0.0643,    00.1082, 00.0324, -0.1257,    00.0198, -0.0042, -0.0002,    
 0001.939941, 000031,    00.9963, 00.0544, 00.0127, -0.0648,    00.1078, 00.0328, -0.1270,    00.0246, -0.0046, 00.0003,    
 0001.949951, 000018,    00.9963, 00.0545, 00.0129, -0.0655,    00.1070, 00.0324, -0.1282,    00.0305, -0.0040, -0.0001,    
 0001.959961, 000034,    00.9962, 00.0545, 00.0131, -0.0662,    00.1071, 00.0328, -0.1296,    00.0203, -0.0056, -0.0016,    
 0001.969971, 000031,    00.9962, 00.0540, 00.0129, -0.0668,    00.1071, 00.0333, -0.1310,    00.0167, -0.0074, -0.0008,    
 0001.979980, 000017,    00.9962, 00.0538, 00.0127, -0.0674,    00.1062, 00.0330, -0.1321,    00.0174, -0.0035, 00.0002,    
