timeG, dur, perc, X, rGx1, rGy1, rGz1, 
 0001.542969, 000976,  0.976, _,    -00030, 000078, -00032,    
 0001.542969, 000975,  0.975, _,    -00034, 000082, -00033,    
 0001.544922, 000976,  0.976, _,    -00044, 000081, -00036,    
 0001.544922, 000975,  0.975, _,    -00048, 000079, -00037,    
 0001.546875, 000976,  0.976, _,    -00046, 000079, -00036,    
 0001.548828, 000975,  0.975, _,    -00040, 000080, -00035,    
 0001.548828, 000976,  0.976, _,    -00039, 000080, -00032,    
 0001.550781, 000979,  0.979, _,    -00039, 000080, -00033,    
 0001.550781, 000976,  0.976, _,    -00032, 000080, -00035,    
 0001.552734, 000977,  0.977, _,    -00027, 000081, -00036,    
 0001.552734, 000976,  0.976, _,    -00031, 000081, -00038,    
 0001.554688, 000978,  0.978, _,    -00038, 000079, -00037,    
 0001.554688, 000976,  0.976, _,    -00040, 000078, -00031,    
 0001.556641, 000975,  0.975, _,    -00031, 000080, -00024,    
 0001.556641, 000975,  0.975, _,    -00025, 000079, -00027,    
 0001.558594, 000976,  0.976, _,    -00032, 000076, -00034,    
 0001.558594, 000975,  0.975, _,    -00038, 000077, -00035,    
 0001.560547, 000978,  0.978, _,    -00043, 000084, -00032,    
 0001.560547, 000977,  0.977, _,    -00042, 000084, -00033,    
 0001.562500, 000976,  0.976, _,    -00037, 000078, -00033,    
 0001.562500, 000975,  0.975, _,    -00030, 000073, -00033,    
 0001.564453, 000975,  0.975, _,    -00030, 000069, -00033,    
 0001.564453, 000977,  0.977, _,    -00033, 000070, -00032,    
 0001.566406, 000976,  0.976, _,    -00032, 000076, -00036,    
 0001.566406, 000975,  0.975, _,    -00028, 000081, -00040,    
 0001.568359, 000976,  0.976, _,    -00028, 000078, -00042,    
 0001.568359, 000976,  0.976, _,    -00033, 000072, -00042,    
 0001.570312, 000979,  0.979, _,    -00035, 000070, -00041,    
 0001.570312, 000978,  0.978, _,    -00034, 000075, -00039,    
 0001.572266, 000976,  0.976, _,    -00037, 000076, -00033,    
 0001.572266, 000976,  0.976, _,    -00037, 000073, -00030,    
 0001.574219, 000976,  0.976, _,    -00039, 000071, -00034,    
 0001.574219, 000978,  0.978, _,    -00041, 000074, -00034,    
 0001.576172, 000977,  0.977, _,    -00042, 000080, -00033,    
 0001.576172, 000976,  0.976, _,    -00038, 000079, -00035,    
 0001.578125, 000976,  0.976, _,    -00033, 000078, -00033,    
 0001.578125, 000975,  0.975, _,    -00033, 000080, -00031,    
 0001.580078, 000978,  0.978, _,    -00036, 000078, -00028,    
 0001.580078, 000977,  0.977, _,    -00039, 000079, -00027,    
 0001.582031, 000976,  0.976, _,    -00034, 000083, -00029,    
 0001.582031, 000977,  0.977, _,    -00029, 000087, -00029,    
 0001.583984, 000990,  0.990, _,    -00034, 000082, -00030,    
 0001.583984, 000981,  0.981, _,    -00039, 000077, -00031,    
 0001.585938, 000978,  0.978, _,    -00038, 000076, -00032,    
 0001.585938, 000979,  0.979, _,    -00035, 000077, -00035,    
 0001.587891, 000978,  0.978, _,    -00036, 000078, -00039,    
 0001.589844, 000978,  0.978, _,    -00038, 000078, -00037,    
 0001.589844, 000979,  0.979, _,    -00038, 000076, -00036,    
 0001.591797, 000978,  0.978, _,    -00042, 000080, -00033,    
 0001.591797, 000976,  0.976, _,    -00042, 000083, -00032,    
 0001.593750, 000975,  0.975, _,    -00040, 000081, -00031,    
 0001.593750, 000975,  0.975, _,    -00038, 000073, -00034,    
 0001.595703, 000976,  0.976, _,    -00037, 000066, -00036,    
 0001.595703, 000976,  0.976, _,    -00039, 000066, -00034,    
 0001.597656, 000976,  0.976, _,    -00040, 000072, -00033,    
 0001.597656, 000976,  0.976, _,    -00040, 000076, -00033,    
 0001.599609, 000976,  0.976, _,    -00042, 000076, -00036,    
 0001.599609, 000979,  0.979, _,    -00041, 000078, -00037,    
 0001.601562, 000977,  0.977, _,    -00038, 000078, -00032,    
 0001.601562, 000977,  0.977, _,    -00036, 000075, -00031,    
 0001.603516, 000977,  0.977, _,    -00032, 000074, -00036,    
 0001.603516, 000977,  0.977, _,    -00029, 000074, -00040,    
 0001.605469, 000977,  0.977, _,    -00033, 000074, -00041,    
 0001.605469, 000977,  0.977, _,    -00038, 000075, -00040,    
 0001.607422, 000976,  0.976, _,    -00035, 000077, -00034,    
 0001.607422, 000976,  0.976, _,    -00032, 000078, -00030,    
 0001.609375, 000977,  0.977, _,    -00038, 000078, -00032,    
 0001.609375, 000978,  0.978, _,    -00040, 000082, -00034,    
 0001.611328, 000976,  0.976, _,    -00037, 000085, -00034,    
 0001.611328, 000978,  0.978, _,    -00034, 000084, -00034,    
 0001.613281, 000975,  0.975, _,    -00034, 000087, -00037,    
 0001.613281, 000976,  0.976, _,    -00039, 000088, -00033,    
 0001.615234, 000976,  0.976, _,    -00039, 000081, -00032,    
 0001.615234, 000976,  0.976, _,    -00038, 000077, -00029,    
 0001.617188, 000975,  0.975, _,    -00038, 000078, -00026,    
 0001.617188, 000976,  0.976, _,    -00034, 000080, -00029,    
 0001.619141, 000976,  0.976, _,    -00032, 000078, -00033,    
 0001.619141, 000979,  0.979, _,    -00035, 000072, -00033,    
 0001.621094, 000977,  0.977, _,    -00039, 000069, -00035,    
 0001.621094, 000976,  0.976, _,    -00044, 000068, -00033,    
 0001.623047, 000976,  0.976, _,    -00043, 000075, -00031,    
 0001.623047, 000975,  0.975, _,    -00039, 000083, -00030,    
 0001.625000, 000976,  0.976, _,    -00033, 000085, -00032,    
 0001.625000, 000975,  0.975, _,    -00032, 000079, -00031,    
 0001.626953, 000977,  0.977, _,    -00037, 000073, -00031,    
 0001.626953, 000976,  0.976, _,    -00038, 000070, -00031,    
 0001.628906, 000975,  0.975, _,    -00037, 000072, -00032,    
 0001.628906, 000980,  0.980, _,    -00040, 000074, -00033,    
 0001.630859, 000977,  0.977, _,    -00047, 000075, -00036,    
 0001.632812, 000975,  0.975, _,    -00047, 000076, -00040,    
 0001.632812, 000976,  0.976, _,    -00040, 000078, -00041,    
 0001.634766, 000975,  0.975, _,    -00036, 000078, -00038,    
 0001.634766, 000975,  0.975, _,    -00035, 000077, -00034,    
 0001.636719, 000975,  0.975, _,    -00036, 000072, -00032,    
 0001.636719, 000976,  0.976, _,    -00039, 000072, -00034,    
 0001.638672, 000975,  0.975, _,    -00039, 000073, -00037,    
 0001.638672, 000976,  0.976, _,    -00036, 000072, -00040,    
 0001.640625, 000979,  0.979, _,    -00032, 000070, -00040,    
 0001.640625, 000975,  0.975, _,    -00037, 000070, -00038,    
 0001.642578, 000977,  0.977, _,    -00040, 000074, -00035,    
 0001.642578, 000976,  0.976, _,    -00035, 000076, -00034,    
 0001.644531, 000975,  0.975, _,    -00029, 000075, -00036,    
 0001.644531, 000975,  0.975, _,    -00028, 000076, -00038,    
 0001.646484, 000976,  0.976, _,    -00033, 000080, -00038,    
 0001.646484, 000976,  0.976, _,    -00033, 000080, -00036,    
 0001.648438, 000988,  0.988, _,    -00035, 000078, -00032,    
 0001.648438, 000980,  0.980, _,    -00040, 000081, -00029,    
 0001.650391, 000981,  0.981, _,    -00039, 000082, -00033,    
 0001.650391, 000979,  0.979, _,    -00036, 000080, -00038,    
 0001.652344, 000978,  0.978, _,    -00032, 000078, -00037,    
 0001.652344, 000977,  0.977, _,    -00033, 000074, -00032,    
 0001.654297, 000977,  0.977, _,    -00040, 000067, -00027,    
 0001.654297, 000976,  0.976, _,    -00042, 000067, -00028,    
 0001.656250, 000977,  0.977, _,    -00037, 000074, -00031,    
 0001.656250, 000976,  0.976, _,    -00033, 000080, -00035,    
 0001.658203, 000976,  0.976, _,    -00031, 000080, -00033,    
 0001.658203, 000975,  0.975, _,    -00031, 000080, -00027,    
 0001.660156, 000977,  0.977, _,    -00034, 000081, -00025,    
 0001.660156, 000976,  0.976, _,    -00037, 000079, -00030,    
 0001.662109, 000976,  0.976, _,    -00037, 000076, -00037,    
 0001.662109, 000976,  0.976, _,    -00038, 000078, -00037,    
 0001.664062, 000976,  0.976, _,    -00040, 000083, -00033,    
 0001.664062, 000977,  0.977, _,    -00042, 000083, -00032,    
 0001.666016, 000976,  0.976, _,    -00041, 000079, -00034,    
 0001.666016, 000977,  0.977, _,    -00040, 000074, -00031,    
 0001.667969, 000976,  0.976, _,    -00036, 000074, -00027,    
 0001.667969, 000976,  0.976, _,    -00033, 000077, -00026,    
 0001.669922, 000978,  0.978, _,    -00036, 000077, -00029,    
 0001.669922, 000977,  0.977, _,    -00036, 000074, -00033,    
 0001.671875, 000977,  0.977, _,    -00033, 000076, -00035,    
 0001.673828, 000976,  0.976, _,    -00032, 000079, -00031,    
 0001.673828, 000976,  0.976, _,    -00033, 000077, -00030,    
 0001.675781, 000976,  0.976, _,    -00036, 000075, -00031,    
 0001.675781, 000975,  0.975, _,    -00036, 000076, -00029,    
 0001.677734, 000975,  0.975, _,    -00036, 000079, -00029,    
 0001.677734, 000976,  0.976, _,    -00037, 000079, -00034,    
 0001.679688, 000976,  0.976, _,    -00038, 000076, -00040,    
 0001.679688, 000978,  0.978, _,    -00037, 000069, -00041,    
 0001.681641, 000975,  0.975, _,    -00036, 000071, -00037,    
 0001.681641, 000976,  0.976, _,    -00039, 000076, -00031,    
 0001.683594, 000975,  0.975, _,    -00044, 000081, -00028,    
 0001.683594, 000976,  0.976, _,    -00045, 000077, -00032,    
 0001.685547, 000976,  0.976, _,    -00040, 000072, -00036,    
 0001.685547, 000975,  0.975, _,    -00033, 000074, -00032,    
 0001.687500, 000975,  0.975, _,    -00027, 000076, -00030,    
 0001.687500, 000977,  0.977, _,    -00027, 000075, -00033,    
 0001.689453, 000976,  0.976, _,    -00031, 000075, -00033,    
 0001.689453, 000979,  0.979, _,    -00033, 000077, -00031,    
 0001.691406, 000976,  0.976, _,    -00036, 000074, -00030,    
 0001.691406, 000976,  0.976, _,    -00039, 000071, -00032,    
 0001.693359, 000975,  0.975, _,    -00042, 000071, -00034,    
 0001.693359, 000976,  0.976, _,    -00042, 000075, -00034,    
 0001.695312, 000975,  0.975, _,    -00040, 000079, -00033,    
 0001.695312, 000977,  0.977, _,    -00035, 000077, -00030,    
 0001.697266, 000975,  0.975, _,    -00032, 000075, -00029,    
 0001.697266, 000975,  0.975, _,    -00037, 000075, -00032,    
 0001.699219, 000975,  0.975, _,    -00035, 000073, -00032,    
 0001.699219, 000977,  0.977, _,    -00031, 000075, -00031,    
 0001.701172, 000977,  0.977, _,    -00034, 000075, -00032,    
 0001.701172, 000976,  0.976, _,    -00038, 000075, -00030,    
 0001.703125, 000977,  0.977, _,    -00034, 000079, -00037,    
 0001.703125, 000976,  0.976, _,    -00030, 000081, -00040,    
 0001.705078, 000976,  0.976, _,    -00032, 000081, -00029,    
 0001.705078, 000977,  0.977, _,    -00034, 000077, -00026,    
 0001.707031, 000975,  0.975, _,    -00036, 000076, -00030,    
 0001.707031, 000975,  0.975, _,    -00038, 000076, -00029,    
 0001.708984, 000975,  0.975, _,    -00037, 000073, -00028,    
 0001.708984, 000978,  0.978, _,    -00036, 000075, -00031,    
 0001.710938, 000976,  0.976, _,    -00033, 000081, -00032,    
 0001.710938, 000991,  0.991, _,    -00030, 000080, -00032,    
 0001.712891, 000982,  0.982, _,    -00032, 000075, -00030,    
 0001.714844, 000977,  0.977, _,    -00033, 000072, -00030,    
 0001.714844, 000977,  0.977, _,    -00031, 000067, -00029,    
 0001.716797, 000976,  0.976, _,    -00031, 000066, -00027,    
 0001.716797, 000977,  0.977, _,    -00033, 000071, -00026,    
 0001.718750, 000976,  0.976, _,    -00035, 000075, -00030,    
 0001.718750, 000975,  0.975, _,    -00035, 000076, -00034,    
 0001.720703, 000979,  0.979, _,    -00035, 000076, -00033,    
 0001.720703, 000976,  0.976, _,    -00036, 000074, -00033,    
 0001.722656, 000976,  0.976, _,    -00038, 000073, -00035,    
 0001.722656, 000975,  0.975, _,    -00035, 000075, -00035,    
 0001.724609, 000976,  0.976, _,    -00037, 000079, -00034,    
 0001.724609, 000978,  0.978, _,    -00039, 000080, -00035,    
 0001.726562, 000977,  0.977, _,    -00039, 000075, -00035,    
 0001.726562, 000975,  0.975, _,    -00040, 000074, -00035,    
 0001.728516, 000975,  0.975, _,    -00038, 000076, -00035,    
 0001.728516, 000976,  0.976, _,    -00036, 000079, -00034,    
 0001.730469, 000978,  0.978, _,    -00033, 000080, -00038,    
 0001.730469, 000978,  0.978, _,    -00032, 000076, -00037,    
 0001.732422, 000977,  0.977, _,    -00032, 000077, -00037,    
 0001.732422, 000976,  0.976, _,    -00033, 000081, -00036,    
 0001.734375, 000976,  0.976, _,    -00035, 000084, -00036,    
 0001.734375, 000976,  0.976, _,    -00037, 000084, -00032,    
 0001.736328, 000976,  0.976, _,    -00036, 000077, -00030,    
 0001.736328, 000976,  0.976, _,    -00036, 000076, -00031,    
 0001.738281, 000977,  0.977, _,    -00038, 000078, -00032,    
 0001.738281, 000977,  0.977, _,    -00042, 000076, -00031,    
 0001.740234, 000978,  0.978, _,    -00035, 000072, -00029,    
 0001.740234, 000977,  0.977, _,    -00029, 000072, -00028,    
 0001.742188, 000976,  0.976, _,    -00027, 000078, -00028,    
 0001.742188, 000978,  0.978, _,    -00028, 000083, -00028,    
 0001.744141, 000976,  0.976, _,    -00032, 000080, -00027,    
 0001.744141, 000976,  0.976, _,    -00037, 000077, -00030,    
 0001.746094, 000975,  0.975, _,    -00038, 000075, -00035,    
 0001.746094, 000975,  0.975, _,    -00036, 000078, -00037,    
 0001.748047, 000976,  0.976, _,    -00036, 000081, -00038,    
