 Mtime,       Mdur,      Mrx1, Mry1, Mrz1,    Max1,    May1,    Maz1,       Mcx1,    Mcy1,    Mcz1,   
 0001.175964, 000908,    0060, 0190, -040,    0060.00, 0190.00, -040.00,    -0.2022, -0.4190, 00.7500,    
 0001.185974, 000921,    0065, 0192, -040,    0065.00, 0192.00, -040.00,    -0.2303, -0.4302, 00.7500,    
 0001.195984, 001041,    0067, 0194, -033,    0067.00, 0194.00, -033.00,    -0.2416, -0.4413, 00.7898,    
 0001.205994, 000913,    0060, 0190, -040,    0060.00, 0190.00, -040.00,    -0.2022, -0.4190, 00.7500,    
 0001.216003, 000913,    0065, 0192, -040,    0065.00, 0192.00, -040.00,    -0.2303, -0.4302, 00.7500,    
 0001.225952, 000916,    0069, 0197, -042,    0069.00, 0197.00, -042.00,    -0.2528, -0.4581, 00.7386,    
 0001.235962, 000914,    0054, 0195, -044,    0054.00, 0195.00, -044.00,    -0.1685, -0.4469, 00.7273,    
 0001.245972, 000908,    0061, 0195, -039,    0061.00, 0195.00, -039.00,    -0.2079, -0.4469, 00.7557,    
 0001.255981, 000915,    0069, 0197, -038,    0069.00, 0197.00, -038.00,    -0.2528, -0.4581, 00.7614,    
 0001.265991, 000913,    0066, 0193, -046,    0066.00, 0193.00, -046.00,    -0.2360, -0.4358, 00.7159,    
 0001.276001, 000928,    0069, 0192, -042,    0069.00, 0192.00, -042.00,    -0.2528, -0.4302, 00.7386,    
 0001.285950, 000911,    0061, 0193, -044,    0061.00, 0193.00, -044.00,    -0.2079, -0.4358, 00.7273,    
 0001.295959, 000909,    0064, 0191, -034,    0064.00, 0191.00, -034.00,    -0.2247, -0.4246, 00.7841,    
 0001.305969, 000914,    0064, 0195, -039,    0064.00, 0195.00, -039.00,    -0.2247, -0.4469, 00.7557,    
 0001.315979, 000913,    0064, 0193, -034,    0064.00, 0193.00, -034.00,    -0.2247, -0.4358, 00.7841,    
 0001.325989, 000919,    0059, 0195, -039,    0059.00, 0195.00, -039.00,    -0.1966, -0.4469, 00.7557,    
 0001.335999, 000922,    0068, 0195, -039,    0068.00, 0195.00, -039.00,    -0.2472, -0.4469, 00.7557,    
 0001.346008, 001041,    0064, 0195, -044,    0064.00, 0195.00, -044.00,    -0.2247, -0.4469, 00.7273,    
 0001.355957, 000909,    0061, 0193, -039,    0061.00, 0193.00, -039.00,    -0.2079, -0.4358, 00.7557,    
 0001.365967, 000915,    0068, 0191, -039,    0068.00, 0191.00, -039.00,    -0.2472, -0.4246, 00.7557,    
 0001.375977, 000917,    0060, 0194, -038,    0060.00, 0194.00, -038.00,    -0.2022, -0.4413, 00.7614,    
 0001.385986, 000913,    0061, 0193, -036,    0061.00, 0193.00, -036.00,    -0.2079, -0.4358, 00.7727,    
